Chapter,Shloka,Sanskrit Word,English Meaning
1,1,dhṛitarāśhtraḥ uvācha,Dhritarashtra said
1,1,dharma,kṣhetre
1,1,kuru,kṣhetre
1,1,samavetāḥ,having gathered
1,1,yuyutsavaḥ,desiring to fight
1,1,māmakāḥ,my sons
1,1,pāṇḍavāḥ,the sons of Pandu
1,1,cha,and
1,1,eva,certainly
1,1,kim,what
1,1,akurvata,did they do
1,1,sañjaya,Sanjay
1,2,sanjayaḥ uvācha,Sanjay said
1,2,dṛiṣhṭvā,on observing
1,2,tu,but
1,2,pāṇḍava,anīkam
1,2,vyūḍham,standing in a military formation
1,2,duryodhanaḥ,King Duryodhan
1,2,tadā,then
1,2,āchāryam,teacher
1,2,upasaṅgamya,approached
1,2,rājā,the king
1,2,vachanam,words
1,2,abravīt,spoke
1,3,paśhya,behold
1,3,etām,this
1,3,pāṇḍu,putrāṇām
1,3,āchārya,respected teacher
1,3,mahatīm,mighty
1,3,chamūm,army
1,3,vyūḍhām,arrayed in a military formation
1,3,drupada,putreṇa
1,3,tava,by your
1,3,śhiṣhyeṇa,disciple
1,3,dhī,matā
1,4,atra,here
1,4,śhūrāḥ,powerful warriors
1,4,mahā,iṣhu
1,4,bhīma,arjuna
1,4,yudhi,in military prowess
1,4,yuyudhānaḥ,Yuyudhan
1,4,virāṭaḥ,Virat
1,4,cha,and
1,4,drupadaḥ,Drupad
1,4,cha,also
1,4,mahā,rathaḥ
1,4,dhṛiṣhṭaketuḥ,Dhrishtaketu
1,4,chekitānaḥ,Chekitan
1,4,kāśhirājaḥ,Kashiraj
1,4,cha,and
1,4,vīrya,vān
1,4,purujit,Purujit
1,4,kuntibhojaḥ,Kuntibhoj
1,4,cha,and
1,4,śhaibyaḥ,Shaibya
1,4,cha,and
1,4,nara,puṅgavaḥ
1,4,yudhāmanyuḥ,Yudhamanyu
1,4,cha,and
1,4,vikrāntaḥ,courageous
1,4,uttamaujāḥ,Uttamauja
1,4,cha,and
1,4,vīrya,vān
1,4,saubhadraḥ,the son of Subhadra
1,4,draupadeyāḥ,the sons of Draupadi
1,4,cha,and
1,4,sarve,all
1,4,eva,indeed
1,4,mahā,rathāḥ
1,5,atra,here
1,5,śhūrāḥ,powerful warriors
1,5,mahā,iṣhu
1,5,bhīma,arjuna
1,5,yudhi,in military prowess
1,5,yuyudhānaḥ,Yuyudhan
1,5,virāṭaḥ,Virat
1,5,cha,and
1,5,drupadaḥ,Drupad
1,5,cha,also
1,5,mahā,rathaḥ
1,5,dhṛiṣhṭaketuḥ,Dhrishtaketu
1,5,chekitānaḥ,Chekitan
1,5,kāśhirājaḥ,Kashiraj
1,5,cha,and
1,5,vīrya,vān
1,5,purujit,Purujit
1,5,kuntibhojaḥ,Kuntibhoj
1,5,cha,and
1,5,śhaibyaḥ,Shaibya
1,5,cha,and
1,5,nara,puṅgavaḥ
1,5,yudhāmanyuḥ,Yudhamanyu
1,5,cha,and
1,5,vikrāntaḥ,courageous
1,5,uttamaujāḥ,Uttamauja
1,5,cha,and
1,5,vīrya,vān
1,5,saubhadraḥ,the son of Subhadra
1,5,draupadeyāḥ,the sons of Draupadi
1,5,cha,and
1,5,sarve,all
1,5,eva,indeed
1,5,mahā,rathāḥ
1,6,atra,here
1,6,śhūrāḥ,powerful warriors
1,6,mahā,iṣhu
1,6,bhīma,arjuna
1,6,yudhi,in military prowess
1,6,yuyudhānaḥ,Yuyudhan
1,6,virāṭaḥ,Virat
1,6,cha,and
1,6,drupadaḥ,Drupad
1,6,cha,also
1,6,mahā,rathaḥ
1,6,dhṛiṣhṭaketuḥ,Dhrishtaketu
1,6,chekitānaḥ,Chekitan
1,6,kāśhirājaḥ,Kashiraj
1,6,cha,and
1,6,vīrya,vān
1,6,purujit,Purujit
1,6,kuntibhojaḥ,Kuntibhoj
1,6,cha,and
1,6,śhaibyaḥ,Shaibya
1,6,cha,and
1,6,nara,puṅgavaḥ
1,6,yudhāmanyuḥ,Yudhamanyu
1,6,cha,and
