Chapter,Shloka,Sanskrit Word,Hindi Meaning
1,1,धृतराष्ट्रः उवाच,धृतराष्ट्र ने कहा
1,1,धर्म,क्षेत्र धर्मभूमिः कुरू
1,1,युयुत्सवः,युद्ध करने को इच्छुक
1,1,मामकाः,मेरे पुत्रों
1,1,पाण्डवाः,पाण्डु के पुत्रों ने
1,1,च,तथा
1,1,एव,निश्चय ही
1,1,किम्,क्या
1,1,अकुर्वत,उन्होंने किया
1,1,संजय,हे संजय।
1,2,संजय उवाच,संजय ने कहा
1,2,दृष्टा,देखकर
1,2,तु,किन्तु
1,2,पाण्डव,अनीकम्
1,2,व्यूढं,व्यूह रचना में खड़े होना
1,2,दुर्योधनः,राजा दुर्योधन
1,2,तदा,तब
1,2,आचार्यम्,"गुरु, उपसंगम्य"
1,2,राजा,राजा
1,2,वचनम्,शब्द
1,2,अब्रवीत्,कहा।
1,3,पश्य,देखना
1,3,एताम्,इसः पाण्डु
1,3,आचार्य,आदरणीय आचार्य महतीम
1,3,चमूम्,सेना को
1,3,व्यूढां,सुव्यस्थित व्यूह रचना
1,3,द्वपद,पुत्रेण द्रुपद पुत्र द्वारा
1,3,तव,तुम्हारे
1,3,शिष्येण,शिष्य द्वारा
1,3,धी,मता
1,4,अत्र,यहाँ
1,4,शूराः,शक्तिशाली योद्धा
1,4,महा,इषु
1,4,भीम,अर्जुन
1,4,युधि,युद्धकला के पराक्रमी योद्धा
1,4,युयुधान:,युयुधान
1,4,विराट:,विराटः च
1,4,द्रुपदः,द्रुपद
1,4,च,भी
1,4,महारथ:,"महान योद्धा, जो अकेले दस हजार साधारण सैनिकों का सामना करने की सामर्थ्य रखता हो"
1,4,धृष्टकेतुः,धृष्टकेतु
1,4,चेकितानः,चेकितान
1,4,काशिराज:,काशिराज
1,4,च,और
1,4,वीर्यवान्,महानयोद्धा
1,4,पुरुजित्,पुरुजित् कुन्तिभोज
1,4,च,तथा
1,4,शैब्य:,शैव्य
1,4,च,और
1,4,नरपुङ्गवः,उत्तम पुरूष
1,4,युधामन्युः,युधामन्यु
1,4,च,और
1,4,विक्रान्त:,निडर
1,4,उत्तमौजा:,उत्तमौजा
1,4,च,और
1,4,वीर्यवान्,महाशक्तिशाली
1,4,सौभद्र,सुभद्रा का पुत्र
1,4,द्रौपदेया:,द्रोपदी के पुत्र
1,4,च,और
1,4,सर्वे,सभी
1,4,एक्,निश्चय ही
1,4,महारथाः,"महारथी, जो युद्ध में अकेले ही दस हजार साधारण योद्धाओं का सामना कर सके।"
1,5,अत्र,यहाँ
1,5,शूराः,शक्तिशाली योद्धा
1,5,महा,इषु
1,5,भीम,अर्जुन
1,5,युधि,युद्धकला के पराक्रमी योद्धा
1,5,युयुधान:,युयुधान
1,5,विराट:,विराटः च
1,5,द्रुपदः,द्रुपद
1,5,च,भी
1,5,महारथ:,"महान योद्धा, जो अकेले दस हजार साधारण सैनिकों का सामना करने की सामर्थ्य रखता हो"
1,5,धृष्टकेतुः,धृष्टकेतु
1,5,चेकितानः,चेकितान
1,5,काशिराज:,काशिराज
1,5,च,और
1,5,वीर्यवान्,महानयोद्धा
1,5,पुरुजित्,पुरुजित् कुन्तिभोज
1,5,च,तथा
1,5,शैब्य:,शैव्य
1,5,च,और
1,5,नरपुङ्गवः,उत्तम पुरूष
1,5,युधामन्युः,युधामन्यु
1,5,च,और
1,5,विक्रान्त:,निडर
1,5,उत्तमौजा:,उत्तमौजा
1,5,च,और
1,5,वीर्यवान्,महाशक्तिशाली
1,5,सौभद्र,सुभद्रा का पुत्र
1,5,द्रौपदेया:,द्रोपदी के पुत्र
1,5,च,और
1,5,सर्वे,सभी
