Chapter,Shloka,Sanskrit Word,Hindi Meaning,Transliterated Word,English Meaning
1,1,धृतराष्ट्रः उवाच,धृतराष्ट्र ने कहा,dhṛtarāṣṭraḥ uvāca,Dhritarashtra said
1,1,धर्म,क्षेत्र धर्मभूमिः कुरू,dharma,Area Dharmabhoomi: Kuru
1,1,युयुत्सवः,युद्ध करने को इच्छुक,yuyutsavaḥ,willing to fight
1,1,मामकाः,मेरे पुत्रों,māmakāḥ,my sons
1,1,पाण्डवाः,पाण्डु के पुत्रों ने,pāṇḍavāḥ,Pandu's sons
1,1,च,तथा,ca,And
1,1,एव,निश्चय ही,eva,tentu Saja
1,1,किम्,क्या,kim,What
1,1,अकुर्वत,उन्होंने किया,akurvata,they did
1,1,संजय,हे संजय।,saṃjaya,Hey Sanjay.
1,2,संजय उवाच,संजय ने कहा,saṃjaya uvāca,Sanjay said
1,2,दृष्टा,देखकर,dṛṣṭā,after seeing
1,2,तु,किन्तु,tu,but
1,2,पाण्डव,अनीकम्,pāṇḍava,Anikam
1,2,व्यूढं,व्यूह रचना में खड़े होना,vyūḍhaṃ,stand in formation
1,2,दुर्योधनः,राजा दुर्योधन,duryodhanaḥ,king duryodhana
1,2,तदा,तब,tadā,Then
1,2,आचार्यम्,"गुरु, उपसंगम्य",ācāryam,"Guru, Upasangamya"
1,2,राजा,राजा,rājā,King
1,2,वचनम्,शब्द,vacanam,Word
1,2,अब्रवीत्,कहा।,abravīt,Said.
1,3,पश्य,देखना,paśya,Look
1,3,एताम्,इसः पाण्डु,etām,This: Pandu
1,3,आचार्य,आदरणीय आचार्य महतीम,ācārya,Respected Acharya Mahatim
1,3,चमूम्,सेना को,camūm,to the army
1,3,व्यूढां,सुव्यस्थित व्यूह रचना,vyūḍhāṃ,organized array
1,3,द्वपद,पुत्रेण द्रुपद पुत्र द्वारा,dvapada,by the son of Drupada
1,3,तव,तुम्हारे,tava,Your
1,3,शिष्येण,शिष्य द्वारा,śiṣyeṇa,by the disciple
1,3,धी,मता,dhī,opinion
1,4,अत्र,यहाँ,atra,Here
1,4,शूराः,शक्तिशाली योद्धा,śūrāḥ,mighty warrior
1,4,महा,इषु,mahā,issue
1,4,भीम,अर्जुन,bhīma,Arjun
1,4,युधि,युद्धकला के पराक्रमी योद्धा,yudhi,mighty warrior of the art of war
1,4,युयुधान:,युयुधान,yuyudhāna:,warfare
1,4,विराट:,विराटः च,virāṭa:,Virat: Ch
1,4,द्रुपदः,द्रुपद,drupadaḥ,Drupada
1,4,च,भी,ca,Too
1,4,महारथ:,"महान योद्धा, जो अकेले दस हजार साधारण सैनिकों का सामना करने की सामर्थ्य रखता हो",mahāratha:,"A great warrior, who is capable of facing ten thousand ordinary soldiers single-handedly."
1,4,धृष्टकेतुः,धृष्टकेतु,dhṛṣṭaketuḥ,Dhrishtaketu
1,4,चेकितानः,चेकितान,cekitānaḥ,chekitan
1,4,काशिराज:,काशिराज,kāśirāja:,Kashiraj
1,4,च,और,ca,And
1,4,वीर्यवान्,महानयोद्धा,vīryavān,great warrior
1,4,पुरुजित्,पुरुजित् कुन्तिभोज,purujit,Purujit Kuntibhoj
1,4,च,तथा,ca,And
1,4,शैब्य:,शैव्य,śaibya:,Shaivya
1,4,च,और,ca,And
1,4,नरपुङ्गवः,उत्तम पुरूष,narapuṅgavaḥ,best man
1,4,युधामन्युः,युधामन्यु,yudhāmanyuḥ,Yudhamanyu
1,4,च,और,ca,And
1,4,विक्रान्त:,निडर,vikrānta:,fearless
1,4,उत्तमौजा:,उत्तमौजा,uttamaujā:,uttamaujā
1,4,च,और,ca,And
1,4,वीर्यवान्,महाशक्तिशाली,vīryavān,super powerful
1,4,सौभद्र,सुभद्रा का पुत्र,saubhadra,son of subhadra
1,4,द्रौपदेया:,द्रोपदी के पुत्र,draupadeyā:,Draupadi's son
1,4,च,और,ca,And
1,4,सर्वे,सभी,sarve,All
1,4,एक्,निश्चय ही,ek,tentu Saja
1,4,महारथाः,"महारथी, जो युद्ध में अकेले ही दस हजार साधारण योद्धाओं का सामना कर सके।",mahārathāḥ,A great warrior who could single-handedly face ten thousand ordinary warriors in battle.
1,5,अत्र,यहाँ,atra,Here
1,5,शूराः,शक्तिशाली योद्धा,śūrāḥ,mighty warrior
1,5,महा,इषु,mahā,issue
1,5,भीम,अर्जुन,bhīma,Arjun
1,5,युधि,युद्धकला के पराक्रमी योद्धा,yudhi,mighty warrior of the art of war
1,5,युयुधान:,युयुधान,yuyudhāna:,warfare
1,5,विराट:,विराटः च,virāṭa:,Virat: Ch
1,5,द्रुपदः,द्रुपद,drupadaḥ,Drupada
1,5,च,भी,ca,Too
1,5,महारथ:,"महान योद्धा, जो अकेले दस हजार साधारण सैनिकों का सामना करने की सामर्थ्य रखता हो",mahāratha:,"A great warrior, who is capable of facing ten thousand ordinary soldiers single-handedly."
1,5,धृष्टकेतुः,धृष्टकेतु,dhṛṣṭaketuḥ,Dhrishtaketu
1,5,चेकितानः,चेकितान,cekitānaḥ,chekitan
1,5,काशिराज:,काशिराज,kāśirāja:,Kashiraj
1,5,च,और,ca,And
1,5,वीर्यवान्,महानयोद्धा,vīryavān,great warrior
1,5,पुरुजित्,पुरुजित् कुन्तिभोज,purujit,Purujit Kuntibhoj
1,5,च,तथा,ca,And
1,5,शैब्य:,शैव्य,śaibya:,Shaivya
1,5,च,और,ca,And
1,5,नरपुङ्गवः,उत्तम पुरूष,narapuṅgavaḥ,best man
1,5,युधामन्युः,युधामन्यु,yudhāmanyuḥ,Yudhamanyu
1,5,च,और,ca,And
1,5,विक्रान्त:,निडर,vikrānta:,fearless
1,5,उत्तमौजा:,उत्तमौजा,uttamaujā:,uttamaujā
1,5,च,और,ca,And
1,5,वीर्यवान्,महाशक्तिशाली,vīryavān,super powerful
1,5,सौभद्र,सुभद्रा का पुत्र,saubhadra,son of subhadra
1,5,द्रौपदेया:,द्रोपदी के पुत्र,draupadeyā:,Draupadi's son
1,5,च,और,ca,And
1,5,सर्वे,सभी,sarve,All
1,5,एक्,निश्चय ही,ek,tentu Saja
1,5,महारथाः,"महारथी, जो युद्ध में अकेले ही दस हजार साधारण योद्धाओं का सामना कर सके।",mahārathāḥ,A great warrior who could single-handedly face ten thousand ordinary warriors in battle.
1,6,अत्र,यहाँ,atra,Here
1,6,शूराः,शक्तिशाली योद्धा,śūrāḥ,mighty warrior
1,6,महा,इषु,mahā,issue
1,6,भीम,अर्जुन,bhīma,Arjun
1,6,युधि,युद्धकला के पराक्रमी योद्धा,yudhi,mighty warrior of the art of war
1,6,युयुधान:,युयुधान,yuyudhāna:,warfare
1,6,विराट:,विराटः च,virāṭa:,Virat: Ch
1,6,द्रुपदः,द्रुपद,drupadaḥ,Drupada
1,6,च,भी,ca,Too
1,6,महारथ:,"महान योद्धा, जो अकेले दस हजार साधारण सैनिकों का सामना करने की सामर्थ्य रखता हो",mahāratha:,"A great warrior, who is capable of facing ten thousand ordinary soldiers single-handedly."
1,6,धृष्टकेतुः,धृष्टकेतु,dhṛṣṭaketuḥ,Dhrishtaketu
1,6,चेकितानः,चेकितान,cekitānaḥ,chekitan
1,6,काशिराज:,काशिराज,kāśirāja:,Kashiraj
1,6,च,और,ca,And
1,6,वीर्यवान्,महानयोद्धा,vīryavān,great warrior
1,6,पुरुजित्,पुरुजित् कुन्तिभोज,purujit,Purujit Kuntibhoj
1,6,च,तथा,ca,And
1,6,शैब्य:,शैव्य,śaibya:,Shaivya
1,6,च,और,ca,And
1,6,नरपुङ्गवः,उत्तम पुरूष,narapuṅgavaḥ,best man
1,6,युधामन्युः,युधामन्यु,yudhāmanyuḥ,Yudhamanyu
1,6,च,और,ca,And
1,6,विक्रान्त:,निडर,vikrānta:,fearless
1,6,उत्तमौजा:,उत्तमौजा,uttamaujā:,uttamaujā
1,6,च,और,ca,And
1,6,वीर्यवान्,महाशक्तिशाली,vīryavān,super powerful
1,6,सौभद्र,सुभद्रा का पुत्र,saubhadra,son of subhadra
1,6,द्रौपदेया:,द्रोपदी के पुत्र,draupadeyā:,Draupadi's son
1,6,च,और,ca,And
1,6,सर्वे,सभी,sarve,All
1,6,एक्,निश्चय ही,ek,tentu Saja
1,6,महारथाः,"महारथी, जो युद्ध में अकेले ही दस हजार साधारण योद्धाओं का सामना कर सके।",mahārathāḥ,A great warrior who could single-handedly face ten thousand ordinary warriors in battle.
1,7,अस्माकम्,हमारे,asmākam,Our
1,7,तु,परन्तु,tu,but
1,7,विशिष्टा,विशेष रूप से,viśiṣṭā,especially
1,7,ये,जो,ye,Who
1,7,तान्,उनको,tān,For them
1,7,"निबोध जानकारी देना, द्विज",उत्तम,"nibodha jānakārī denā, dvija",Excellent
1,7,सैन्यस्थ,सेना के,sainyastha,of the army
1,7,संज्ञा,अर्थम्,saṃjñā,Meaning
1,7,तान्,उन्हें,tān,Them
1,7,ब्रवीमि,वर्णन कर रहा हूँ,bravīmi,describing
1,7,ते,आपको।,te,To you.
1,8,भवान्,आप: भीष्मः,bhavān,You: Bhishma
1,8,कर्ण:,कर्णः च और,karṇa:,Karnah Ch and
1,8,कपः,कृपाचार्य च,kapaḥ,Kripacharya Ch
1,8,समितिन्जयः,युद्ध में सदा विजयी,samitinjayaḥ,always victorious in war
1,8,"अश्वत्थामा अश्वत्थामा, विकर्ण:",विकर्ण,"aśvatthāmā aśvatthāmā, vikarṇa:",diagonal
1,8,च,और,ca,And
1,8,सौमदत्ति:,सोमदत्त का पुत्र भूरिश्रवा,saumadatti:,"Bhurishrava, son of Somdutt"
1,8,तथा,और,tathā,And
1,8,एक,समान रूप से,eka,uniformly
1,8,च,भी।।,ca,Too..
