Chapter,Verse,Speaker,Sanskrit ,Swami Adidevananda,Swami Gambirananda,Swami Sivananda,Dr. S. Sankaranarayan,Shri Purohit Swami
1,1,धृतराष्ट्र,धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः| मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय  || 1.1 || ,"Dhṛtarāṣṭra said: “O Sanjaya, what did my people and the Pāṇḍavas do, gathered together on the holy field of Kurukshetra, eager for battle?”","Dhṛtarāṣṭra said: O Sanjaya, what did my sons and the sons of Pandu do when they assembled on the sacred field of Kurukshetra, eager for battle?","Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?""","Dhritarashtra said, ""O Sanjaya, what did my sons and the sons of Pandu do in the Kurukshetra, the field of righteousness, where the entire warring class had assembled?""","The King Dhritarashtra asked, ""O Sanjaya! What happened on the sacred battlefield of Kurukshetra when my people and the Pandavas gathered?"""
1,2,सञ्जय,दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा| आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्  || 1.2 || ,"Sanjaya said: King Duryodhana, upon seeing the Pandava army in battle array, approached his teacher Drona and said these words.","Sanjaya said: But then, seeing the army of the Pandavas in battle array, King Duryodhana approached the teacher, Drona, and spoke.","Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.","Sanjaya said: Seeing the army of the sons of Pandu marshaled in military array, the prince Duryodhana approached the teacher Drona and spoke these words at that time:","Sanjaya replied: ""When Prince Duryodhana saw the Pandavas' army paraded, he approached his preceptor Guru Drona and spoke these words:"
1,3,सञ्जय,पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्| व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता  || 1.3 || ,"Behold, O teacher, this mighty army of the Pandavas, arrayed by the son of Drupada, your intelligent disciple.","O teacher, behold this vast army of the sons of Pandu, arrayed for battle by the intelligent disciple of Drupada.","Behold, O Teacher! This mighty army of the sons of Pandu, arrayed by the son of Drupada, thy wise disciple.","O teacher! Behold this mighty army of the sons of Pandu, marshaled in a military array by Drupada's son, your intelligent pupil.","Revered Father! Behold this mighty host of the Pandavas, paraded by the son of King Drupada, your wise disciple."
1,4,सञ्जय,अत्र शूरा महेष्वासा भीमार्जुनसमा युधि| युयुधानो विराटश्च द्रुपदश्च महारथः  || 1.4 || ,"There (in that army) are heroes, great bowmen, such as Bhima and Arjuna; Yuyudhana, Virata, and Drupada, a mighty warrior;","Here are the heroes wielding great bows, who in battle are peers of Bhima and Arjuna: Yuyudhana (Satyaki) and Virata, and the maharatha (great chariot-rider) Drupada;","Here are heroes, mighty archers, equal in battle to Bhima and Arjuna, Yuyudhana (Satyaki), Virata, and Drupada—all mighty warriors.","Here are the heroes and mighty archers, comparable in war to Bhima and Arjuna: Yuyudhana, the king of the Virata country, and Drupada, the mighty warrior.","In it are heroes and great bowmen; the equals in battle of Arjuna, Bheema, Yuyudhana, Virata, and Drupada—all great soldiers."
1,5,सञ्जय,धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्| पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः  || 1.5 || ,"Dhrstaketu, Cekitana, the valiant king of Kasi, Purujit, Kuntibhoja, and Saibya, the best among men;","Dhrstaketu, Cekitana, and the valiant king of Kasi (Varanasi); Purujit, Kuntibhoja, and Saibya, the choicest of men;","Dhrishtaketu, Chekitana, the valiant king of Kasi, Purujit, Kuntibhoja, and Saibya—the best of men.","Dhrstaketu, Cekitana, the valorous king of Kasi, Kuntibhoja, the conqueror of many, and the Sibi king, the best among men;","Dhrishtaketu, Chekitan, the valiant king of Benares, Purujit, Kuntibhoja, and Shaibya—a master of many."
1,6,सञ्जय,युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्| सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः  ||  || 1.6 || ,"Yudhamanyu, the valiant one, and Uttamaujas, the strong one; and also the son of Subhadra, as well as the sons of Draupadi, all mighty warriors.","And the valiant Yudhamanyu, and the chivalrous Uttamaujas; the son of Subhadra (Abhimanyu) and the sons of Draupadi—all of them are, indeed, maharathas.","The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of Draupadi, all of them great charioteers (great heroes).""","And Yudhamanyu, the heroic, and Uttamaujas, the valiant, the son of Subhadra, and the sons of Draupadi—all of them are indeed mighty warriors.","Yudhamanyu, Uttamouja, Soubhadra, and the sons of Droupadi—all famous men."
1,7,सञ्जय,अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम| नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते  || 1.7 || ,"Know, O best of Brahmanas, those who are important on our side—those who are the commanders of my army. I shall name them to refresh your memory.","But, O best among the Brahmanas, please be appraised of those who are foremost among us, the founders of my army. I speak of them to you by way of illustration.","Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to you for your information.","O best among the twice-born! Please take note of the most distinguished amongst us, who are the generals of my army and who are accepted as leaders by the heroes in my mighty army; I shall name them to you.","Further, take note of all those captains who have ranged themselves on our side, O best of Spiritual Guides! The leaders of my army. I will name them for you."
1,8,सञ्जय,भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः| अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च  || 1.8 || ,"Yourself, Bhisma, Karna, the victorious Krpa, Asvatthama, Vikarna, and Jayadratha, the son of Somadatta;","(They are): Your venerable self, Bhisma, Karna, and Krpa, who is ever victorious in battle; Asvatthama, Vikarna, Saumadatti, and Jayadratha.","""Thou thyself, Bhishma, Karna, Kripa, the victorious in war, Asvatthama, Vikarna, and Bhurisrava, the son of Somadatta—all these are ready for battle.""","Your good self, Bhisma, Karna, Krpa, Salya, Jayadratha, Asvatthaman, Vikarna, and Somadatta's son, the valiant ones.","You come first; then Bheeshma, Karna, Kripa, great warriors; Ashwaththama, Vikarna, and the son of Somadhatta;"
1,9,सञ्जय,अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः| नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः  || 1.9 ||,And there are many other heroes who are determined to give up their lives for my sake. They are all experts in using manifold missiles and dexterous in battle.,"There are many heroes who have dedicated their lives to me, possessing various kinds of weapons and missiles, all of whom are skilled in battle.","And also many other heroes, ready to give up their lives for my sake, armed with various weapons and missiles, all well-skilled in battle.","And many other heroes, giving up their lives for my sake, fighting with various weapons, all highly skilled in different forms of warfare.","And many others, all ready to die for My sake; all armed, all skilled in warfare."
1,10,सञ्जय,अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्| पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्  || 1.10 || ,"Our force is inadequate, guarded by Bhisma, while their force is adequate, guarded by Bhima.","Therefore, our army, under the complete protection of Bhisma and others, is limitless. But this army of the enemies, under the protection of Bhima and others, is limited.","Our army, marshalled by Bhishma, is insufficient, whereas theirs, marshalled by Bhima, is sufficient.","Thus, the army guarded by Bhima is unlimited for us, whereas the army guarded by Bhisma is sufficient for them, the Pandavas.","Yet our army seems weaker, though commanded by Bhishma; their army seems stronger, though commanded by Bhima."
