Book No,Chapter No,Paragraph No,Paragraph Text
15,1,1,"[ज]
पराप्य राज्यं महाभागाः पाण्डवा मे पितामहाः
कथम आसन महाराजे धृतराष्ट्रे महात्मनि"
15,1,2,"स हि राजा हतामात्यॊ हतपुत्रॊ नराश्रयः
कथम आसीद धतैश्वर्यॊ गान्धारी च यशस्विनी"
15,1,3,"कियन्तं चैव कालं ते पितरॊ मम पूर्वकाः
सथिता राज्ये महात्मानस तन मे वयाख्यातुम अर्हसि"
15,1,4,"[वै]
पराप्य राज्यं महात्मानः पाण्डवा हतशत्रवः
धृतराष्ट्रं पुरस्कृत्य पृथिवीं पर्यपालयन"
15,1,5,"धृतराष्ट्रम उपातिष्ठद विदुरः संजयस तथा
युयुत्सुश चापि मेधावी वैश्यापुत्रः स कौरवः"
15,1,6,"पाण्डवः सर्वकार्याणि संपृच्छन्ति सम तं नृपम
चक्रुस तेनाभ्यनुज्ञाता वर्षाणि दश पञ्च च"
15,1,7,"सदा हि गत्वा ते वीराः पर्युपासन्त तं नृपम
पादाभिवन्दनं कृत्वा धर्मराज मते सथिताः
ते मूर्ध्नि समुपाघ्राताः सर्वकार्याणि चक्रिरे"
15,1,8,"कुन्तिभॊजसुता चैव गन्धारीम अन्ववर्तत
दरौपदी च सुभद्रा च याश चान्याः पाण्डव सत्रियः
समां वृत्तिम अवर्तन्त तयॊः शवश्रॊर यथाविधि"
15,1,9,"शयनानि महार्हाणि वासांस्य आभरणानि च
राजार्हाणि च सर्वाणि भक्ष्यभॊज्यान्य अनेकशः
युधिष्ठिरॊ महाराज धृतराष्ट्रे ऽभयुपाहरत"
15,1,10,"तथैव कुन्ती गान्धार्यां गुरुवृत्तिम अवर्तत
विदुरः संजयश चैव युयुत्सुश चैव कौरवः
उपासते सम तं वृद्धं हतपुत्रं जनाधिपम"
15,1,11,"सयालॊ दरुणस्य यश चैकॊ दयितॊ बराह्मणॊ महान
स च तस्मिन महेष्वासः कृपः समभवत तदा"
15,1,12,"वयासस्य भगवान नित्यं वासं चक्रे नृपेण ह
कथाः कुर्वन पुराणर्षिर देवर्षिनृप रक्षसाम"
15,1,13,"धर्मयुक्तानि कार्याणि वयवहारान्वितानि च
धृतराष्ट्राभ्यनुज्ञातॊ विदुरस तान्य अकारयत"
15,1,14,"सामन्तेभ्यः परियाण्य अस्य कार्याणि सुगुरूण्य अपि
पराप्यन्ते ऽरथैः सुलघुभिः परभावाद विदुरस्य वै"
15,1,15,"अकरॊद बन्धमॊक्षांश च वध्यानां मॊक्षणं तथा
न च धर्मात्मजॊ राजा कदा चित किं चिद अब्रवीत"
15,1,16,"विहारयात्रासु पुनः कुरुराजॊ युधिष्ठिरः
सर्वान कामान महातेजाः परददाव अम्बिका सुते"
15,1,17,"आरालिकाः सूपकारा रागखाण्डविकास तथा
उपातिष्ठन्त राजानं धृतराष्ट्रं यथा पुरा"
15,1,18,"वासांसि च महार्हाणि माल्यानि विविधानि च
उपाजह्रुर यथान्यायं धृतराष्ट्रस्य पाण्डवाः"
15,1,19,"मैरेयं मधु मांसानि पानकानि लघूनि च
चित्रान भक्ष्यविकारांश च चक्रुर अस्य यथा पुरा"
15,1,20,"ये चापि पृथिवीपालाः समाजग्मुः समन्ततः
उपातिष्ठन्त ते सर्वे कौरवेन्द्रं यथा पुरा"
15,1,21,"कुन्ती च दरौपदी चैव सात्वती चैव भामिनी
उलूपी नागकन्या च देवी चित्र अङ्गदा तथा"
15,1,22,"धृष्टकेतॊश च भगिनी जरा सन्धस्य चात्मजा
किंकराः समॊपतिष्ठन्ति सर्वाः सुबलजां तथा"
15,1,23,"यथा पुत्र वियुक्तॊ ऽयं न किं चिद दुःखम आप्नुयात
इति राजन वशाद भरातॄन नित्यम एव युधिष्ठिरः"
15,1,24,"एवं ते धर्मराजस्य शरुत्वा वचनम अर्थवत
सविशेषम अवर्तन्त भीमम एकं विना तदा"
15,1,25,"न हि तत तस्य वीरस्य हृदयाद अपसर्पति
धृतराष्ट्रस्य दुर्बुद्धेर यद्वृत्तं दयूतकारितम"
15,2,1,"[वै]
एवं संपूजितॊ राजा पाण्डवैर अम्बिका सुतः
विजहार यथापूर्वम ऋषिभिः पर्युपासितः"
15,2,2,"बरह्म देयाग्र हारांश च परददौ स कुरूद्वहः
तच च कुन्तीसुतॊ राजा सर्वम एवान्वमॊदत"
15,2,3,"आनृशंस्य परॊ राजा परीयमाणॊ युधिष्ठिरः
उवाच स तदा भरातॄन अमात्यांश च महीपतिः"
15,2,4,"मया चैव भवद्भिश च मान्य एष नराधिपः
निदेशे धृतराष्ट्रस्य यः सथास्यति स मे सुहृत
विपरीतश च मे शत्रुर निरस्यश च भवेन नरः"
15,2,5,"परिदृष्टेषु चाहःसु पुत्राणां शराद्धकर्मणि
ददातु राजा सर्वेषां यावद अस्य चिकीर्षितम"
15,2,6,"ततः स राजा कौरव्यॊ धृतराष्ट्रॊ महामनाः
बराह्मणेभ्यॊ महार्हेभ्यॊ ददौ वित्तान्य अनेकशः"
15,2,7,"धर्मराजश च भीमश च सव्यसाची यमाव अपि
तत सर्वम अन्ववर्तन्त धृतराष्ट्र वयपेक्षया"
15,2,8,"कथं नु राजा वृद्धः सन पुत्रशॊकसमाहतः
शॊकम अस्मत कृतं पराप्य न मरियेतेति चिन्त्यते"
15,2,9,"यावद धि कुरुमुख्यस्य जीवत पुत्रस्य वै सुखम
बभूव तद अवाप्नॊतु भॊगांश चेति वयवस्थिताः"
15,2,10,"ततस ते सहिताः सर्वे भरातरः पञ्च पाण्डवाः
तथा शीलाः समातस्थुर धृतराष्ट्रस्य शासने"
15,2,11,"धृतराष्ट्रश च तान वीरान विनीतान विनये सथितान
शिष्यवृत्तौ सथितान नित्यं गुरुवत पर्यपश्यत"
15,2,12,"गान्धारी चैव पुत्राणां विविधैः शराद्धकर्मभिः
आनृष्यम अगमत कामान विप्रेभ्यः परतिपाद्य वै"
15,2,13,"एवं धर्मभृतां शरेष्ठॊ धर्मराजॊ युधिष्ठिरः
भरातृभिः सहितॊ धीमान पूजयाम आस तं नृपम"
15,3,1,"[वै]
स राजा सुमहातेजा वृद्धः कुरुकुलॊद्वहः
नापश्यत तदा किं चिद अप्रियं पाण्डुनन्दने"
15,3,2,"वर्तमानेषु सद्वृत्तिं पाण्डवेषु महात्मसु
परीतिमान अभवद राजा धृतराष्ट्रॊ ऽमबिका सुतः"
15,3,3,"सौबलेयी च गान्धारी पुत्रशॊकम अपास्य तम
सदैव परीतिम अत्यासीत तनयेषु निजेष्व इव"
15,3,4,"परियाण्य एव तु कौरव्यॊ नाप्रियाणि कुरूद्वह
वैचित्रवीर्ये नृपतौ समाचरति नित्यदा"
15,3,5,"यद यद बरूते च किं चित सा धृतराष्ट्रॊ नराधिपः
गुरु वा लघु वा कार्यं गान्धारी च यशस्विनी"
