1,"[वै]
ते ऽलंकृताः कुण्डलिनॊ युवानः; परस्परं सपर्धमानाः समेताः
अस्त्रं बलं चात्मनि मन्यमानाः; सर्वे समुत्पेतुर अहं कृतेन"
2,"रूपेण वीर्येण कुलेन चैव; धर्मेण चैवापि च यौवनेन
समृद्धदर्पा मदवेगभिन्ना; मत्ता यथा हैमवता गजेन्द्राः"
3,"परस्परं सपर्धया परेक्षमाणाः; संकल्पजेनापि परिप्लुताङ्गाः
कृष्णा ममैषेत्य अभिभाषमाणा; नृपासनेभ्यः सहसॊपतस्थुः"
4,"ते कषत्रिया रङ्ग गताः समेता; जिगीषमाणा दरुपदात्मजां ताम
चकाशिरे पर्वतराजकन्याम; उमां यथा देवगणाः समेताः"
5,"कन्दर्प बाणाभिनिपीडिताङ्गाः; कृष्णागतैस ते हृदयैर नरेन्द्राः
रङ्गावतीर्णा दरुपदात्मजार्थं; दवेष्यान हि चक्रुः सुहृदॊ ऽपि तत्र"
6,"अथाययुर देवगणा विमानै; रुद्रादित्या वसवॊ ऽथाश्विनौ च
साध्याश च सर्वे मरुतस तथैव; यमं पुरस्कृत्य धनेश्वरं च"
7,"दैत्याः सुपर्णाश च महॊरगश च; देवर्षयॊ गुह्यकाश चारणाश च
विश्वावसुर नारद पर्वतौ च; गन्धर्वमुख्याश च सहाप्सरॊभिः"
8,"हलायुधस तत्र च केशवश च; वृष्ण्यन्धकाश चैव यथा परधानाः
परेक्षां सम चक्रुर यदुपुंगवास ते; सथिताश च कृष्णस्य मते बभूवुः"
9,"दृष्ट्वा हि तान मत्तगजेन्द्र रूपान; पञ्चाभिपद्मान इव वारणेन्द्रान
भस्मावृताङ्गान इव हव्यवाहान; पार्थान परदध्यौ स यदुप्रवीरः"
10,"शशंस रामाय युधिष्ठिरं च; भीमं च जिष्णुं च यमौ च वीरौ
शनैः शनैस तांश च निरीक्ष्य रामॊ; जनार्दनं परीतमना ददर्श"
11,"अन्ये तु नाना नृपपुत्रपौत्राः; कृष्णा गतैर नेत्रमनः सवभावैः
वयायच्छमाना ददृशुर भरमन्तीं; संदष्ट दन्तच छदताम्रवक्त्राः"
12,"तथैव पार्थाः पृथु बाहवस ते; वीरौ यमौ चैव महानुभावौ
तां दरौपदीं परेक्ष्य तदा सम सर्वे; कन्दर्प बाणाभिहता बभूवुः"
13,"देवर्षिगन्धर्वसमाकुलं तत; सुपर्णनागासुरसिद्धजुष्टम
दिव्येन गन्धेन समाकुलं च; दिव्यैश च माल्यैर अवकीर्यमाणम"
14,"महास्वनैर दुन्दुभिनादितैश च; बभूव तत संकुलम अन्तरिक्षम
विमानसंबाधम अभूत समन्तात; सवेणु वीणा पणवानुनादम"
15,"ततस तु ते राजगणाः करमेण; कृष्णा निमित्तं नृप विक्रमन्तः
तत कारुमुकं संहननॊपपन्नं; सज्यं न शेकुस तरसापि कर्तुम"
16,"ते विक्रमन्तः सफुरता दृढेन; निष्कृष्यमाणा धनुषा नरेन्द्राः
विचेष्टमाना धरणीतलस्था; दीना अदृश्यन्त विभग्न चित्ताः"
17,"हाहाकृतं तद धनुषा दृढेन; निष्पिष्टभग्नाङ्गद कुण्डलं च
कृष्णा निमित्तं विनिवृत्तभावं; राज्ञां तदा मण्डलम आर्तम आसीत"
18,"तस्मिंस तु संभ्रान्तजने समाजे; निक्षिप्तवादेषु नराधिपेषु
कुन्तीसुतॊ जिष्णुर इयेष कर्तुं; सज्यं धनुस तत सशरं स वीरः"
