1,"[वै]
भरातृवचस तत परसमीक्ष्य सर्वे; जयेष्ठस्य पाण्डॊस तनयास तदानीम
तम एवार्थं धयायमाना मनॊभिर; आसां चक्रुर अथ तत्रामितौजाः"
2,"वृष्णिप्रवीरस तु कुरुप्रवीरान; आशङ्कमानः सहरौहिणेयः
जगाम तां भार्गव कर्मशालां; यत्रासते ते पुरुषप्रवीराः"
3,"तत्रॊपविष्टं पृथु दीर्घबाहुं; ददर्श कृष्णः सहरौहिणेयः
अजातशत्रुं परिवार्य तांश च; उपॊपविष्टाञ जवलनप्रकाशान"
4,"ततॊ ऽबरवीद वासुदेवॊ ऽभिगम्य; कुन्तीसुतं धर्मभृतां वरिष्टह्म
कृष्णॊ ऽहम अस्मीति निपीड्य पादौ; युधिष्ठिरस्याजमीढस्य राज्ञः"
5,"तथैव तस्याप्य अनु रौहिणेयस; तौ चापि हृष्टाः कुरवॊ ऽभयनन्दन
पितृष्वसुश चापि यदुप्रवीराव; अगृह्णतां भारतमुख्यपादौ"
6,"अजातशत्रुश च कुरुप्रवीरः; पप्रच्छ कृष्णं कुशलं निवेद्य
कथं वयं वासुदेव तवयेह; गूढा वसन्तॊ विदिताः सम सर्वे"
7,"तम अब्रवीद वासुदेवः परहस्य; गूढॊ ऽपय अग्निर जञायत एव राजन
तं विक्रमं पाण्डवेयानतीत्य; कॊ ऽनयः कर्ता विद्यते मानुषेषु"
8,"दिष्ट्या तस्मात पावकात संप्रमुक्ता; यूयं सर्वे पाण्डवाः शत्रुसाहाः
दिष्ट्या पापॊ धृतराष्ट्रस्य पुत्रः; सहामात्यॊ न सकामॊ ऽभविष्यत"
9,"भद्रं वॊ ऽसतु निहितं यद गुहायां; विवर्धध्वं जवलन इवेध्यमानः
मा वॊ विद्युः पार्थिवाः के चनेह; यास्यावहे शिबिरायैव तावत
सॊ ऽनुज्ञातः पाण्डवेनाव्यय शरीः; परायाच छीघ्रं बलदेवेन सार्धम"
