1,"[वै]
ततस तथॊक्तः परिहृष्टरूपः; पित्रे शशंसाथ स राजपुत्रः
धृष्टद्युम्नः सॊमकानां परबर्हॊ; वृत्तं यथा येन हृता च कृष्णा"
2,"यॊ ऽसौ युवस्वायत लॊहिताक्षः; कृष्णाजिनी देवसमानरूपः
यः कार्मुकाग्र्यं कृतवान अधिज्यं; लक्ष्यं च तत पतितवान पृथिव्याम"
3,"असज्जमानश च गतस तरस्वी; वृतॊ दविजाग्र्यैर अभिपूज्यमानः
चक्राम वज्रीव दितेः सुतेषु; सर्वैश च देवैर ऋषिभिश च जुष्टः"
4,"कृष्णा च गृह्याजिनम अन्वयात तं; नागं यथा नागवधूः परहृष्टा
अमृष्यमाणेषु नराधिपेषु; करुद्धेषु तं तत्र समापतत्सु"
5,"ततॊ ऽपरः पार्थिव राजमध्ये; परवृद्धम आरुज्य मही पररॊहम
परकालयन्न एव स पार्थिवौघान; करुद्धॊ ऽनतकः पराणभृतॊ यथैव"
6,"तौ पार्थिवानां मिषतां नरेन्द्र; कृष्णाम उपादाय गतौ नराग्र्यौ
विभ्राजमानाव इव चन्द्रसूर्यौ; बाह्यां पुराद भार्गव कर्मशालाम"
7,"तत्रॊपविष्टार्चिर इवानलस्य; तेषां जनित्रीति मम परतर्कः
तथाविधैर एव नरप्रवीरैर; उपॊपविष्टैस तरिभिर अग्निकल्पैः"
8,"तस्यास ततस ताव अभिवाद्य पादाव; उक्त्वा च कृष्णाम अभिवादयेति
सथितौ च तत्रैव निवेद्य कृष्णां; भैक्ष परचाराय गता नराग्र्याः"
9,"तेषां तु भैक्षं परतिगृह्य कृष्णा; कृत्वा बलिं बरह्मणसाच च कृत्वा
तां चैव वृद्धां परिविष्य तांश च; नरप्रवीरान सवयम अप्य अभुङ्क्त"
10,"सुप्तास तु ते पार्थिव सर्व एव; कृष्णा तु तेषां चरणॊपधानम
आसीत पृथिव्यां शयनं च तेषां; दर्भाजिनाग्र्यास्तरणॊपपन्नम"
11,"ते नर्दमाना इव कालमेघाः; कथा विचित्राः कथयां बभूवुः
न वैश्यशूद्रौपयिकीः कथास ता; न च दविजातेः कथयन्ति वीराः"
12,"निःसंशयं कषत्रिय पुंगवास ते; यथा हि युद्धं कथयन्ति राजन
आशा हि नॊ वयक्तम इयं समृद्धा; मुक्तान हि पार्थाञ शृणुमॊ ऽगनिदाहात"
13,"यथा हि लक्ष्यं निहतं धनुश च; सज्यं कृतं तेन तथा परसह्य
यथा च भाषन्ति परस्परं ते; छन्ना धरुवं ते परचरन्ति पार्थाः"
14,"ततः स राजा दरुपदः परहृष्टः; पुरॊहितं परेषयां तत्र चक्रे
विद्याम युष्मान इति भाषमाणॊ; महात्मनः पाण्डुसुताः सथ कच चित"
15,"गृहीतवाक्यॊ नृपतेः पुरॊधा; गत्वा परशंसाम अभिधाय तेषाम
वाक्यं यथावन नृपतेः समग्राम; उवाच तान स करमवित करमेण"
16,"विज्ञातुम इच्छत्य अवनीश्वरॊ वः; पाञ्चालराजॊ दरुपदॊ वरार्हाः
लक्ष्यस्य वेद्धारम इमं हि दृष्ट्वा; हर्षस्य नान्तं परिपश्यते सः"
17,"तद आचड्ढ्वं जञातिकुलानुपूर्वीं; पदं शिरःसु दविषतां कुरुध्वम
परह्लादयध्वं हृदये ममेदं; पाञ्चालराजस्य सहानुगस्य"
18,"पाण्डुर हि राजा दरुपदस्य राज्ञः; परियः सखा चात्मसमॊ बभूव
तस्यैष कामॊ दुहिता ममेयं; सनुषा यदि सयाद इति कौरवस्य"
19,"अयं च कामॊ दरुपदस्य राज्ञॊ; हृदि सथितॊ नित्यम अनिन्दिताङ्गाः
यद अर्जुनॊ वै पृथु दीर्घबाहुर; धर्मेण विन्देत सुतां ममेति"
20,"तथॊक्त वाक्यं तु पुरॊहितं तं; सथितं विनीतं समुदीक्ष्य राजा
समीपस्थं भीमम इदं शशास; परदीयतां पाद्यम अर्घ्यं तथास्मै"
21,"मान्यः पुरॊधा दरुपदस्य राज्ञस; तस्मै परयॊज्याभ्यधिकैव पूजा
भीमस तथा तत कृतवान नरेन्द्र; तां चैव पूजां परतिसंगृहीत्वा"
22,"सुखॊपविष्टं तु पुरॊहितं तं; युधिष्ठिरॊ बराह्मणम इत्य उवाच
पाञ्चालराजेन सुता निसृष्टा; सवधर्मदृष्टेन यथानुकामम"
23,"परदिष्ट शुल्का दरुपदेन राज्ञा; सानेन वीरेण तथानुवृत्ता
न तत्र वर्णेषु कृता विवक्षा; न जीव शिल्पे न कुले न गॊत्रे"
24,"कृतेन सज्येन हि कार्मुकेण; विद्धेन लक्ष्येण च संनिसृष्टा
सेयं तथानेन महात्मनेह; कृष्णा जिता पार्थिव संघमध्ये"
25,"नैवं गते सौमकिर अद्य राजा; संतापम अर्हत्य असुखाय कर्तुम
कामश च यॊ ऽसौ दरुपसद्य राज्ञः; स चापि संपत्स्यति पार्थिवस्य"
26,"अप्राप्य रूपां हि नरेन्द्र कन्याम; इमाम अहं बराह्मण साधु मन्ये
न तद धनुर मन्दबलेन शक्यं; मौर्व्या समायॊजयितुं तथा हि
न चाकृतास्त्रेण न हीनजेन; लक्ष्यं तथा पातयितुं हि शक्यम"
27,"तस्मान न तापं दुहितुर निमित्तं; पाञ्चालराजॊ ऽरहति कर्तुम अद्य
न चापि तत पातनम अन्यथेह; कर्तुं विषह्यं भुवि मानवेन"
28,"एवं बरुवत्य एव युधिष्ठिरे तु; पाञ्चालराजस्य समीपतॊ ऽनयः
तत्राजगामाशु नरॊ दवितीयॊ; निवेदयिष्यन्न इह सिद्धम अन्नम"
