1,"[व]
गच्छन स तीर्थानि महानुभावः; पुण्यानि रम्याणि ददर्श राजा
सर्वाणि विप्रैर उपशॊभितानि; कव चित कव चिद भारत सागरस्य"
2,"स वृत्तवांस तेषु कृताभिषेकः; सहानुजः पार्थिव पुत्रपौत्रः
समुद्रगां पुण्यतमां परशस्तां; जगाम पारिक्षित पाण्डुपुत्रः"
3,"तत्रापि चाप्लुत्य महानुभावः; संतर्पयाम आस पितॄन सुरांश च
दविजातिमुख्येषु धनं विसृज्य; गॊदावरिं सागरगाम अगच्छत"
4,"ततॊ वि पाप्मा दरविडेषु राजन; अमुद्रम आसाद्य च लॊकपुण्यम
अगस्त्यतीर्थं च पवित्रपुण्यं; नारी तीर्थान्य अथ वीरॊ ददर्श"
5,"तत्रार्जुनस्याग्र्य धनुर्धरस्य; निशम्य तत कर्म परैर असह्यम
संपूज्यमानः परमर्षिसंघैः; परां मुदं पाण्डुसुतः स लेभे"
6,"स तेषु तीर्थेष्व अभिषिक्त गात्रः; कृष्णा सहायः सहितॊ ऽनुजैश च
संपूजयन विक्रमम अर्जुनस्य; रेमे महीपाल पतिः पृथिव्याम"
7,"ततः सहस्राणि गवां परदाय; तीर्थेषु तेष्व अम्बुधरॊत्तमस्य
हृष्टः सह भरातृभिर अर्जुनस्य; संकीर्तयाम आस गवां परदानम"
8,"स तानि तीर्थानि च सागरस्य; पुण्यानि चान्यानि बहूनि राजन
करमेण गच्छन परिपूर्णकामः; शूर्पारकं पुण्यतमं ददर्श"
9,"तत्रॊदधेः कं चिद अतीत्य देशं; खयातं पृथिव्यां वनम आससाद
तप्तं सुरैर यत्र तपः पुरस्ताद; इष्टं तथा पुण्यतमैर नरेन्द्रैः"
10,"स तत्र ताम अग्र्यधनुर्धरस्य; वेदीं ददर्शायतपीनबाहुः
ऋचीक पुत्रस्य तपॊ वि संघैः; समावृतां पुण्यकृद अर्चनीयाम"
11,"ततॊ वसूनां वसु धाधिपः स; मरुद्गणानां च तथाश्विनॊश च
वैवस्वतादित्य धनेश्वराणाम; इन्द्रस्य विष्णॊर सवितुर विभॊर च"
12,"भगस्य चन्द्रस्य दिवाकरस्य; पतेर अपां साध्य गणस्य चैव
धातुः पितॄणां च तथा महात्मा; रुद्रस्य राजन सगणस्य चैव"
13,"सरॊ वत्याः सिद्धगणस्य चैव; पूष्णश च ये चाप्य अमरास तथान्ये
पुण्यानि चाप्य आयतनानि तेषां; ददर्श राजा सुमनॊहराणि"
14,"तेषूपवासान विविधान उपॊष्य; दत्त्वा च रत्नानि महाधनानि
तीर्थेषु सर्वेषु परिप्लुताङ्गः; पुनः स शूर्पारकम आजगाम"
15,"स तेन तीर्थेन तु सागरस्य; पुनः परयातः सह सॊदरीयैः
दविजैः पृथिव्यां परथितं महद्भिस; तीर्थं परभासं सम उपाजगाम"
16,"तत्राभिषिक्तः पृथु लॊहिताक्षः; सहानुजैर देवगणान पितॄंश च
संतर्पयाम आस तथैव कृष्णा; ते चापि विप्राः सह लॊमशेन"
17,"स दवादशाहं जलवायुभक्षः; कुर्वन कषपाहःसु तदाभिषेकम
समन्ततॊ ऽगनीन उपदीपयित्वा; तेपे तपॊ धर्मभृतां वरिष्ठः"
18,"तम उग्रम आस्थाय तपश चरन्तं; शुश्राव रामश च जनार्दनश च
तौ सर्ववृष्णिप्रवरौ स सैन्यौ; युधिष्ठिरं जग्मतुर आजमीढम"
19,"ते वृष्णयः पाण्डुसुतान समीक्ष्य; भूमौ शयानान मलदिग्ध गात्रान
अनर्हतीं दरौपदीं चापि दृष्ट्वा; सुदुःखिताश चुक्रुशुर आर्तनादम"
20,"ततः स रामं च जनार्दनं च; कार्ष्णिं च साम्बं च शिनेश च पौत्रम
अन्यांश च वृष्णीन उपगम्य पूजां; चक्रे यथा धर्मम अदीनसत्त्वः"
21,"ते चापि सर्वान परतिपूज्य पार्थांस; तैः सत्कृताः पाण्डुसुतैस तथैव
युधिष्ठिरं संपरिवार्य राजन्न; उपाविशन देवगणा यथेन्द्रम"
22,"तेषां स सर्वं चरितं परेषां; वने च वासं परमप्रतीतः
अस्त्रार्थम इन्द्रस्य गतं च पार्थं; कृष्णे शशंसामर राजपुत्रम"
23,"शरुत्वा तु ते तस्य वचः परतीतास; तांश चापि दृष्ट्वा सुकृशान अतीव
नेत्रॊद्भवं संमुमुचुर दशार्हा; दुःखार्ति जं वारि महानुभावाः"
