1,"[वै]
नगॊत्तमं परस्रवणैर उपेतं; दिशां गजैः किंनरपक्षिभिश च
सुखं निवासं जहतां हि तेषां; न परीतिर आसीद भरतर्षभाणाम"
2,"ततस तु तेषां पुनर एव हर्षः; कैलासम आलॊक्य महान बभूव
कुबेर कान्तं भरतर्षभाणां; महीधरं वारिधरप्रकाशम"
3,"समुच्छ्रयान पर्वतसंनिरॊधान; गॊष्ठान गिरीणां गिरिसेतुमालाः
बहून परपातांश च समीक्ष्य वीराः; सथलानि निम्नानि च तत्र तत्र"
4,"तथैव चान्यानि महावनानि; मृगद्विजानेकप सेवितानि
आलॊकयन्तॊ ऽभिययुः परतीतास; ते धन्विनः खड्गधरा नराग्र्याः"
5,"वनानि रम्याणि सरांसि नद्यॊ; गुहा गिरीणां गिरिगह्वराणि
एते निवासाः सततं बभूवुर; निशानिशं पराप्य नरर्षभाणाम"
6,"ते दुर्ग वासं बहुधा निरुष्य; वयतीत्य कैलासम अचिन्त्यरूपम
आसेदुर अत्यर्थ मनॊरमं वै; तम आश्रमाग्र्यं वृषपर्वणस ते"
7,"समेत्य राज्ञा वृषपर्वणस ते; परत्यर्चितास तेन च वीतमॊहाः
शशंसिरे विस्तरशः परवासं; शिवं यथावद वृषपर्वणस ते"
8,"सुखॊषितास तत्र त एकरात्रं; पुण्याश्रमे देवमहर्षिजुष्टे
अभ्याययुस ते बदरीं विशालां; सुखेन वीराः पुनर एव वासम"
9,"ऊषुस ततस तत्र महानुभावा; नारायण सथानगता नराग्र्याः
कुबेर कान्तां नलिनीं विशॊकाः; संपश्यमानाः सुरसिद्धजुष्टाम"
10,"तां चाथ दृष्ट्वा नलिनीं विशॊकाः; पाण्डॊः सुताः सर्वनरप्रवीराः
ते रेमिरे नन्दनवासम एत्य; दविजर्षयॊ वीतभया यथैव"
11,"ततः करमेणॊपययुर नृवीरा; यथागतेनैव पथा समग्राः
विहृत्य मासं सुखिनॊ बदर्यां; किरात राज्ञॊ विषयं सुबाहॊः"
12,"चीनांस तुखारान दरदान सदार्वान; देशान कुणिन्दस्य च भूरि रत्नान
अतीत्य दुर्गं हिमवत्प्रदेशं; पुरं सुबाहॊर ददृशुर नृवीराः"
13,"शरुत्वा च तान पार्थिव पुत्रपौत्रान; पराप्तान सुबाहुर विषये समग्रान
परत्युद्ययौ परीतियुतः स राजा; तं चाभ्यनन्दन वृषभाः कुरूणाम"
14,"समेत्य राज्ञा तु सुबाहुना ते; सूतैर विशॊक परमुखैश च सर्वैः
सहेन्द्रसेनैः परिचारकैश च; पौरॊगवैर ये च महानसस्थाः"
15,"सुखॊषितास तत्र त एकरात्रं; सुतान उपादाय रथांश च सर्वान
घटॊत्कचं सानुचरं विसृज्य; ततॊ ऽभययुर यामुनम अद्रिराजम"
16,"तस्मिन गिरौ परस्रवणॊपपन्ने; हिमॊत्तरीयारुण पाण्डुसानौ
विशाख यूपं समुपेत्य चक्रुस; तदा निवासं पुरुषप्रवीराः"
17,"वराहनानामृगपक्षिजुष्टं; महद वनं चैत्ररथ परकाशम
शिवेन यात्वा मृगया परधानाः; संवत्सरं तत्र वने विजह्रुः"
18,"तत्राससादातिबलं भुजंगं; कषुधार्दितं मृत्युम इवॊग्ररूपम
वृकॊदरः पर्वत कन्दरायां; विषादमॊहव्यथितान्तर आत्मा"
19,"दवीपॊ ऽभवद यत्र वृकॊदरस्य; युधिष्ठिरॊ धर्मभृतां वरिष्ठः
अमॊक्षयद यस तम अनन्त तेजा; गराहेण संवेष्ठित सर्वगात्रम"
20,"ते दवादशं वर्षम अथॊपयान्तं; वने विहर्तुं कुरवः परतीताः
तस्माद वनाच चैत्ररथ परकाशाच; छरिया जवलन्तस तपसा च युक्ताः"
21,"ततश च यात्वा मरुधन्व पार्श्वं; सदा धनुर्वेद रतिप्रधानाः
सरस्वतीम एत्य निवासकामाः; सरस ततॊ दवैतवनं परतीयुः"
22,"समीक्ष्य तान दैतवने निविष्टान; निवासिनस तत्र ततॊ ऽभिजग्मुः
तपॊ दमाचार समाधियुक्तास; तृणॊद पात्राहरणाश्म कुट्टाः"
23,"पलक्षाक्ष रौहीतक वेतसाश च; सनुहा बदर्यः खदिराः शिरीषाः
बिल्वेङ्गुदाः पीलु शमी करीराः; सरस्वती तीररुहा बभूवुः"
24,"तां यक्षगन्धर्वमहर्षिकान्ताम; आयाग भूताम इव देवतानाम
सरस्वतीं परीतियुताश चरन्तः; सुखं विजह्रुर नरदेव पुत्राः"
