1,"[जनम]
एवं वने वर्तमाना नराग्र्याः; शीतॊष्णवातातप कर्शिताङ्गाः
सरस तद आसाद्य वनं च पुण्यं; ततः परं किम अकुर्वन्त पार्थाः"
2,"[वै]
सरस तद आसाद्य तु पाण्डुपुत्रा; जनं समुत्सृज्य विधाय चैषाम
वनानि रम्याण्य अथ पर्वतांश च; नदी परदेशांश च तदा विचेरुः"
3,"तथा वने तान वसतः परवीरान; सवाध्यायवन्तश च तपॊधनाश च
अभ्याययुर वेद विदः पुराणास; तान पूजयाम आसुर अथॊ नराग्र्याः"
4,"ततः कदा चित कुशलः कथासु; विप्रॊ ऽभयगच्छद भुवि कौरवेयान
स तैः समेत्याथ यदृच्छयैव; वैचित्रवीर्यं नृपम अभ्यगच्छत"
5,"अथॊपविष्टः परतिसत्कृतश च; वृद्धेन राज्ञा कुरुसत्तमेन
परचॊदितः सन कथयां बभूव; धर्मानिलेन्द्र परभवान यमौ च"
6,"कृशांश च वातातपकर्शिताङ्गान; दुःखस्य चॊग्रस्य मुखे परपन्नान
तां चाप्य अनाथाम इव वीर नाथां; कृष्णां परिक्लेश गुणेन युक्ताम"
7,"ततः कथां तस्य निशम्य राजा; वैचित्रवीर्यः कृपयाभितप्तः
वने सथितान पार्थिव पुत्रपौत्राञ; शरुत्वा तदा दुःखनदीं परपन्नान"
8,"परॊवाच दैत्याभिहतान्तर आत्मा; निःश्वासबास्पॊपहतः स पार्थान
वाचं कथं चित सथिरताम उपेत्य; तत सर्वम आत्मप्रभवं विचिन्त्य"
9,"कथं नु सत्यः शुचिर आर्य वृत्तॊ; जयेष्ठः सुतानां मम धर्मराजः
अजातशत्रुः पृथिवीतलस्थः; शेते पुरा राङ्कव कूटशायी"
10,"परबॊद्यते मागध सूत पूगैर; नित्यं सतुवद्भिः सवयम इन्द्रकल्पः
पतत्रिसंघैः स जघन्यरात्रे; परबॊध्यते नूनम इडा तलस्थः"
11,"कथं नु वातातपकर्शिताङ्गॊ; वृकॊदरः कॊपपरिप्लुताङ्गः
शेते पृथिव्याम अतथॊचिताङ्गः; कृष्णा समक्षं वसुधातलस्थः"
12,"तथार्जुनः सुकुमारॊ मनस्वी; वशे सथितॊ धर्मसुतस्य राज्ञः
विदूयमानैर इव सर्ग गात्रैर; धरुवं न शेते वसतीर अमर्षात"
13,"यमौ च कृष्णां च युधिष्ठिरं च; भीमं च दृष्ट्वा सुखविप्रयुक्तान
विनिःश्वसन सर्प इवॊग्रतेजा; धरुवं न शेते वसतीर अमर्षात"
14,"तथा यमौ चाप्य असुखौ सुखार्हौ; समृद्धरूपाव अमरौ दिवीव
परजागरस्थौ धरुवम अप्रशान्तौ; धर्मेण सत्येन च वार्यमाणौ"
15,"समीरणेनापि समॊ बलेन; समीरणस्यैव सुतॊ बलीयान
स धर्मपाशेन सितॊग्र तेजा; धरुवं विनिःश्वस्य सहत्य अमर्षम"
16,"स चापि भूमौ परिवर्तमानॊ; वधं सुतानां मम काङ्क्षमाणः
सत्येन धर्मेण च वार्यमाणः; कालं परतीक्षत्य अधिकॊ रणे ऽनयैः"
17,"अजातशत्रौ तु जिते निकृत्या; दुःशासनॊ यत परुषाण्य अवॊचत
तानि परविष्टानि वृकॊदराङ्गं; दहन्ति मर्माग्निर इवेन्धनानि"
18,"न पापकं धयास्यति धर्मपुत्रॊ; धनंजयश चाप्य अनुवर्तते तम
अरण्यवासेन विवर्धते तु; भीमस्य कॊपॊ ऽगनिर इवानलेन"
19,"स तेन कॊपेन विदीर्यमाणः; करं करेणाभिनिपीड्य वीरः
विनिःश्वसत्य उष्णम अतीव घॊरं; दहन्न इवेमान मम पुत्रपौत्रान"
20,"गाण्डीवधन्वा च वृकॊदरश च; संरम्भिणाव अन्तककालकल्पौ
न शेषयेतां युधि शत्रुसेनां; शरान किरन्ताव अशनिप्रकाशान"
21,"दुर्यॊधनः शकुनिः सूतपुत्रॊ; दुःशासनश चापि सुमन्दचेताः
मधु परपश्यन्ति न तु परपातं; वृकॊदरं चैव धनंजयं च"
22,"शुभाशुभं पुरुषः कर्मकृत्वा; परतीक्षते तस्य फलं सम कर्ता
