1,"[वै]
तस्मिन दशार्हाधिपतौ परयाते; युधिष्ठिरॊ भीमसेनार्जुनौ च
यमौ च कृष्णा च पुरॊहितश च; रथान महार्हान परमाश्वयुक्तान"
2,"आस्थाय वीराः सहिता वनाय; परतस्थिरे भूतपतिप्रकाशाः
हिरण्यनिष्कान वसनानि गाश च; परदाय शिक्षाक्षर मन्त्रिविद्भ्यः"
3,"परेष्याः पुरॊ विंशतिर आत्तशस्त्रा; धनूंषि वर्माणि शरांश च पीतान
मौर्वीश च यन्त्राणि च सायकांश च; सर्वे समादाय जघन्यम ईयुः"
4,"ततस तु वासांसि च राजपुत्र्या; धात्र्यश च दास्यश च विभूषणं च
तद इन्द्रसेनस तवरितं परगृह्य; जघन्यम एवॊपययौ रथेन"
5,"ततः कुरुश्रेष्ठम उपेत्य पौराः; परदक्षिणं चक्रुर अदीनसत्त्वाः
तं बराह्मणाश चाभ्यवदन परसन्ना; मुख्याश च सर्वे कुरुजाङ्गलानाम"
6,"स चापि तान अभ्यवदत परसन्नः; सहैव तैर भरातृभिर धर्मराजः
तस्थौ च तत्राधिपतिर महात्मा; दृष्ट्वा जनौघं कुरुजाङ्गलानाम"
7,"पितेव पुत्रेषु स तेषु भावं; चक्रे कुरूणाम ऋषभॊ महात्मा
ते चापि तस्मिन भरत परबर्हे; तदा बभूवुः पितरीव पुत्राः"
8,"ततः समासाद्य महाजनौघाः; कुरुप्रवीरं परिवार्य तस्थुः
हा नाथ हा धर्म इति बरुवन्तॊ; हरिया च सर्वे ऽशरुमुखा बभूवुः"
9,"वरः कुरूणाम अधिपः परजानां; पितेव पुत्रान अपहाय चास्मान
पौरान इमाञ जानपदांश च सर्वान; हित्वा परयातः कव नु धर्मराजः"
10,"धिग धार्तराष्ट्रं सुनृशंस बुद्धिं; ससौबलं पापमतिं च कर्णम
अनर्थम इच्छन्ति नरेन्द्र पापा; ये धर्मनित्यस्य सतस तवाग्राः"
11,"सवयं निवेश्याप्रतिमं महात्मा; पुरं महद देवपुरप्रकाशम
शतक्रतुप्रथम अमॊघकर्मा; हित्वा परयातः कव नु धर्मराजः"
12,"चकार याम अप्रतिमां महात्मा; सभां मयॊ देव सभा परकाशाम
तां देव गुप्ताम इव देव मायां; हित्वा परयातः कव नु धर्मराजः"
13,"तान धर्मकामार्थविद उत्तमौजा; बीभत्सुर उच्चैः सहितान उवाच
आदास्यते वासम इमं निरुष्य; वनेषु राजा दविषतां यशांसि"
14,"दविजातिमुख्याः सहिताः पृथक च; भवद्भिर आसाद्य तपस्विनश च
परसाद्य धर्मार्थविदश च वाच्या; यथार्थसिद्धिः परमा भवेन नः"
15,"इत्य एवम उक्ते वचने ऽरजुनेन; ते बराह्मणाः सर्ववर्णाश च राजन
मुदाभ्यनन्दन सहिताश च चक्रुः; परदक्षिणं धर्मभृतां वरिष्ठम"
16,"आमन्त्र्य पार्थं च वृकॊदरं च; धनंजयं याज्ञसेनीं यमौ च
परतस्थिरे राष्ट्रम अपेतहर्षा; युधिष्ठिरेणानुमता यथा सवम"
