1,"[वै]
स शत्रुसेनां तरसा परणुद्य; गास ता विजित्याथ धनुर्धराग्र्यः
दुर्यॊधनायाभिमुखं परयातॊ; भूयॊ ऽरजुनः परियम आजौ चिकीर्षन"
2,"गॊषु परयातासु जवेन मत्स्यान; किरीटिनं कृतकार्यं च मत्वा
दुर्यॊधनायाभिमुखं परयान्तं; कुरुप्रवीराः सहसाभिपेतुः"
3,"तेषाम अनीकानि बहूनि गाड्ढं; वयूढानि दृष्ट्वा बलुल धवजानि
मत्स्यस्य पुत्रं दविषतां निहन्ता; वैराटिम आमन्त्र्य ततॊ ऽभयुवाच"
4,"एतेन तूर्णं परतिपादयेमाञ; शवेतान हयान काञ्चनरश्मि यॊक्त्रान
जवेन सर्वेण कुरु परयत्नम; आसादयैतद रथसिंहवृन्दम"
5,"गजॊ गजेनेव मया दुरात्मा; यॊ यॊद्धुम आकाङ्क्षति सूतपुत्रः
तम एव मां परापय राजपुत्र; दुर्यॊधनापाश्रय जातदर्पम"
6,"स तैर हयैर वातजवैर बृहद भिः; पुत्रॊ विराटस्य सुवर्णकक्ष्यैः
विध्वंसयंस तद्रथिनाम अनीकं; ततॊ ऽवहत पाण्डवम आजिमध्ये"
7,"तं चित्रसेनॊ विशिखैर विपाठैः; संग्रामजिच छत्रुसहॊ जयश च
परत्युद्ययुर भारतम आपतन्तं; महारथाः कर्णम अभीप्समानाः"
8,"ततः स तेषां पुरुषप्रवीरः; शरासनार्चिः शरवेगतापः
वरातान रथानाम अदहत स मन्युर; वनं यथाग्निः कुरुपुंगवानाम"
9,"तस्मिंस तु युद्धे तुमुले परवृत्ते; पार्थं विकर्णॊ ऽतिरथं रथेन
विपाठ वर्षेण कुरुप्रवीरॊ; भीमेन भीमानुजम आससाद"
10,"ततॊ विकर्णस्य धनुर विकृष्य; जाम्बूनदाग्र्यॊपचितं दृढज्यम
अपातयद धवजम अस्य परमथ्य; छिन्नध्वजः सॊ ऽपय अपयाज जवेन"
11,"तं शात्रवाणां गणबाधितारं; कर्माणि कुर्वाणम अमानुषाणि
शत्रुं तपः कॊपम अमृष्यमाणः; समर्पयत कूर्मनखेन पार्थम"
12,"स तेन राज्ञातिरथेन विद्धॊ; विगाहमानॊ धवजिनीं कुरूणाम
शत्रुं तपं पञ्चभिर आशु विद्ध्वा; ततॊ ऽसय सूतं दशभिर जघान"
13,"ततः स विद्धॊ भरतर्षभेण; बाणेन गात्रावरणातिगेन
गतासुर आजौ निपपात भूमौ; नगॊ गनाग्राद इव वातरुग्णः"
14,"रथर्षभास ते तु रथर्षभेण; वीरा रणे वीरतरेण भग्नाः
चकम्पिरे वातवशेन काले; परकमिप्तानीव महावनानि"
15,"हतास तु पार्थेन नरप्रवीरा; भूमौ युवानः सुषुपुः सुवेषाः
वसु परदा वासवतुल्यवीर्याः; पराजिता वासव जेन संख्ये
सुवर्णकार्ष्णायस वर्म नद्धा; नागा यथा हैववताः परवृद्धाः"
16,"तथा स शत्रून समरे विनिघ्नन; गाण्डीवधन्वा पुरुषप्रवीरः
चचार संख्ये परदिशॊ दिशश च; दहन्न इवाग्निर वनम आतपान्ते"
17,"परकीर्णपर्णानि यथा वसन्ते; विशातयित्वात्यनिलॊ नुदन खे
तथा सपत्नान विकिरन किरीटी; चचार संख्ये ऽति रथॊ रथेन"
18,"शॊणाश्ववाहस्य हयान निहत्य; वैकर्तन भरातुर अदीनसत्त्वः
एकेन संग्रामजितः शरेण; शिरॊ जहाराथ किरीटमाली"
19,"तस्मिन हते भरातरि सूतपुत्रॊ; वैकर्तनॊ वीर्यम अथाददानः
परगृह्य दन्ताव इव नागराजॊ; महर्षभं वयाघ्र इवाभ्यधावत"
20,"स पाण्डवं दवादशभिः पृषत्कैर; वैकर्तनः शीघ्रम उपाजघान
विव्याध गात्रेषु हयांश च सर्वान; विराट पुत्रं च शरैर निजघ्ने"
21,"स हस्तिनेवाभिहतॊ गजेन्द्रः; परगृह्य भल्लान निशितान निषङ्गात
आ कर्ण पूर्णं च धनुर विकृष्य; विव्याध बाणैर अथ सूतपुत्रम"
22,"अथास्य बाहूरुशिरॊ ललाटं; गरीवां रथाङ्गानि परावमर्दी
सथितस्य बाणैर युधि निर्बिभेद; गाण्डीवमुक्तैर अशनिप्रकाशैः"
23,"स पार्थ मुक्तैर विशिखैः परणुन्नॊ; गजॊ गजेनेव जितस तरस्वी
विहाय संग्रामशिरः परयातॊ; वैकर्तनः पाण्डव बाणतप्तः"
