1,"[वै]
ततॊ विराटं परथमं युधिष्ठिरॊ; राजा सभायाम उपविष्टुम आव्रजत
वैडूर्य रूपान परतिमुच्य काञ्चनान; अक्षान स कक्षे परिगृह्य वाससा"
2,"नराधिपॊ राष्ट्रपतिं यशस्विनं; महायशाः कौरव वंशवर्धनः
महानुभावॊ नरराज सत्कृतॊ; दुरासदस तीक्ष्णविषॊ यथॊरगः"
3,"बालेन रूपेण नरर्षभॊ महान; अथार्चि रूपेण यथामरस तथा
महाभ्रजालैर इव संवृतॊ रविर; यथानलॊ भस्म वृतश च वीर्यवान"
4,"तम आपतन्तं परसमीक्ष्य पाण्डवं; विराट राड इन्दुम इवाभ्रसंवृतम
मन्त्रिद्विजान सूत मुखान विशस तथा; ये चापि के चित परिषत समासते
पप्रच्छ कॊ ऽयं परथमं समेयिवान; अनेन यॊ ऽयं परसमीक्षते सभाम"
5,"न तु दविजॊ ऽयं भविता नरॊत्तमः; पतिः पृथिव्या इति मे मनॊगतम
न चास्य दासॊ न रथॊ न कुण्डले; समीपतॊ भराजति चायम इन्द्रवत"
6,"शरीरलिङ्गैर उपसूचितॊ हय अयं; मूर्धाभिषिक्तॊ ऽयम इतीव मानसम
समीपम आयाति च मे गतव्यथॊ; यथा गजस तामरसीं मदॊत्कटः"
7,"वितर्कयन्तं तु नरर्षभस तदा; यिधिष्ठिरॊ ऽभयेत्य विराटम अब्रवीत
सम्राड विजानात्व इह जीवितार्थिनं; विनष्ट सर्वस्वम उपागतं दविजम"
8,"इहाहम इच्छामि तवानघान्तिके; वस्तुं यथा कामचरस तथा विभॊ
तम अब्रवीत सवागतम इत्य अनन्तरं; राजा परहृष्टः परतिसंगृहाण च"
9,"कामेन ताताभिवदाम्य अहं तवां; कस्यासि राज्ञॊ विषयाद इहागतः
गॊत्रं च नामापि च शंस तत्त्वतः; किं चापि शिल्पं तव विद्यते कृतम"
10,"युधिष्ठिरस्यासम अहं पुरा सखा; वैयाघ्रपद्यः पुनर अस्मि बराह्मणः
अक्षान परवप्तुं कुशलॊ ऽसमि देविता; कङ्केति नाम्नास्मि विराट विश्रुतः"
11,"ददामि ते हन्त वरं यम इच्छसि; परशाधि मत्स्यान वशगॊ हय अहं तव
परिया हि धूर्ता मम देविनः सदा; भवांश च देवॊपम राज्यम अर्हति"
12,"आप्तॊ विवादः परमॊ विशां पते; न विद्यते किं चन मत्स्यहीनतः
न मे जितः कश चन धारयेद धनं; वरॊ ममैषॊ ऽसतु तव परसादतः"
13,"हन्याम अवध्यं यदि ते ऽपरियं चरेत; परव्राजयेयं विषयाद दविजांस तथा
शृण्वन्तु मे जानपदाः समागताः; कङ्कॊ यथाहं विषये परभुस तथा"
14,"समानयानॊ भवितासि मे सखा; परभूतवस्त्रॊ बहु पानभॊजनः
पश्येस तवम अन्तश च बहिश च सर्वदा; कृतं च ते दवारम अपावृतं मया"
15,"ये तवानुवादेयुर अवृत्ति कर्शिता; बरूयाश च तेषां वचनेन मे सदा
दास्यामि सर्वं तद अहं न संशयॊ; न ते भयं विद्यति संनिधौ मम"
16,"एवं स लब्ध्वा तु वरं समागमं; विराट राजेन नरर्षभस तदा
उवास वीरः परमार्चितः सुखी; न चापि कश चिच चरितं बुबॊध तत"
