1,"[वै]
अथापरॊ भीमबलः शरिया जवलन्न; उपाययौ सिंहविलास विक्रमः
खजं च दर्वीं च करेण धारयन्न; असिं च कालाङ्गम अकॊशम अव्रणम"
2,"स सूदरूपः परमेण वर्चसा; रविर यथा लॊकम इमं परभासयन
सुकृष्ण वासा गिरिराजसारवान; स मत्स्यराजं समुपेत्य तस्थिवान"
3,"तं परेक्ष्य राजा वरयन्न उपागतं; ततॊ ऽबरवीज जानपदान समागतान
सिंहॊन्नतांसॊ ऽयम अतीव रूपवान; परदृश्यते कॊ नु नरर्षभॊ युवा"
4,"अदृष्टपूर्वः पुरुषॊ रविर यथा; वितर्कयन नास्य लभामि संपदम
तथास्य चित्तं हय अपि संवितर्कयन; नरर्षभस्याद्य न यामि तत्त्वतः"
5,"ततॊ विराटं समुपेत्य पाण्डवः; सुदीनरूपॊ वचनं महामनाः
उवाच सूदॊ ऽसमि नरेन्द्र बल्लवॊ; भजस्व मां वयञ्जन कारम उत्तमम"
6,"न सूदतां मानद शरद्दधामि ते; सहस्रनेत्र परतिमॊ हि दृश्यसे
शरिया च रूपेण च विक्रमेण च; परभासि तातानवरॊ नरेष्व इह"
7,"नरेन्द्र सूदः परिचारकॊ ऽसमि ते; जानामि सूपान परथमेन केवलान
आस्वादिता ये नृपते पुराभवन; युधिष्ठिरेणापि नृपेण सर्वशः"
8,"बलेन तुल्यश च न विद्यते मया; नियुद्ध शीलश च सदैव पार्थिव
गजैश च सिंहैश च समेयिवान अहं; सदा करिष्यामि तवानघ परियम"
9,"ददामि ते हन्त वरं महानसे; तथा च कुर्याः कुशलं हि भाषसे
न चैव मन्ये तव कर्म तत समं; समुद्रनेमिं पृथिवीं तवम अर्हसि"
10,"यथा हि कामस तव तत तथा कृतं; महानसे तवं भव मे पुरस्कृतः
नराश च ये तत्र ममॊचिताः पुरा; भवस्व तेषाम अधिपॊ मया कृतः"
11,"तथा स भीमॊ विहितॊ महानसे; विराट राज्ञॊ दयितॊ ऽभवद दृढम
उवास राजन न च तं पृथग्जनॊ; बुबॊध तत्रानुचरश च कश चन"
