1,"[व]
कृत्वा विवाहं तु कुरुप्रवीरास; तदाभिमन्यॊर मुदितस्वपक्षाः
विश्रम्य चत्वार्य उषसः परतीताः; सभां विराटस्य ततॊ ऽभिजग्मुः"
2,"सभा तु सा मत्स्यपतेः समृद्धा; मणिप्रवेकॊत्तम रत्नचित्रा
नयस्तासना माल्यवती सुगन्धा; ताम अभ्ययुस ते नरराज वर्याः"
3,"अथासनान्य आविशतां पुरस्ताद; उभौ विराटद्रुपदौ नरेन्द्रौ
वृद्धश च मान्यः पृथिवीपतीनां; पितामहॊ राम जनार्दनाभ्याम"
4,"पाञ्चालराजस्य समीपतस तु; शिनिप्रवीरः सह रौहिणेयः
मत्स्यस्य राज्ञस तु सुसंनिकृष्टौ; जनार्दनश चैव युधिष्ठिरश च"
5,"सुताश च सर्वे दरुपदस्य राज्ञॊ; भीमार्जुनौ माद्रवतीसुतौ च
परद्युम्न साम्बौ च युधि परवीरौ; विराट पुत्रश च सहाभिमन्युः"
6,"सर्वे च शूराः पितृभिः समाना; वीर्येण रूपेण बलेन चैव
उपाविशन दरौपदेयाः कुमाराः; सुवर्णचित्रेषु वरासनेषु"
7,"तथॊपविष्टेषु महारथेषु; विभ्राजमानाम्बर भूषणेषु
रराज सा राजवती समृद्धा; गरहैर इव दयौर विमलैर उपेता"
8,"ततः कथास ते समवाय युक्ताः; कृत्वा विचित्राः पुरुषप्रवीराः
तस्थुर मुहूर्तं परिचिन्तयन्तः; कृष्णं नृपास ते समुदीक्षमाणाः"
9,"कथान्तम आसाद्य च माहवेन; संघट्टिताः पाण्डव कार्यहेतॊः
ते राजसिंहाः सहिता हय अशृण्वन; वाक्यं महार्थं च महॊदयं च"
10,"सर्वैर भवद्भिर विदितं यथायं; युधिष्ठिरः सौबलेनाक्षवत्याम
जितॊ निकृत्यापहृतं च राज्यं; पुनः परवासे समयः कृतश च"
11,"शक्तैर विजेतुं तरसा महीं च; सत्ये सथितैस तच चरितं यथावत
पाण्डॊः सुतैस तद वरतम उग्ररूपं; वर्षाणि षट सप्त च भारताग्र्यैः"
12,"तरयॊदशश चैव सुदुस्तरॊ ऽयम; अज्ञायमानैर भवतां समीपे
कलेशान असह्यांश च तितिक्षमाणैर; यथॊषितं तद विदितं च सर्वम"
13,"एवंगते धर्मसुतस्य राज्ञॊ; दुर्यॊधनस्यापि च यद धितं सयात
तच चिन्तयध्वं कुरुपाण्डवानां; धर्म्यं च युक्तं च यशः करं च"
14,"अधर्मयुक्तं च न कामयेत; राज्यं सुराणाम अपि धर्मराजः
धर्मार्थयुक्तं च महीपतित्वं; गरामे ऽपि कस्मिंश चिद अयं बुभूषेत"
15,"पित्र्यं हि राज्यं विदितं नृपाणां; यथापकृष्टं धृतराष्ट्र पुत्रैः
मिथ्यॊपचारेण तथाप्य अनेन; कृच्छ्रं महत पराप्तम असह्य रूपम"
16,"न चापि पार्थॊ विजितॊ रणे तैः; सवतेजसा धृतराष्ट्रस्य पुत्रैः
तथापि राजा सहितः सुहृद्भिर; अभीप्सते ऽनामयम एव तेषाम"
17,"यत तत सवयं पाण्डुसुतैर विजित्य; समाहृतं भूमिपतीन निपीड्य
तत परार्थयन्ते पुरुषप्रवीराः; कुन्तीसुता माद्रवतीसुतौ च"
18,"बालास तव इमे तैर विविधौर उपायैः; संप्रार्थिता हन्तुम अमित्रसाहाः
राज्यं जिहीर्षद्भिर असद्भिर उग्रैः; सर्वं च तद वॊ विदितं यथावत"
19,"तेषां च लॊभं परसमीक्ष्य वृद्धं; धर्मात्मतां चापि युधिष्ठिरस्य
संबन्धितां चापि समीक्ष्य तेषां; मतिं कुरुध्वं सहिताः पृथक च"
20,"इमे च सत्ये ऽभिरताः सदैव; तं पारयित्वा समयं यथावत
अतॊ ऽनयथा तैर उपचर्यमाणा; हन्युः समेतान धृतराष्ट्र पुत्रान"
21,"तैर विप्रकारं च निशम्य राज्ञः; सुहृज्जनास तान परिवारयेयुः
युद्धेन बाधेयुर इमांस तथैव; तैर वध्यमाना युधितांश च हन्युः"
22,"तथापि नेमे ऽलपतया समर्थास; तेषां जयायेति भवेन मतं वः
समेत्य सर्वे सहिताः सुहृद्भिस; तेषां विनाशाय यतेयुर एव"
23,"दुर्यॊधनस्यापि मतं यथावन; न जञायते किं नु करिष्यतीति
अज्ञायमाने च मते परस्य; किं सयात समारभ्यतमं मतं वः"
24,"तस्माद इतॊ गच्छतु धर्मशीलः; शुचिः कुलीनः पुरुषॊ ऽपरमत्तः
दूतः समर्थः परशमाय तेषां; राज्यार्ध दानाय युधिष्ठिरस्य"
25,"निशम्य वाक्यं तु जनार्दनस्य; धर्मार्थयुक्तं मधुरं समं च
समाददे वाक्यम अथाग्रजॊ ऽसय; संपूज्य वाक्यं तद अतीव राजन"
