1,"[य]
समागताः पाण्डवाः सृञ्जयाश च; जनार्दनॊ युयुधानॊ विराटः
यत ते वाक्यं धृतराष्ट्रानुशिष्टं; गावल्गणे बरूहि तत सूतपुत्र"
2,"अजत शत्रुं च वृकॊदरं च; धनंजयं माद्रवतीसुतौ च
आमन्त्रये वासुदेवं च शौरिं; युयुधानं चेकितानं विराटम"
3,"पाञ्चालानाम अधिपं चैव वृद्धं; धृष्टद्युम्नं पार्षतं याज्ञसेनिम
सर्वे वाचं शृणुतेमां मदीयां; वक्ष्यामि यां भूतिम इच्छन कुरूणाम"
4,"शमं राजा धृतराष्ट्रॊ ऽभिनन्दन्न; अयॊजयत तवरमाणॊ रथं मे
स भरातृपुत्र सवजनस्य राज्ञस; तद रॊचतां पाण्डवानां शमॊ ऽसतु"
5,"सर्वैर धर्मैः समुपेताः सथ पार्थाः; परस्थानेन मार्दवेनार्जवेन
जाताः कुले अनृशंसा वदान्या; हरीनिषेधाः कर्मणां निश्चयज्ञाः"
6,"न युज्यते कर्म युष्मसु हीनं; सत्त्वं हि वस तादृशं भीमसेनाः
उद्भासते हय अञ्जन बिन्दुवत तच; छुक्ले वस्त्रे यद भवेत किल्बिषं वः"
7,"सर्वक्षयॊ दृश्यते यत्र कृत्स्नः; पापॊदयॊ निरयॊ ऽभाव संस्थः
कस तत कुर्याज जतु कर्म परजानन; पराजयॊ यत्र समॊ जयश च"
8,"ते वै धन्य यैः कृतं जञातिकार्यं; ये वः पुत्राः सुहृदॊ बान्धवाश च
उपक्रुष्टं जीवितं संत्यजेयुस; ततः कुरूणां नियतॊ वै भवः सयात"
9,"ते चेत कुरून अनुशास्य सथ पार्था; निनीय सर्वान दविषतॊ निगृह्य
समं वस तज जीवितं मृत्युना सयाद; यज जीवध्वं जञातिवधे न साधु"
10,"कॊ हय एव युस्मान सह केशवेन; स चेकितानान पार्षत बाहुगुप्तान
स सात्यकीन विषहेत परजेतुं; लब्ध्वापि देवान सचिवान सहेन्द्रान"
11,"कॊ वा कुरून दरॊण भीष्माभिगुप्तान; अश्वत्थाम्ना शल्य कृपादिभिश च
रणे परसॊढुं विषहेत राजन; राधेय गुप्तान सह भूमिपालैः"
12,"महद बलं धार्तराष्ट्रस्य राज्ञः; कॊ वै शक्तॊ हन्तुम अक्षीयमाणः
सॊ ऽहं जये चैव पराजये च; निःश्रेयसं नाधिगच्छामि किं चित"
13,"कथं हि नीचा इव दौष्कुलेया; निर्धर्मार्थं कर्म कुर्युश च पार्थाः
सॊ ऽहं परसाद्य परणतॊ वासुदेवं; पाञ्चालानाम अधिपं चैव वृद्धम"
14,"कृताञ्जलिः शरणं वः परपद्ये; कथं सवस्ति सत्यात कुरुसृञ्जयानाम
न हय एव ते वचनं वासुदेवॊ; धनंजयॊ वा जातु किं चिन न कुर्यात"
15,"पराणान आदौ याच्यमानः कुतॊ ऽनयद; एतद विद्वन साधनार्थं बरवीमि
एतद राज्ञॊ भीष्म पुरॊगमस्य; मतं यद वः शान्तिर इहॊत्तमा सयात"
