1,"[व]
अनुज्ञातः पाण्डवेन परययौ संजयस तदा
शासनं धृतराष्ट्रस्य सर्वं कृत्वा महात्मनः"
2,"संप्राप्य हास्तिनपुरं शीघ्रं च परविवेश ह
अन्तःपुरम उपस्थाय दवाःस्थं वचनम अब्रवीत"
3,"आचक्ष्व मां धृतराष्ट्राय दवाःस्थ; उपागतं पाण्डवानां सकाशात
जागर्ति चेद अभिवदेस तवं हि कषत्तः; परविशेयं विदितॊ भूमिपस्य"
4,"संजयॊ ऽयं भूमिपते नमस ते; दिदृक्षया दवारम उपागतस ते
पराप्तॊ दूतः पाण्डवानां सकाशात; परशाधि राजन किम अयं करॊतु"
5,"आचक्ष्व मांसुखिनं काल्यम अस्मै; परवेश्यतां सवागतं संजयाय
न चाहम एतस्य भवाम्य अकाल्यः; स मे कस्माद दवारि तिष्ठेत कषत्तः"
6,"ततः परविश्यानुमते नृपस्य; महद वेश्म पराज्ञशूरार्य गुप्तम
सिंहासनस्थं पार्थिवम आससाद; वैचित्रवीर्यं पराञ्जलिः सूतपुत्रः"
7,"संजयॊ ऽहं भूमिपते नमस ते; पराप्तॊ ऽसमि गत्वा नरदेव पाण्डवान
अभिवाद्य तवां पाण्डुपुत्रॊ मनस्वी; युधिष्ठिरः कुशलं चान्वपृच्छत"
8,"स ते पुत्रान ऋप्च्छति परीयमाणः; कच चित पुत्रैः परीयसे नप्तृभिश च
तथा सुधृद्भिः सचिवैश च राजन; ये चापि तवाम उपजीवन्ति तैश च"
9,"अभ्येत्य तवां तात वदामि संजय; अजातशत्रुं च सुखेन पार्थम
कच चित स राजा कुशली सपुत्रः; सहामात्यः सानुजः कौरवाणाम"
10,"सहामात्यः कुशली पाण्डुपुत्रॊ; भूयश चातॊ यच च ते ऽगरे मनॊ ऽभूत
निर्णिक्त धर्मार्थकरॊ मनस्वी; बहुश्रुतॊ दृष्टिमाञ शीलवांश च"
11,"परं धर्मात पाण्डवस्यानृशंस्यं; धर्मः परॊ वित्तचयान मतॊ ऽसय
सुखप्रिये धर्महीने न पार्थॊ; अनुरुध्यते भारत तस्य विद्धि"
12,"परप्रयुक्तः पुरुषॊ विचेष्टते; सूत्रप्रॊता दारुमयीव यॊषा
इमं दृष्ट्वा नियमपाण्डवस्य; मन्ये परं करं दैवं मनुष्यात"
13,"इमं च दृष्ट्वा तव कर्म दॊषं; पादॊदर्कं घॊरम अवर्ण रूपम
यावन नरः कामयते ऽतिकाल्यं; तावन नरॊ ऽयं लभते परशंसाम"
14,"अजातशत्रुस तु विहाय पापं; जीर्णां तवचं सर्प इवासमर्थाम
विरॊचते ऽहार्य वृत्तेन वीरॊ; युधिष्ठिरस तवयि पापं विसृज्य"
15,"अङ्गात्मनः कर्म निबॊध राजन; धर्मार्थयुक्ताद आर्य वृत्ताद अपेतम
उपक्रॊशं चेह गतॊ ऽसि राजन; नॊहेश च पापं परसजेद अमुत्र"
16,"स तवम अर्थं संशयितं विना तैर; आशंससे पुत्र वशानुगॊ ऽदय
अधर्मशब्दश च महान पृथिव्यां; नेदं कर्म तवत्समं भारताग्र्य"
17,"हीनप्रज्ञॊ दौष्कुलेयॊ नृशंसॊ; दीर्घवैरी कषत्रविद्यास्व अधीरः
एवं धर्मा नापदः संतितीर्षेद; धीन वीर्यॊ यश च भवेद अशिष्टः"
18,"कुले जातॊ धर्मवान यॊ यशस्वी; बहुश्रुतः सुखजीवी यतात्मा
धर्मार्थयॊर गरथितयॊर बिभर्ति; नान्यत्र दिष्टस्य वशाद उपैति"
19,"कथं हि मन्त्राग्र्य धरॊ मनीषी; धर्मार्थयॊर आपदि संप्रणेता
एवं युक्तः सर्वमन्त्रैर अहीनॊ; अनानृशंस्यं कर्म कुर्याद अमूढः"
20,"तवापीमे मन्त्रविदः समेत्य; समासते कर्मसु नित्ययुक्ताः
तेषाम अयं बलवान निश्चयश च; कुरु कषयार्थे निरयॊ वयपादि"
21,"अकालिकं कुरवॊ नाभविष्यन; पापेन चेत पापम अजातशत्रुः
इच्छेज जातु तवयि पापं विसृज्य; निन्दा चेयं तव लॊके ऽभिविष्यत"
22,"किम अन्यत्र विषयाद ईश्वराणां; यत्र पार्थः परलॊकं ददर्श
अत्यक्रामत स तथा संमतः सयान; न संशयॊ नास्ति मनुष्यकारः"
23,"एतान गुणान कर्मकृतान अवेक्ष्य; भावाभावौ वर्तमानाव अनित्यौ
बलिर हि राजा पारम अविन्दमानॊ; नान्यत कालात कारणं तत्र मेने"
24,"चक्षुः शरॊत्रे नासिका तवक च जिह्वा; जञानस्यैतान्य आयतनानि जन्तॊः
तानि परीतान्य एव तृष्णा कषयान्ते; तान्य अव्यथॊ दुःखहीनः परणुद्यात"
25,"न तव एवम अन्ये पुरुषस्य कर्म; संवर्तते सुप्रयुक्तं यथावत
मातुः पितुः कर्मणाभिप्रसूतः; संवर्धते विधिवद भॊजनेन"
26,"परियाप्रिये सुखदुःखे च राजन; निन्दाप्रशंसे च भजेत एनम
परस तव एनं गर्हयते ऽपराधे; परशंसते साधुवृत्तं तम एव"
27,"स तवा गर्हे भारतानां विरॊधाद; अन्तॊ नूनं भवितायं परजानाम
नॊ चेद इदं तव कर्मापराधात; कुरून दहेत कृष्ण वर्त्मेव कक्षम"
28,"तवम एवैकॊ जातपुत्रेषु राजन; वशं गन्ता सर्वलॊके नरेन्द्र
कामात्मनां शलाघसे दयूतकाले; नान्यच छमात पश्य विपाकम अस्य"
29,"अनाप्तानां परग्रहात तवं नरेन्द्र; तथाप्तानां निग्रहाच चैव राजन
भूमिं सफीतां दुर्बलत्वाद अनन्तां; न शक्तस तवं रक्षितुं कौरवेय"
30,"अनुज्ञातॊ रथवेगावधूतः; शरान्तॊ निपद्ये शयनं नृसिंह
परातः शरॊतारः कुरवः सभायाम; अजातशत्रॊर वचनं समेताः"
