1,"[धृ]
पृच्छामि तवां संजय राजमध्ये; किम अब्रवीद वाक्यम अदीनसत्त्वः
धनंजयस तात युधां परणेता; दुरात्मनां जीवितच्छिन महात्मा"
2,"दुर्यॊधनॊ वाचम इमां शृणॊतु; यद अब्रवीद अर्जुनॊ यॊत्स्यमानः
युधिष्ठिरस्यानुमते महात्मा; धनंजयः शृण्वतः केशवस्य"
3,"अन्वत्रस्तॊ बाहुवीर्यं विदान; उपह्वरे वासुदेवस्य धीरः
अवॊचन मां यॊत्स्यमानः किरीटी; मध्ये बरूया धार्तराष्ट्रं कुरूणाम"
4,"ये वै राजानः पाण्डवायॊधनाय; समानीताः शृण्वतां चापि तेषाम
यथा समग्रं वचनं मयॊक्तं; सहामात्यं शरावयेथा नृपं तम"
5,"यथा नूनं देवराजस्य देवाः; शुश्रूषन्ते वज्रहस्तस्य सर्वे
तथाशृण्वन पाण्डवाः सृञ्जयाश च; किरीटिना वाचम उक्तां समर्थाम"
6,"इत्य अब्रवीद अर्जुनॊ यॊत्स्यमानॊ; गाण्डीवधन्वा लॊहितपद्मनेत्रः
न चेद राज्यं मुञ्चति धार्तराष्ट्रॊ; युधिष्ठिरस्याजमीढस्य राज्ञः
अस्ति नूनं कर्मकृतं पुरस्ताद; अनिर्विष्टं पापकं धार्तराष्ट्रैः"
7,"येषां युद्धं भीमसेनार्जुनाभ्यां; तथाश्विभ्यां वासुदेवेन चैव
शैनेयेन धरुवम आत्तायुधेन; धृष्टद्युम्नेनाथ शिखण्डिना च
युधिष्ठिरेणेन्द्र कल्पेन चैव; यॊ ऽपध्यानान निर्दहेद गां दिवं च"
8,"तैश चेद युद्धं मन्यते धार्तराष्ट्रॊ; निर्वृत्तॊ ऽरथः सकलः पाण्डवानाम
मा तत कार्षीः पाण्डवार्थाय हेतॊर; उपैहि युद्धं यदि मन्यसे तवम"
9,"यां तां वने दुःखशय्याम उवास; परव्राजितः पाण्डवॊ धर्मचारी
आशिष्यते दुःखतराम अनर्थाम; अन्त्यां शय्यां धार्तराष्ट्रः परासुः"
10,"हरिया जञानेन तपसा दमेन; करॊधेनाथॊ धर्मगुप्त्या धनेन
अन्याय वृताः कुरुपाण्डवेयान; अध्यातिष्ठद धार्तराष्ट्रॊ दुरात्मा"
11,"मायॊपधः परणिधानार्जवाभ्यां; तपॊ दमाभ्यां धर्मगुप्त्या बलेन
सत्यं बरुवन परीतियुक्त्यानृतेन; तितिक्षमाणः कलिश्यमानॊ ऽतिवेलम"
12,"यदा जयेष्ठः पाण्डवः संशितात्मा; करॊधं यत तं वर्षपूगान सुघॊरम
अवस्रष्टा कुरुषूद्वृत्त चेतास; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
13,"कृष्ण वर्त्मेव जवलितः समिद्धॊ; यथा दहेत कक्षम अग्निर निदाघे
एवं दग्धा धार्तराष्ट्रस्य सेनां; युधिष्ठिरः करॊधदीप्तॊ ऽनुवीक्ष्य"
14,"यद्या दरष्टा भीमसेनं रणस्थं; गदाहस्तं करॊधविषं वमन्तम
दुर्मर्षणं पाण्डवं भीमवेगं; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
15,"महासिंहॊ गाव इव परविश्य; गदापाणिर धार्तराष्ट्रान उपेत्य
यदा भीमॊ भीमरूपॊ निहन्ता; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
16,"महाभये वीतभयः कृतास्त्रः; समागमे शत्रुबलावमर्दी
सकृद रथेन परतियाद रथौघान; पदातिसंघान गदयाभिनिघ्नन"
17,"सैन्यान अनेकांस तरसा विमृद्नन; यदा कषेप्ता धार्तराष्ट्रस्य सैन्यम
छिन्दन वनं परशुनेव शूरस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
18,"तृणप्रायं जवलनेनेव दग्धं; गरामं यथा धार्तराष्ट्रः समीक्ष्य
पक्वं सस्यं वैद्युतेनेव दग्धं; परासिक्तं विपुलं सवं बलौघम"
19,"हतप्रवीरं विमुखं भयार्तं; पराङ्मुखं परायशॊ ऽधृष्ट यॊधम
शस्त्रार्चिषा भीमसेनेन दग्धं; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
20,"उपासङ्गाद उद्धरन दक्षिणेन; परःशतान नकुलश चित्रयॊधी
यदा रथाग्र्यॊ रथिनः परचेता; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
21,"सुखॊचितॊ दुःखशय्यां वनेषु; दीर्घं कालं नकुलॊ याम अशेत
आशीविषः करुद्ध इव शवसन भृशं; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
22,"तयक्तात्मानः पार्थिवायॊधनाय; समादिष्टा धर्मराजेन वीराः
रथैः शुभ्रैः सैन्यम अभिद्रवन्तॊ; दृष्ट्वा पश्चात तप्स्यते धार्तराष्ट्रः"
23,"शिशून कृतास्त्रान अशिशु परकाशान; यदा दरष्टा कौरवः पञ्च शूरान
तयक्त्वा पराणान केकयान आद्रवन्तस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
24,"यदा गतॊद्वाहम अकूजनाक्षं; सुवर्णतारं रथम आततायी
दान्तैर युक्तं सहदेवॊ ऽधिरूढः; शिरांसि राज्ञां कषेप्स्यते मार्गणौघैः"
25,"महाभये संप्रवृत्ते रथस्थं; विवर्तमानं समरे कृतास्त्रम
सर्वां दिशं संपतन्तं समीक्ष्य; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
26,"हरीनिषेधॊ निपुणः सत्यवादी; महाबलः सर्वधर्मॊपपन्नः
गान्धारिम आर्च्छंस तुमुले कषिप्रकारी; कषेप्ता जनान सहदेवस तरस्वी"
27,"यदा दरष्टा दरौपदेयान महेषूञ; शूरान कृतास्त्रान रथयुद्धकॊविदान
आशीविषान घॊरविषान इवायतस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
28,"यदाभिमन्युः परवीर घाती; शरैः परान मेघ इवाभिवर्षन
विगाहिता कृष्ण समः कृतास्त्रस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
29,"यदा दरष्टा बालम अबाल वीर्यं; दविषच चमूं मृत्युम इवापतन्तम
सौभद्रम इन्द्र परतिमं कृतास्त्रं; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
30,"परभद्रकाः शीघ्रतरा युवानॊ; विशारदाः सिंहसमान वीर्याः
यदा कषेप्तारॊ धार्तराष्ट्रान स सैन्यांस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
31,"वृद्धौ विराटद्रुपदौ महारथौ; पृथक चमूभ्याम अभिवर्तमानौ
यदा दरष्टारौ धार्तराष्ट्रान स सैन्यांस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
32,"यदा कृतास्त्रॊ दरुपदः परचिन्वञ; शिरांसि यूनां समरे रथस्थः
करुद्धः शरैश छेत्स्यति चापमुक्तैस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
33,"यदा विराटः परवीर घाती; मर्मान्तरे शत्रुचमूं परवेष्टा
मत्स्यैः सार्धम अनृशंसरूपैस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
34,"जयेष्ठं मात्स्यानाम अनृशंस रूपं; विराट पुत्रं रथिनं पुरस्तात
यदा दरष्टा दंशितं पाण्डवार्थे; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
35,"रणे हते कौरवाणां परवीरे; शिखण्डिना सत्तमे शंतनूजे
न जातु नः शत्रवॊ धारयेयुर; असंशयं सत्यम एतद बरवीमि"
36,"यदा शिखण्डी रथिनः परचिन्वन; भीष्मं रथेनाभियाता वरूथी
दिव्यैर हयैर अवमृद्नन रथौघांस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
37,"यदा दरष्टा सृञ्जयानाम अनीके; धृष्टद्युम्नं परमुखे रॊचमानम
अस्त्रं यस्मै गुह्यम उवाच धीमान; दरॊणस तदा तप्स्यति धार्तराष्ट्रः"
38,"यदा स सेनापतिर अप्रमेयः; पराभवन्न इषुभिर धार्तराष्ट्रान
दरॊणं रणे शत्रुसहॊ ऽभियाता; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
39,"हरीमान मनीषी बलवान मनस्वी; स लक्ष्मीवान सॊमकानां परबर्हः
न जातु तं शत्रवॊ ऽनये सहेरन; येषां स सयाद अग्रणीर वृष्णिसिंहः"
40,"बरूयाच च मा परवृणीष्वेति लॊके; युद्धे ऽदवितीयं सचिवं रथस्थम
शिनेर नप्तारं परवृणीम सात्यकिं; महाबलं वीतभयं कृतास्त्रम"
41,"यदा शिनीनाम अधिपॊ मयॊक्तः; शरैः परान मेघ इव परवर्षन
परच्छादयिष्यञ शरजालेन यॊधांस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
42,"यदा धृतिं कुरुते यॊत्स्यमानः; स दीर्घबाहुर दृढधन्वा महात्मा
सिंहस्येव गन्धम आघ्राय गावः; संवेष्टन्ते शत्रवॊ ऽसयाद यथाग्नेः"
43,"स दीर्घबाहुर दृढधन्वा महात्मा; भिन्द्याद गिरीन संहरेत सर्वलॊकान
अस्त्रे कृती निपुणः कषिप्रहस्तॊ; दिवि सथितः सूर्य इवाभिभाति"
44,"चित्रः सूक्ष्मः सुकृतॊ यावद अस्य; अस्त्रे यॊगॊ वृष्णिसिंहस्य भूयान
यथाविधं यॊगम आहुः परशस्तं; सर्वैर गुणैः सात्यकिस तैर उपेतः"
45,"हिरण्मयं शवेतहयैश चतुर्भिर; यदा युक्तं सयन्दनं माधवस्य
दरष्टा युद्धे सात्यकेर वै सुयॊधनस; तदा तप्स्यत्य अकृतात्मा स मन्दः"
46,"यदा रथं हेममणिप्रकाशं; शवेताश्वयुक्तं वानरकेतुम उग्रम
दरष्टा रणे संयतं केशवेन; तदा तप्स्यत्य अकृतात्मा स मन्दः"
47,"यदा मौर्व्यास तलनिष्पेषम उग्रं; महाशब्दं वज्रनिष्पेष तुल्यम
विधूयमानस्य महारणे मया; गाण्डीवस्य शरॊष्यति मन्दबुद्धिः"
48,"ततॊ मूढॊ धृतराष्ट्रस्य पुत्रस; तप्ता युद्धे दुर्मतिर दुःसहायः
दृष्ट्वा सैन्यं बाणवर्णान्ध कारं; परभज्यन्तं गॊकुलवद रणाग्रे"
49,"बलाहकाद उच्चरन्तीव विद्युत; सहस्रघ्नी दविषतां संगमेषु
अस्थिच्छिदॊ मर्मभिदॊ वमेच छरांस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
50,"यदा दरष्टा जया मुखाद वाण संघान; गाण्डीवमुक्तान पततः शिताग्रान
नागान हयान वर्मिणश चाददानांस; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
51,"यदा मन्दः परबाणान विमुक्तान; ममेषुभिर हरियमाणान परतीपम
तिर्यग विद्वांश छिद्यमानान कषुरप्रैस; तदा युद्धं धार्तराष्ट्रॊ ऽनवप्स्यत"
52,"यदा विपाठा मद भुजविप्रमुक्ता; दविजाः फलानीव महीरुहाग्रात
परच्छेत्तार उत्तमाङ्गानि यूनां; तदा युद्धं धार्तराष्ट्रॊ ऽनवतप्स्यत"
53,"यदा दरष्टा पततः सयन्दनेभ्यॊ; महागजेभ्यॊ ऽशवगतांश च यॊधान
शरैर हतान पातितांश चैव रङ्गे; तदा युद्धं धार्तराष्ट्रॊ ऽनवतस्यत"
54,"पदातिसंघान रथसंघान समन्ताद; वयात्ताननः काल इवाततेषुः
परणॊत्स्यामि जवलितैर बाणवर्षैः; शत्रूंस तदा तप्स्यति मन्दबुद्धिः"
55,"सर्वा दिशः संपतता रथेन; रजॊध्वस्तं गाण्डिवेनापकृत्तम
यदा दरष्टा सवबलं संप्रमूढं; तदा पश्चात तप्स्यति मन्दबुद्धिः"
56,"कां दिग भूतं छिन्नगात्रं विसंज्ञं; दुर्यॊधनॊ दरक्ष्यति सर्वसैन्यम
हताश्ववीराग्र्य नरेन्द्र नागं; पिपासितं शरान्तपत्रं भयार्तम"
57,"आर्तस्वरं हन्यमानं हतं च; विकीर्णकेशास्थि कपालसंघम
परजापतेः कर्म यथार्ध निष्ठितं; तदा दृष्ट्वा तप्स्यते मन्दबुद्धिः"
58,"यदा रथे गाण्डिवं वासुदेवं; दिव्यं शङ्खं पाञ्चजन्यं हयांश च
तूणाव अक्षय्यौ देवदत्तं च मां च; दरष्टा युद्धे धार्तराष्ट्रः समेतान"
59,"उद्वर्तयन दस्यु संघान समेतान; परवर्तयन युगम अन्यद युगान्ते
यदा धक्ष्याम्य अग्निवत कौरवेयांस; तदा तप्ता धृतराष्ट्रः सपुत्रः"
60,"सह भराता सह पुत्रः स सैन्यॊ; भरष्टैश्वर्यः करॊधवशॊ ऽलपचेताः
