1,"[धृ]
चक्षुष्मतां वै सपृहयामि संजय; दरक्ष्यन्ति ये वासुदेवं समीपे
विभ्राजमानं वपुषा परेण; परकाशयन्तं पर्दिशॊ दिशश च"
2,"ईरयन्तं भारतीं भारतानाम; अभ्यर्चनीयां शंकरीं सृञ्जयानाम
बुभूषद्भिर गरहणीयाम अनिन्द्यां; परासूनाम अग्रहणीय रूपाम"
3,"समुद्यन्तं सात्वतम एकवीरं; परणेतारम ऋषभं यादवानाम
निहन्तारं कषॊभणं शात्रवाणां; मुष्णन्तं च दविषतां वै यशांसि"
4,"दरष्टारॊ हि कुरवस तं समेता; महात्मानं शत्रुहणं वरेण्यम
बरुवन्तं वाचम अनृशंस रूपां; वृष्णिश्रेष्ठं मॊहयन्तं मदीयान"
5,"ऋषिं सनातनतमं विपश्चितं; वाचः समुद्रं कलशं यतीनाम
अरिष्टनेमिं गरुडं सुपर्णं; पतिं परजानां भुवनस्य धाम"
6,"सहस्रशीर्षं पुरुषं पुराणम; अनादिमध्यान्तम अनन्त कीर्तिम
शुक्रस्य धातारम अजं जनित्रं; परं परेभ्यः शरणं परपद्ये"
7,"तरैलॊक्यनिर्माण करं जनित्रं; देवासुराणाम अथ नागरक्षसाम
नराधिपानां विदुषां परधानम; इन्द्रानुजं तं शरणं परपद्ये"
