1,"[स]
वयुष्टां निशां भारत भारतानाम; अनीकिनिनां परमुखे महात्मा
ययौ सपत्नान परति जातकॊपॊ; वृतः समग्रेण बलेन भीष्मः"
2,"तं दरॊणदुर्यॊधनबाह्लिकाश च; तथैव दुर्मर्षणचित्रसेनौ
जयद्रथश चातिबलॊ बलौघैर; नृपास तथान्ये ऽनुययुः समन्तात"
3,"स तैर महद्भिश च महारथैश; च तेजस्विभिर वीर्यवद्भिश च राजन
रराज राजॊत्तमराजमुखैर; वृतः स देवैर इव वर्ज पाणिः"
4,"तस्मिन्न अनीक परमुखे विषक्ता; दॊधूयमानाश च महापताकाः
सुरक्त पीतासित पाण्डुर आभा; महागजस्कन्धगता विरेजुः"
5,"सा वाहिनी शांतनवेन राज्ञा; महारथैर वारणवाजिभिश च
बभौ स विद्युत सतनयित्नुकल्पा; जलागमे दयौर इव जातमेघा"
6,"ततॊ रणायाभिमुखी परयाता; परत्य अर्जुनं शांतनवाभिगुप्ता
सेना महॊग्रा सहसा करूणां; वेगॊ यथा भीम इवापगायाः"
7,"तं वयालनानाविध विगूढ सारं; गजाश्वपादातरथौघपक्षम
वयूहं महामेघसमं महात्मा; ददर्श दुरात कपिराजकेतुः"
8,"स निर्ययौ केतुमता रथेन; नरर्षभः शवेतहयेन वीरः
वरूथिना सैन्यमुखे महात्मा; वधे धृतः सर्वसपत्न यूनाम"
9,"सूपस्करं सॊत्तर बन्धुरेषं; यत्तं यदूनाम ऋषभेण संख्ये
कपिध्वजं परेक्ष्य विषेदुर आजौ; सहैव पुत्रैस तव कौरवेयाः"
10,"परकर्षता गुप्तम उदायुधेन; किरीटिना लॊकमहारथेन
तं वयूह राजं ददृशुस तवदीयाश; चतुश चतुर्व्याल सहस्रकीर्णम"
11,"यथा हि पूर्वे ऽहनि धर्मराज्ञा वयूहः; कृतः कौरवनन्दनेन
तथा तथॊद्देशम उपेत्य तस्थुः; पाञ्चाल मुख्यैः सह चेदिमुख्याः"
12,"ततॊ महावेगसमाहतानि; भेरीसहस्राणि विनेदुर आजौ
शङ्खस्वना दुन्दुभिनिस्वनाश च; सर्वेष्व अनीकेषु ससिंहनादाः"
13,"ततः स बाणानि महास्वनानि; विस्फार्यमाणानि धनूंषि वीरैः
कषणेन भेरी पणवप्रणादान; अन्तर्दधुः शङ्खमहास्वनाश च"
14,"तच छङ्खशब्दावृतम अन्तरिक्षम; उद्धुत भौम दरुतरेणुजालम
महावितानावतत परकाशम; आलॊक्य वीराः सहसाभिपेतुः"
15,"रथी रथेनाभिहतः ससूतः; पपात साश्वः स रथः स केतुः
गजॊ गजेनाभिहतः पपात; पदातिना चाभिहतः पदातिः"
16,"आवर्तमानान्य अभिवर्तमानैर; बाणैः कषतान्य अद्भुतदर्शनानि
परासैश च खड्गैश च समाहतानि; सदश्ववृन्दानि सदश्ववृन्दैः"
17,"सुवर्णतारा गणभूषितानि; शरावराणि परहितानि वीरैः
विदार्यमाणानि परश्वधैश च; परासैश च खड्गैश च निपेतुर उर्व्याम"
18,"गजैर विषाणैर वरहस्तरुग्णाः; के चित ससूता रथिनः परपेतुः
गजर्षभाश चापि रथर्षभेण; निपेतिरे बाणहताः पृथिव्याम"
19,"गजौघवेगॊद्धतसादितानां; शरुत्वा निषेदुर वसुधां मनुष्याः
आर्तस्वरं सादिपदातियूनां; विषाण गात्रावर ताडितानाम"
20,"संभ्रान्तनागाश्वरथे परसूते; महाभये सादिपदाति यूनाम
महारथैः संपरिवार्यमाणं; ददर्श भीष्मः कपिराजकेतुम"
21,"तं पञ्च तालॊच्छ्रिततालकेतुः; सदश्ववेगॊद्धत वीर्ययातः
महास्त्र बाणाशनिदीप्तमार्गं; किरीटिनं शांतनवॊ ऽभयधावत"
22,"तथैव शक्र परतिमानकल्पम; इन्द्रात्मजं दरॊण मुखाभिसस्रुः
कृपश च शल्यश च विविंशतिश च; दुर्यॊधनः सौमदत्तिश च राजन"
23,"ततॊ रथानीक मुखाद उपेत्य; सर्वास्त्रवित काञ्चनचित्रवर्मा
जवेन शूरॊ ऽभिससार सर्वांस; तथार्जुनस्यात्र सुतॊ ऽभिमन्युः"
24,"तेषां महास्त्राणि महारथानाम; असक्तकर्मा विनिहत्य कार्ष्णिः
बभौ महामन्त्रहुतार्चि माली; सगॊद्गतः सन भगवान इवाग्निः"
25,"ततः स तूर्णं रुधिरॊद फेनां; कृत्वा नदीं वैशसने रिपूणाम
जगाम सौभद्रम अतीत्य भीष्मॊ; महारथं पार्थम अदीनसत्त्वः"
26,"ततः परहस्याद्भुत दर्शनेन; गाण्डीवनिर्ह्वाद महास्वनेन
विपाठ जालेन महास्त्र जालं; विनाशयाम आस किरीटमाली"
27,"तम उत्तमं सर्वधनुर्धराणाम; असक्तकर्मा कपिराजकेतुः
भीष्मं महात्माभिववर्ष तूर्णं; शरौघजालैर विमलैश च भल्लैः"
28,"एवंविधं कार्मुकभीम नादम; अदीनवत सत्पुरुषॊत्तमाभ्याम
ददर्श लॊकः कुरुसृञ्जयाश च; तद दवैरथं भीष्म धनंजयाभ्याम"
