1,"[स]
दरॊणं स जित्वा पुरुषप्रवीरस; तथैव हार्दिक्य मुखांस तवदीयान
परहस्य सूतं वचनं बभाषे; शिनिप्रवीरः कुरुपुंगवाग्र्य"
2,"निमित्तमात्रं वयम अत्र सूत; दग्धारयः केशव फल्गुनाभ्याम
हतान निहन्मेह नरर्षभेण; वयं सुरेशात्म समुद्भवेन"
3,"तम एवम उक्त्वा शिनिपुंगवस तदा; महामृधे सॊ ऽगर्यधनुर्धरॊ ऽरिहा
किरन समन्तात सहसा शरान बली; समापतच छयेन इवामिषं यथा"
4,"तं यान्तम अश्वैः शशशङ्खवर्णैर; विगाह्य सैन्यं पुरुषप्रवीरम
नाशक्नुवन वारयितुं समन्ताद; आदित्यरश्मि पर्तिमं नराग्र्यम"
5,"असह्य विक्रान्तम अदीत सत्त्वं; सर्वे गणा भारत दुर्विषह्यम
सहस्रनेत्र परतिमप्रभावं; दिवीव सूर्यं जलदव्यपाये"
6,"अमर्षपूर्णस तव अतिचित्र यॊधी; शरासनी काञ्चनवर्म धारी
सुदर्शनः सात्यकिम आपतन्तं; नयवारयद राजवरः परसह्य"
7,"तयॊर अभूद भरत संप्रहारः; सुदारुणस तं समभिप्रशंसन
यॊधास तवदीयाश च हि सॊमकाश च; वृत्रेन्द्रयॊर युद्धम इवामरौघाः"
8,"शरैः सुतीक्ष्णैः शतशॊ ऽभयविध्यत; सुदर्शनः सात्वत मुख्यम आजौ
अनागतान एव तु तान पृषत्कांश; चिच्छेद बाणैः शिनिपुंगवॊ ऽपि"
9,"तथैव शक्र परतिमॊ ऽपि सात्यकिः; सुदर्शने यान कषिपति सम सायकान
दविधा तरिधा तान अकरॊत सुदर्शनः; शरॊत्तमैः सयन्दनवर्यम आस्थितः"
10,"संप्रेक्ष्य बाणान निहतांस तदानीं; सुदर्शनः सात्यकिबाणवेगैः
करॊधाद दिधक्षन्न इव तिग्मतेजाः; शरान अमुञ्चत तपनीयचित्रान"
11,"पुनः स बाणैस तरिभिर अग्निकल्पैर; आकर्णपूर्णैर निशितैः सुपुङ्खैः
विव्याध देहावरणं विभिद्य; ते सात्यकेर आविविशुः शरीरम"
12,"तथैव तस्यावनि पाल पुत्रः; संधाय बाणैर अपरैर जवलद्भिः
आजघ्निवांस तान रजतप्रकाशांश; चतुर्भिर अश्वांश चतुरः परसह्य"
13,"तथा तु तेनाभिहतस तरस्वी; नप्ता शिनेर इन्द्रसमानवीर्यः
सुदर्शनस्येषु गणैः सुतीक्ष्णैर; हयान निहत्याशु ननाद नादम"
14,"अथास्य सूतस्य शिरॊ निकृत्य; भल्लेन वज्राशनिसंनिभेन
सुदर्शनस्यापि शिनिप्रवीरः; कषुरेण चिच्छेद शिरः परसह्य"
15,"सकुण्डलं पूर्णशशिप्रकाशं; भराजिष्णु वक्त्रं निचकर्त देहात
यथा पुरा वज्रधरः परसह्य; बलस्य संख्ये ऽतिबलस्य राजन"
16,"निहत्य तं पार्थिव पुत्रपौत्रं; रणे यदूनाम ऋषभस तरस्वी
मुदा समेतः परया महात्मा; रराज राजन सुरराजकल्पः"
17,"ततॊ ययाव अर्जुनम एव येन; निवार्य सैन्यं तव मार्गणौघैः
सदश्वयुक्तेन रथेन निर्याल; लॊकान विसिस्मापयिषुर नृवीरः"
18,"तत तस्य विस्मापयनीयम अग्र्यम; अपूजयन यॊधवराः समेताः
यद वर्तमानान इषुगॊचरे ऽरीन; ददाह बाणैर हुतभुग यथैव"
