1,"[स]
तद धर्मशीलस्य वचॊ निशम्य; राज्ञः करुद्धस्याधिरथौ महात्मा
उवाच दुर्धर्षम अदीनसत्त्वं; युधिष्ठिरं जिष्णुर अनन्तवीर्यः"
2,"संशप्तकैर युध्यमानस्य मे ऽदय; सेनाग्रयायी कुरुसैन्यस्य राजन
आशीविषाभान खगमान परमुञ्चन; दरौणिः पुरस्तात सहसा वयतिष्ठत"
3,"दृष्ट्वा रथं मेघनिभं ममेमम; अम्बष्ठ सेना मरणे वयतिष्ठत
तेषाम अहं पञ्च शतानि हत्वा; ततॊ दरौणिम अगमं पार्थिवाग्र्य"
4,"ततॊ ऽपरान बाणसंघान अनेकान; आकर्णपूर्णायत विप्रमुक्तान
ससर्ज शिक्षास्त्र बलप्रयत्नैर; तथा यथा परावृषि काममेघः"
5,"नैवाददानं न च संदधानं; जानीमहे कतरेणास्यति इति
वामेन वा यदि वा दक्षिणेन; स दरॊणपुत्रः समरे पर्यवर्तत"
6,"अविध्यन मां पञ्चभिर दरॊणपुत्रः; शितैः शरैः पञ्चभिर वासुदेवम
अहं तु तं तरिंशता वज्रकल्पैः; समार्दयं निमिषस्यान्तरेण"
7,"स विक्षरन रुधिरं सर्वगात्रै; रथानीकं सूत सूनॊर विवेश
मयाभिभूतः सैनिकानां परबर्हान; असाव अपश्यन रुधिरेण परदिग्धान"
8,"ततॊ ऽभिभूतं युधि वीक्ष्य सैन्यं; विध्वस्तयॊधं दरुतवाजिनागम
पञ्चाशता रथमुखैः समेतः; कर्णस तवरन माम उपायात परमाथी"
9,"तान सूदयित्वाहम अपास्य कर्णं; दरष्टुं भवन्तं तवरयाभियातः
सर्वे पाञ्चाला हय उद्विजन्ते सम कर्णाद; गन्धाद गावः केसरिणॊ यथैव"
10,"महाझषस्येव मुखं परपन्नाः; परभद्रकाः कर्णम अभि दरवन्ति
मृत्यॊर आस्यं वयात्तम इवान्वपद्यन; परभद्रकाः कर्णम आसाद्य राजन"
11,"आयाहि पश्याद्य युयुत्समानं; मां सूतपुत्रं च वृतौ जयाय
षट साहस्रा भारत राजपुत्राः; सवर्गाय लॊकाय रथा निमग्नाः"
12,"समेत्याहं सूतपुत्रेण संख्ये; वृत्रेण वज्रीव नरेन्द्रमुख्य
यॊत्स्ये भृशं भारत सूतपुत्रम; अस्मिन संग्रामे यदि वै दृश्यते ऽदय"
13,"कर्णं न चेद अद्य निहन्मि राजन; सबान्धवं युध्यमानं परसह्य
परतिश्रुत्याकुर्वतां वै गतिर या; कष्टां गच्छेयं ताम अहं राजसिंह"
14,"आमन्त्रये तवां बरूहि जयं रणे मे; पुरा भीमं धार्तराष्ट्रा गरसन्ते
सौतिं हनिष्यामि नरेन्द्र सिंह; सैन्यं तथा शत्रुगणांश च सर्वान"
