1,"[स]
शरुत्वा कर्णं कल्यम उदारवीर्यं; करुद्धः पार्थः फल्गुनस्यामितौजाः
धनंजयं वाक्यम उवाच चेदं; युधिष्ठिरः कर्ण शराभितप्तः"
2,"इदं यदि दवैतवने हय अवक्ष्यः; कर्णं यॊद्धुं न परसहे नृपेति
वयं तदा पराप्तकालानि सर्वे; वृत्तान्य उपैष्याम तदैव पार्थ"
3,"मयि परतिश्रुत्य वधं हि तस्य; बलस्य चाप्तस्य तथैव वीर
आनीय नः शत्रुमध्यं स कस्मात; समुत्क्षिप्य सथण्डिले परत्यपिंष्ठाह"
4,"अन्वाशिष्म वयम अर्जुन तवयि; यियासवॊ बहुकल्याणम इष्टम
तन नः सर्वं विफलं राजपुत्र; फलार्थिनां निचुलेवातिपुष्पः"
5,"परच्छादितं बडिशम इवामिषेण; परच्छादितॊ गवय इवापवाचा
अनर्थकं मे दर्शितवान असि तवं; राज्यार्थिनॊ राज्यरूपं विनाशम"
6,"यत तत पृथां वाग उवाचान्तरिक्षे; सप्ताह जाते तवयि मन्दबुद्धौ
जातः पुत्रॊ वासव विक्रमॊ ऽयं; सर्वाञ शूराञ शात्रवाञ जेष्यतीति"
7,"अयं जेता खाण्डवे देवसंघान; सर्वाणि भूतान्य अपि चॊत्तमौजाः
अयं जेता मद्रकलिङ्गकेकयान; अयं कुरून हन्ति च राजमध्ये"
8,"अस्मात परॊ न भविता धनुर्धरॊ; न वै भूतः कश चन जातु जेता
इच्छन्न आर्यः सर्वभूतानि कुर्याद; वशे वशीसर्वसमाप्त विद्यः"
9,"कान्त्या शशाङ्कस्य जवेन वायॊः; सथैर्येण मेरॊः कषमया पृथिव्याः
सूर्यस्य भासा धनदस्य लक्ष्म्या; शौर्येण शक्रस्य बबलेन विष्णॊः"
10,"तुल्यॊ महात्मा तव कुन्ति पुत्रॊ; जातॊ ऽदितेर विष्णुर इवारि हन्ता
सवेषां जयाय दविषतां वधाय; खयातॊ ऽमितौजाः कुलतन्तु कर्ता"
11,"इत्य अन्तरिक्षे शतशृङ्गमूर्ध्नि; तपस्विनां शृण्वतां वाग उवाच
एवंविधं तवां तच च नाभूत तवाद्य; देवा हि नूनम अनृतं वदन्ति"
12,"तथापरेषाम ऋषिसत्तमानां; शरुत्वा गिरं पूजयतां सदैव
न संनतिं परैति सुयॊधनस्य; न तवा जानाम्य आधिरथेर भयार्तम"
13,"तवष्टा कृतं वाहम अकूजनाक्षं; शुभं समास्थाय कपिध्वजं तवम
खड्गं गृहीत्वा हेमचित्रं समिद्धं; धनुश चेदं गाण्डिवं तालमात्रम
स केशवेनॊह्यमानः कथं नु; कर्णाद भीतॊ वयपयातॊ ऽसि पार्थ"
14,"धनुश चैतत केशवाय परदाय; यन्ता भविष्यस तवं रणे चेद दुरात्मन
ततॊ ऽहनिष्यत केशवः कर्णम उग्रं; मरुत्पतिर वृत्रम इवात्त वज्रः"
15,"मासे ऽपतिष्यः पञ्चमे तवं परकृच्छ्रे; न वा गर्भॊ ऽपय अभविष्यः पृथायाः
तत ते शरमॊ राजपुत्राभविष्यन; न संग्रामाद अपयातुं दुरात्मन"
