1,"[स]
तेषाम अनीकानि बृहद धवजानि; रणे समृद्धानि समागतानि
गर्जन्ति भेरी निनदॊन्मुखानि; मेघैर यथा मेघगणास तपान्ते"
2,"महागजाभ्राकुलम अस्त्रतॊयं; वादित्रनेमी तलशब्दवच च
हिरण्यचित्रायुध वैद्युतं च; महारथैर आवृतशब्दवच च"
3,"तद भीमवेगं रुधिरौघवाहि; खड्गाकुलं कषत्रिय जीव वाहि
अनार्तवं करूरम अनिष्ट वर्षं; बभूव तत संहरणं परजानाम"
4,"रथान ससूतान सहयान गजांश च; सर्वान अरीन मृत्युवशं शरौघैः
निन्ये हयांश चैव तथा ससादीन; पदातिसंघांश च तथैव पार्थः"
5,"कृपः शिखण्डी च रणे समेतौ; दुर्यॊधनं सात्यकिर अभ्यगच्छत
शरुतश्रवा दरॊणसुतेन सार्धं; युधामन्युश चित्रसेनेन चापि"
6,"कर्णस्य पुत्रस तु रथी सुषेणं; समागतः सृञ्जयांश चॊत्तमौजाः
गान्धारराजं सहदेवः कषुधार्तॊ; महर्षभं सिंह इवाभ्यधावत"
7,"शतानीकॊ नाकुलिः कर्ण पुत्रं; युवा युवानं वृषसेनं शरौघैः
समार्दयत कर्णसुतश च वीरः; पाञ्चालेयं शरवर्षैर अनेकैः"
8,"रथर्षभः कृतवर्माणम आर्च्छन; माद्रीपुत्रॊ नकुलश चित्रयॊधी
पाञ्चालानाम अधिपॊ याज्ञसेनिः; सेनापतिं कर्णम आर्च्छत ससैन्यम"
9,"दुःशासनॊ भारत भारती च; संशप्तकानां पृतना समृद्धा
भीमं रणे शस्त्रभृतां वरिष्ठं; तदा समार्च्छत तम असह्य वेगम"
10,"कर्णात्मजं तत्र जघान शूरस; तथाछिन्नच चॊत्तमौजाः परसह्य
तस्यॊत्तमाङ्गं निपपात भूमौ; जञिनादयद गां निनदेन खं च"
11,"सुषेण शीर्षं पतितं पृथिव्यां; विलॊक्य कर्णॊ ऽथ तदार्तरूपः
करॊधाद धयांस तस्य रथं धवजं च; बाणैः सुधारैर निशितैर नयकृन्तत"
12,"स तूत्तमौजा निशितैः पृषत्कैर; विव्याध खड्गेन च भास्वरेण
पार्ष्णिं हयांश चैव कृपस्य हत्वा; शिखण्डिवाहं स ततॊ ऽभयरॊहत"
13,"कृपं तु दृष्ट्वा विरथं रथस्थॊ; नैच्छच छरैस ताडयितुं शिखण्डी
तं दरौणिर आवार्य रथं कृपं सम; समुज्जह्रे पङ्कगतां यथा गाम"
14,"हिरण्यवर्मा निशितैः पृषत्कैस; तवात्मजानाम अनिलात्मजॊ वै
अतापयत सैन्यम अतीव भीमः; काले शुचौ मध्यगतॊ यथार्कः"
