1,"[स]
ततः कर्णः कुरुषु परद्रुतेषु; वरूथिना शवेतहयेन राजन
पाञ्चाल पुत्रान वयधमत सूतपुत्रॊ; महेषुभिर वात इवाभ्रसंघान"
2,"सूतं रथाद अज्ञलिकेन पात्य; जघान चाश्वाञ जनमेजयस्य
शतानीकं सुत सॊमं च भल्लैर; अवाकिरद धनुषी चाप्य अकृन्तत"
3,"धृष्टद्युम्नं निर्बिभेदाथ षड्भिर; जघान चाश्वं दक्षिणं तस्य संख्ये
हत्वा चाश्वान सात्यकेः सूतपुत्रः; कैकेय पुत्रं नयवधीद विशॊकम"
4,"तम अभ्यधावन निहते कुमारे; कैकेय सेनापतिर उग्रधन्वा
शरैर विभिन्नं भृशम उग्रवेगैः; कर्णात्मजं सॊ ऽभयहनत सुषेणम"
5,"तस्यार्ध चन्द्रैस तरिभिर उच्चकर्त; परसह्य बाहू च शिरश च कर्णः
स सयन्दनाद गाम अपतद गतासुः; परश्वधैः शाल इवावरुग्णः"
6,"हताश्वम अञ्जॊ गतिभिः सुषेणः; शिनिप्रवीरं निशितैः पृषत्कैः
परच्छाद्य नृत्यन्न इव सौति पुत्रः; शैनेय बाणाभिहतः पपात"
7,"पुत्रे हते करॊधपरीत चेताः; कर्णः शिनीनाम ऋषभं जिघांसुः
हतॊ ऽसि शैनेय इति बरुवन स; वयवासृजद बाणम अमित्रसाहम"
8,"स तस्य चिच्छेद शरं शिखण्डी; तरिभिस तरिभिश च परतुतॊद कर्णम
शिखण्डिनः कर्मुकं स धवजं च; छित्त्वा शराभ्याम अहनत सुजातम"
9,"शिखण्डिनं षड्भिर अविध्यद उग्रॊ; दान्तॊ धर्ष्टद्युम्न शिरश चकर्त
अथाभिनत सुत सॊमं शरेण; स संशितेनाधिरथिर महात्मा"
10,"अथाक्रन्दे तुमुले वर्तमाने; धार्ष्टद्युम्ने निहते तत्र कृष्णः
अपाञ्चाल्यं करियते याहि पार्थ; कर्णं जहीत्य अब्रवीद राजसिंह"
11,"ततः परहस्याशु नरप्रवीरॊ; रथं रथेनाधिरथेर जगाम
भये तेषां तराणम इच्छन सुबाहुर; अभ्याहतानां रथरूथपेन"
12,"विस्फार्य गाण्डीवम अथॊग्र घॊषं; जयया समाहत्य तले भृशं च
बाणान्ध कारं सहसैव कृत्वा; जघान नागाश्वरथान नरांश च"
13,"तं भीमसेनॊ ऽनु ययौ रथेन; पृष्ठे रक्षन पाण्डवम एकवीरम
तौ राजपुत्रौ तवरितौ रथाभ्यां; कर्णाय याताव अरिभिर विमुक्तौ"
14,"अत्रान्तरे सुमहत सूतपुत्रश; चक्रे युद्धं सॊमकान संप्रमृद्नन
रथाश्वमातङ्गगणाञ जघान; परच्छादयाम आस दिशः शरैश च"
15,"तम उत्तमौजा जनमेजयश च; करुद्धौ युधामन्युशिखण्डिनौ च
कर्णं विनेदुः सहिताः पृषत्कैः; संमर्दमानाः सह पार्षतेन"
16,"ते पञ्च पाञ्चाल रथाः सुरूपैर; वैकर्तनं कर्णम अभिद्रवन्तः
तस्माद रथाच चयावयितुं न शेकुर; धैर्यात कृतात्मानम इवेन्द्रियाणि"
17,"तेषां धनूंषि धवजवाजि सूतांस; तूणं पताकाश च निकृत्य बाणैः
तान पञ्चभिः स तव अहनत पृषत्कैः; कर्णस ततः सिंह इवॊन्ननाद"
18,"तस्यास्यतस तान अभिनिघ्नतश च; जया बाणहस्तस्य धनुः सवनेन
साद्रि दरुमा सयात पृथिवी विशीर्णा; इत्य एव मत्वा जनता वयषीदत"
19,"स शक्रचापप्रतिमेन धन्वना; भृशाततेनाधिरथिः शरान सृजन
बभौ रणे दीप्तमरीचि मण्डलॊ; यथांशु माली परिवृषवांस तथा"
20,"शिखण्डिनं दवादशभिः पराभिनच; छितैः शरैः षड्भिर अथॊत्तमौजसम
तरिहिर युधामन्युम अविध्यद आशुगैस; तरिभिस तरिभिः सॊमक पार्षतात्मजौ"
21,"पराजिताः पञ्च महारथास तु ते; महाहवे सूत सूतेन मारिष
निरुद्यमास तस्थुर अमित्रमर्दना; यथेन्द्रियार्थात्मवता पराजिताः"
22,"निमज्जतस तान अथ कर्ण सागरे; विपन्ननावॊ वणिजॊ यथार्णवे
उद्दध्रिरे नौभिर इवार्णवाद रथैः; सुकल्पितैर दरौपदिजाः सवमातुलान"
23,"ततः शिनीनाम ऋषबः शितैः शरैर; निकृत्य कर्ण परहितान इषून बहून
