1,"[स]
तौ शङ्खभेरी निनदे समृद्धे; समीयतुः शवेतहयौ नराग्र्यौ
वैकर्तनः सूतपुत्रॊ ऽरजुनश च; दुर्मन्त्रिते तव पुत्रस्य राजन"
2,"यथा गजौ हैमवतौ परभिन्नौ; परगृह्य दन्ताव इव वाशितार्थे
तथा समाजग्मतुर उग्रवेगौ; धनंजयश चाधिरथिश च वीरौ"
3,"बलाहकेनेव यथाबलाहकॊ; यदृच्छया वा गिरिणा गिरिर यथा
तथा धनुर्ज्यातलनेमि निस्वनौ; समीयतुस ताव इषुवर्षवर्षिणौ"
4,"परवृद्धशृङ्गद्रुम वीरुद ओषधी; परवृद्धनानाविध पर्वतौकसौ
यथाचलौ वा गलितौ महाबलौ; तथा महास्त्रैर इतरेतरं घनतः"
5,"स संनिपातस तु तयॊर महान अभूत; सुरेश वैरॊच्चनयॊर यथा पुरा
शरैर विभुग्नाङ्गनियन्तृवाहनः; सुदुःसहॊ ऽनयैः पटु शॊणितॊदकः"
6,"परभूतपद्मॊत्पल मत्स्यकच्छपौ; महाह्रदौ पण्षि गणानुनादितौ
सुसंनिकृष्टाव अनिलॊद्धतौ यथा; तथा रथौ तौ धवजिनौ समीयतुः"
7,"उभौ महेन्द्रस्य सामान विक्रमाव; उभौ महेन्द्रप्रतिमौ महारथौ
महेन्द्रवज्रप्रतिमैश च सायकैर; महेन्द्र वृत्राव इव संप्रजह्रतुः"
8,"सनागपत्त्यश्वरथे उभे बले; विचित्रवर्णाभरणाम्बर सरजे
चकम्पतुश चॊन्नमतः सम विस्मयाद; वियद गताश चार्जुन कर्ण संयुगे"
9,"भुजाः सवज्राङ्गुलयः समुच्छ्रिताः; ससिंह नादा हृषितैर दिदृक्षुभिः
यदार्जुनं मत्तम इव दविपॊ दविपं; समभ्ययाद आधिरथिर जिघांसया"
10,"अभ्यक्रॊशन सॊमकास तत्र पार्थं; वरस्व याह्य अर्जुन विध्य कर्णम
छिन्ध्य अस्य मूर्धानम अलं चिरेण; शरद्धां च राज्याद धृतराष्ट्र सूनॊः"
11,"तथास्माकं बहवस तत्र यॊधाः; कर्णं तदा याहि याहीत्य अवॊचन
जह्य अर्जुनं कर्ण ततः सचीराः; पुनर वनं यान्तु चिराय पार्थाः"
12,"ततः कर्णः परथमं तत्र पार्थं; महेषुभिर दशभिः पर्यविध्यत
तम अर्जुनः परत्यविध्यच छिताग्रैः; कक्षान्तरे दशभिर अतीव करुद्धः"
13,"परस्परं तौ विशिखैः सुतीक्ष्णैस; ततक्षतुः सूतपुत्रॊ ऽरजुनश च
परस्परस्यान्तरेप्सू विमर्दे; सुभीमम अभ्याययतुः परहृष्टौ"
14,"अमृष्यमाणश च महाविमर्दे; तत्राक्रुध्यद भीमसेनॊ महात्मा
अथाब्रवीत पाणिना पाणिम आघ्नन; संदष्टौष्ठ नृत्यति वादयन्न इव
कथं नु तवां सूतपुत्रः किरीटिन; महेषुभिर दशभिर अविध्यद अग्रे"
15,"यया धृत्या सर्वभूतान्य अजैषीर; गरासं ददद वह्नये खाण्डवे तवम
तया धृत्या सूतपुत्रं जहि तवम; अहं वैनं गदया पॊथयिष्ये"
16,"अथाब्रवीद वासुदेवॊऽपि पार्थं; दृष्ट्वा रथेषून परतिहन्यमानान
अमीमृदत सर्वथा ते ऽदय कर्णॊ; हय अस्त्रैर अस्त्राणि किम इदं किरीटिन"
17,"स वीर किं मुह्यसि नावधीयसे; नदन्त्य एते कुरवः संप्रहृष्टाः
कर्णं पुरस्कृत्य विदुर हि सर्वे; तवद अस्त्रम अस्त्रैर विनिपात्यमानम"
