Book Number,Parva Name,Section Number,Paragraph Number,Paragraph Text
13, Anusasanika Parva ,1,1,"OM! HAVING BOWED down unto Narayana, and Nara the foremost of male beings, and unto the goddess Saraswati, must the word Jaya be uttered."
13, Anusasanika Parva ,1,2,"""Yudhishthira said, 'O grandsire, tranquillity of mind has been said to be subtile and of diverse forms. I have heard all thy discourses, but still tranquillity of mind has not been mine. In this matter, various means of quieting the mind have been related (by thee), O sire, but how can peace of mind be secured from only a knowledge of the different kinds of tranquillity, when I myself have been the instrument of bringing about all this? Beholding thy body covered with arrows and festering with bad sores, I fail to find, O hero, any peace of mind, at the thought of the evils I have wrought. Beholding thy body, O most valiant of men, bathed in blood, like a hill overrun with water from its springs, I am languishing with grief even as the lotus in the rainy season. What can be more painful than this, that thou, O grandsire, hast been brought to this plight on my account by my people fighting against their foes on the battle-field? Other princes also, with their sons and kinsmen, having met with destruction on my account. Alas, what can be more painful than this. Tell us, O prince, what destiny awaits us and the sons of Dhritarashtra, who, driven by fate and anger, have done this abhorrent act. O lord of men, I think the son of Dhritarashtra is fortunate in that he doth not behold thee in this state. But I, who am the cause of thy death as well as of that of our friends, am denied all peace of mind by beholding thee on the bare earth in this sorry condition. The wicked Duryodhana, the most infamous of his race, has, with all his troops and his brothers, perished in battle, in the observance of Kshatriya duties. That wicked-souled wight does not see thee lying on the ground. Verily, for this reason, I would deem death to be preferable to life. O hero that never swervest from virtue, had I with my brothers met with destruction ere this at the hands of our enemies on the battle-field, I would not have found thee in this pitiful plight, thus pierced with arrows. Surely, O prince, the Maker had created is to become perpetrators of evil deeds. O king, if thou wishest to do me good, do thou then instruct me in such a way that I may be cleansed of this sin in even another world.'"
13, Anusasanika Parva ,1,3,"""Bhishma replied, 'Why, O fortunate one, dost thou consider thy soul, which is dependent (on God and Destiny and Time) to be the cause of thy actions? The manifestation of its inaction is subtle and imperceptible to the senses. In this connection is cited the ancient story of the conversation between Mrityu and Gautami with Kala and the Fowler and the serpent. There was, O son of Kunti, an old lady of the name of Gautami, who was possessed of great patience and tranquillity of mind. One day she found her son dead in consequence of having been bitten by a serpent. An angry fowler, by name Arjunaka, bound the serpent with a string and brought it before Gautami. He then said to her,--This wretched serpent has been the cause of thy son's death, O blessed lady. Tell me quickly how this wretch is to be destroyed. Shall I throw it into the fire or shall I hack it into pieces? This infamous destroyer of a child does not deserve to live longer.'"
13, Anusasanika Parva ,1,4,"""Gautami replied, 'Do thou, O Arjunaka of little understanding, release this serpent. It doth not deserve death at thy hands. Who is so foolish as to disregard the inevitable lot that awaits him and burdening himself with such folly sink into sin? Those that have made themselves light by the practice of virtuous deeds, manage to cross the sea of the world even as a ship crosses the ocean. But those that have made themselves heavy with sin sink into the bottom, even as an arrow thrown into the water. By killing the serpent, this my boy will not be restored to life, and by letting it live, no harm will be caused to thee. Who would go to the interminable regions of Death by slaying this living creature?'"
13, Anusasanika Parva ,1,5,"""The fowler said, 'I know, O lady that knowest the difference between right and wrong, that the great are afflicted at the afflictions of all creatures. But these words which thou hast spoken are fraught with instruction for only a self-contained person (and not for one plunged in sorrow). Therefore, I must kill this serpent. Those who value peace of mind, assign everything to the course of Time as the cause, but practical men soon assuage their grief (by revenge). People through constant delusion, fear loss of beatitude (in the next world for acts like these). therefore, O lady, assuage thy grief by having this serpent destroyed (by me)."
13, Anusasanika Parva ,1,6,"""Gautami replied, 'People like us are never afflicted by (such misfortune). Good men have their souls always intent on virtue. The death of the boy was predestined: therefore, I am unable to approve of the destruction of this serpent. Brahmanas do not harbour resentment, because resentment leads to pain. Do thou, O good man, forgive and release this serpent out of compassion.'"
13, Anusasanika Parva ,1,7,"""The fowler replied, 'Let us earn great and inexhaustible merit hereafter by killing (this creature), even as a man acquires great merit, and confers it on his victim sacrificed as well, by sacrifice upon the altar. Merit is acquired by killing an enemy: by killing this despicable creature, thou shalt acquire great and true merit hereafter.'"
13, Anusasanika Parva ,1,8,"""Gautami replied, 'What good is there in tormenting and killing an enemy, and what good is won by not releasing an enemy in our power? Therefore, O thou of benign countenance, why should we not forgive this serpent and try to earn merit by releasing it?'"
13, Anusasanika Parva ,1,9,"""The fowler replied, 'A great number (of creatures) ought to be protected from (the wickedness of) this one, instead of this single creature being protected (in preference to many). Virtuous men abandon the vicious (to their doom): do thou, therefore, kill this wicked creature.'"
13, Anusasanika Parva ,1,10,"""Gautami replied, 'By killing this serpent, O fowler, my son will not be restored to life, nor do I see that any other end will be attained by its death: therefore, do thou, O fowler, release this living creature of a serpent."
