,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73
0,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PRONOUN,ADJECTIVE,NOUN,ADJECTIVE,ADJECTIVE,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NOUN,NOUN,ADJECTIVE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NOUN,PARTICLE,NOUN,NOUN,NOUN,NOUN,VERB,NOUN,PARTICLE,NOUN,PRONOUN,NOUN,NOUN,NOUN,PARTICIPLE,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,
5,PARTICLE,PARTICLE,PRONOUN,NOUN,NOUN,PARTICLE,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PRONOUN,PRONOUN,NOUN,ADVERB,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ADJECTIVE,NOUN,ADVERB,PRONOUN,NOUN,VERB,PRONOUN,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PRONOUN,NOUN,NOUN,ADJECTIVE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ADVERB,ADJECTIVE,NOUN,ADJECTIVE,NOUN,DEMONSTRATIVE,NOUN,PARTICIPLE,PRONOUN,NOUN,NOUN,PARTICLE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,
10,NOUN,PRONOUN,ADVERB,NOUN,PARTICIPLE,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ADVERB,ADVERB,ADJECTIVE,NOUN,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PRONOUN,NOUN,ADJECTIVE,VERB,ADJECTIVE,PARTICLE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ADVERB,NOUN,NOUN,NOUN,ADJECTIVE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PRONOUN,NOUN,NOUN,PARTICLE,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PRONOUN,NOUN,NOUN,VERB,ADJECTIVE,PARTICLE,NOUN,NOUN,NOUN,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,
16,ADVERB,NOUN,NOUN,NOUN,PARTICLE,PARTICLE,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PRONOUN,NOUN,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ADJECTIVE,NOUN,NOUN,NOUN,VERB,PUNCTUATION,PRONOUN,NOUN,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ADJECTIVE,NOUN,PRONOUN,NOUN,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NOUN,NOUN,PARTICIPLE,PRONOUN,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PRONOUN,PRONOUN,NOUN,PARTICLE,PARTICIPLE,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ADVERB,NOUN,PRONOUN,VERB,PARTICLE,NOUN,PARTICLE,NOUN,PARTICIPLE,ADVERB,PARTICLE,ADJECTIVE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,
24,PRONOUN,PARTICIPLE,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DEMONSTRATIVE,NOUN,PRONOUN,NOUN,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ADVERB,NOUN,ADJECTIVE,VERB,ADVERB,PRONOUN,ADJECTIVE,NOUN,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ADVERB,PARTICLE,PRONOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ADVERB,PRONOUN,ADJECTIVE,VERB,ADVERB,PRONOUN,NOUN,NOUN,NOUN,ADJECTIVE,VERB,ADJECTIVE,PARTICLE,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,
29,NOUN,PARTICLE,NOUN,NOUN,NOUN,PARTICLE,NOUN,NOUN,NOUN,NOUN,NOUN,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,
30,PRONOUN,NOUN,NOUN,PARTICLE,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PRONOUN,PARTICLE,ADJECTIVE,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ADJECTIVE,NOUN,NOUN,NOUN,PRONOUN,NOUN,NOUN,NOUN,PARTICLE,VERB,NOUN,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,
33,ADJECTIVE,NOUN,NOUN,NOUN,ADJECTIVE,NOUN,ADVERB,NOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ADVERB,PARTICLE,NOUN,NOUN,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NOUN,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NOUN,NOUN,ADJECTIVE,NOUN,NOUN,NOUN,PARTICLE,NOUN,PARTICLE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,
37,ADJECTIVE,NOUN,DEMONSTRATIVE,NOUN,NOUN,VERB,DEMONSTRATIVE,PRONOUN,NOUN,NOUN,ADJECTIVE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,
38,PRONOUN,NOUN,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PRONOUN,ADJECTIVE,NOUN,PARTICLE,ADJECTIVE,NOUN,DEMONSTRATIVE,ADJECTIVE,NOUN,PARTICIPLE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,
40,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PRONOUN,PARTICLE,NOUN,PARTICLE,NOUN,PRONOUN,PARTICLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PRONOUN,PARTICLE,NOUN,PARTICLE,NOUN,PRONOUN,PARTICLE,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PRONOUN,PARTICLE,NOUN,NOUN,PRONOUN,PARTICLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PRONOUN,PARTICLE,PRONOUN,PRONOUN,NOUN,NOUN,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NOUN,NOUN,NOUN,NOUN,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NOUN,NOUN,NOUN,VERB,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NOUN,VERB,NOUN,NOUN,NOUN,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NOUN,ADJECTIVE,NOUN,NOUN,NOUN,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NOUN,ADJECTIVE,PARTICLE,VERB,NOUN,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ADJECTIVE,ADJECTIVE,PARTICLE,PARTICLE,NOUN,PARTICLE,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PRONOUN,VERB,NOUN,PRONOUN,VERB,ADJECTIVE,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PRONOUN,NOUN,VERB,PARTICLE,PARTICLE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PRONOUN,PWH,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PRONOUN,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PRONOUN,ADVERB,ADVERB,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PRONOUN,ADVERB,ADVERB,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PRONOUN,DEMONSTRATIVE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PRONOUN,ADJECTIVE,ADJECTIVE,PARTICLE,NOUN,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,NOUN,NOUN,PARTICLE,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,VERB,PARTICLE,PARTICLE,ADJECTIVE,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,NOUN,ADVERB,PWH,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ADVERB,PRONOUN,NOUN,NOUN,NOUN,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PWH,NOUN,PARTICLE,NOUN,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PARTICLE,PUNCTUATION,PRONOUN,ADVERB,ADVERB,NOUN,VERB,NOUN,PARTICLE,VERB,PUNCTUATION,,,,,,,,,,,,,,,,,,,,,,,,,,
