,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72
0,गङ्गा,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,गङ्गा,पर्वतराजहिमालयात्,प्रभवति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,एषा,सर्वासु,नदीषु,श्रेष्ठा,पवित्रतमा,च,अस्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,गङ्गायाः,उद्भवविषये,एका,कथा,अस्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,भगीरथः,नाम,नृपः,पूर्वजानाम्,उद्धाराय,तपस्याम्,अकरोत्,तपस्यायाः,च,प्रभावेण,सः,गङ्गां,स्वर्गात्,धरायाम्,अवतारयितुं,समर्थः,अभवत्,।,,,,,,,,,,,,,,,,,,,
5,अतः,एव,इमां,जनाः,भागीरथी,इति,अपि,कथयन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ते,अस्याः,जलम्,अत्यधिकं,पावनं,मन्यन्ते,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,बहवः,श्रद्धालुजनाः,प्रतिदिनम्,अस्यां,स्नानं,कुर्वन्ति,इमां,च,पूजयन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,अस्याः,तटे,हरिद्वार-ऋषिकेष-प्रयाग-वाराणसी-इत्यादीनि,अनेकानि,तीर्थस्थानानि,सन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,प्रतिवर्षं,पुण्येषु,पर्वसु,लक्षाणि,जनाः,एषु,तीर्थस्थानेषु,आगत्य,अस्याः,पावनजलेन,स्नानं,कृत्वा,दुरितानि,दूरीकुर्वन्ति,।,,,,,,,,,,,,,,,,,,,,,,
10,यन्त्रकाराः,अस्याः,जलमवरुद्ध्य,सेतुं,बद्ध्वा,महाजलाषयेषु,जलसञ्चयं,कुर्वन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,एवं,प्रकारेण,सञ्चितं,जलं,क्षेत्राणां,सिञ्चनाय,उपयुज्यते,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,अनेन,भूमिः,उर्वरा,भवति,प्रभूतं,च,अन्नम्,उत्पादयति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,एवं,गङ्गायाः,जलं,कृषेः,महान्तम्,उपकारं,करोति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,अस्याः,जलेन,विद्युत्,अपि,उत्पन्ना,भवति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,इयं,दूरदर्शन-ध्वनिविक्षेपक-शीतकैत्यादीनि,यन्त्राणि,सञ्चालयति,विविधानां,च,पण्यानां,वस्तूनां,निर्माणे,सहायिका,भवति,।,,,,,,,,,,,,,,,,,,,,,,,,,
16,एवं,गङ्गा,लोकं,परलोकं,च,उभयम्,अपि,उपकरोति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,महर्षिः,दयानन्दः,काठियावाड़प्रान्तस्य,टंकारानामके,ग्रामे,मूलशंकरस्य,जन्म,अभवत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,अस्य,जनकस्य,नाम,कर्षणलालः,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,अष्टमे,वर्षे,मूलशंकरस्य,यज्ञोपवीत-संस्कारः,अभवत्,।,अस्य,स्मरणशक्तिः,अद्भुता,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,
20,चतुर्दशे,वर्षे,सः,यजुर्वेदसंहिताम्,कण्ठस्थाम्,अकरोत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,शिवस्य,महत्तां,श्रुत्वा,सः,शिवरात्रौ,व्रतम्,अकरोत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,सः,तस्यां,रात्रौ,न,सुप्तः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,तदा,देवालये,सः,अपश्यत्,यत्,शिवमूर्तिं,परितः,मूषकाः,अकूर्दन्,तत्र,च,पतितान्,तण्डुलान्,अखादन्,।,,,,,,,,,,,,,,,,,,,,,,
24,एतत्,दृष्ट्वा,मूलशंकरस्य,श्रद्धा,अनश्यत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,अयम्,वृत्तान्तः,तस्य,जीवने,महत्त्वपूर्णः,आसीत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,यदा,मूलशंकरः,षोडशवर्शीयः,आसीत्,तदा,तस्य,चतुर्दशवर्षीया,अनुजा,रुग्णा,अभवत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,
27,शीघ्रम्,एव,सा,प्राणान्,अत्यजत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,यदा,सः,नवदशवर्शीयः,अभवत्,तदा,तस्य,पितृव्यः,विषूचिकानामकेन,रोगेण,आक्रान्तः,अभवत्,मृतः,च,।,,,,,,,,,,,,,,,,,,,,,,,
29,शिवलिङ्गस्य,उपरि,मूषकाणाम्,कूर्दनेन,जीवनस्य,च,अस्थिरतया,मूलशंकरस्य,हृदये,वैराग्यस्य,भावना,उत्पन्ना,अभवत्,।,,,,,,,,,,,,,,,,,,,,,,,
30,अस्य,वैराग्यस्य,भावनां,ज्ञात्वा,परिवारस्य,सदस्याः,मूलशंकरस्य,विवाहस्य,चिन्तां,अकुर्वन्,।,,,,,,,,,,,,,,,,,,,,,,,,,,
31,एतत्,ज्ञात्वा,एकविंशतिवर्षीयः,मूलशंकरः,गृहम्,अत्यजत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,१८६०तमे,वर्षे,नवम्बरमासस्य,चतुर्दशतारिकायाम्,सः,मथुरानगरे,गुरोः,विरजानन्दस्य,समीपम्,अगच्छत्,विद्याध्ययनं,च,अकरोत्,।,,,,,,,,,,,,,,,,,,,,,,,
33,महर्षिः,दयानन्दः,सरस्वती,मुम्बईनगरे,१८५७तमे,वर्षे,विधिपूर्वकम्,आर्यसमाजस्य,स्थापनाम्,अकरोत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,
34,शीघ्रम्,एव,महर्षिदयानन्दस्य,प्रयत्नैः,उत्तरभारते,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,आर्यसमाजस्,प्रसारः,अभवत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,आर्यसमाजः,समाजे,प्रचलितान्,अन्धविश्वासान्,अस्पृश्यताम्,अविद्यां,च,भारतवर्षाद्,बहिष्कर्तुं,प्रयत्नम्,अकरोत्,।,,,,,,,,,,,,,,,,,,,,,,,,,
37,महर्षिः,दयानन्दः,येषाम्,सिद्धान्तानाम्,प्रचारम्,अकरोत्,ते,सर्वे,सत्यार्थप्रकाशनामके,ग्रन्थे,उल्लिखिताः,सन्ति,।,,,,,,,,,,,,,,,,,,,,,,,,
38,सः,संस्कारविधिम्,अपि,अलिखत्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,एतावत्,महत्,कार्यं,कृत्वा,१८८३तमे,वर्षे,एषः,महर्षिः,ईश्वरं,स्मरन्,स्वदेहम्,अत्यजत्,।,,,,,,,,,,,,,,,,,,,,,,,,
40,श्लोकाः,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,त्वम्,एव,माता,च,पिता,त्वम्,"एव,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,त्वम्,एव,बन्धुः,च,सखा,त्वम्,एव,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,त्वम्,एव,विद्या,द्रविणं,त्वम्,"एव,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,त्वम्,एव,सर्वं,मम,देव,देव,॥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,सरस्वति,महाभागे,विद्ये,कमललोचने,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,विश्वरूपे,विशालाक्षि,विद्यां,देहि,नमः,अस्तुते,॥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,कराग्रे,वसते,लक्ष्मी,करमध्ये,सरस्वति,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,करमूले,स्थिता,गौरी,प्रभाते,करदर्शनम्,॥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ओंकारं,बिन्दुसंयुक्तं,नित्यं,ध्यायन्ति,योगिनः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,कामदं,मोक्षदं,च,एव,ओंकाराय,नमोनमः,॥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,सर्वे,भवन्तु,सुखिनः,सर्वे,सन्तु,निरामयाः,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,सर्वे,भद्राणि,पश्यन्तु,मा,कश्चित्,दुःखभाग्,भवेत्,॥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,भोजनम्,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,त्वम्,किम्,करोषि,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,अहम्,भोजनम्,करोमि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,त्वम्,प्रतिदिनं,कदा,भोजनं,करोषि,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,अहम्,प्रतिदिनं,एकवादने,भोजनं,करोमि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,त्वम्,कीदृशम्,भोजनम्,करोषि,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,अहम्,सरसम्,सात्विकम्,च,भोजनम्,करोमि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,मरिचं,लशुनं,च,न,खादसि,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"खादामि,",परम्,न,अधिकम्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,भोजने,विशेषतः,किम्-किम्,भक्षयसि,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,विशेषतः,अहं,"करपट्टिकां(रोटी),",सूपं,ओदनं,च,भक्षयामि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,किम्,भोजनेन,सह,फलानि,अपि,भक्षयसि,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,न,",",अहम्,सायम्,पञ्चवादने,दुग्धम्,पिबामि,फलानि,च,भक्षयामि,।,,,,,,,,,,,,,,,,,,,,,,,,,,
66,तदा,कानि,फलानि,भक्षयसि,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"कदलीफलं,","नारङ्गम्,",सेबम्,",",आम्रम्,च,प्रायेण,भक्षयामि,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,किम्,त्वम्,"'पीजा,","नूडल्स्,",बरगर',इत्यादि,शीघ्रंपक्वं,भोजनं,न,करोषि,?,,,,,,,,,,,,,,,,,,,,,,,,,,
69,यदा,-,कदा,अहम्,ईदृशं,भोजनम्,"करोमि,",न,प्रतिदिनम्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,एतत्,तु,न,स्वास्थ्यकरम्,।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,चतुरः,शृगालः,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
