Chapter,Verse,Sanskrit ,Word Meanings,Translation 
1,1,अथ योगानुशासनम्,"अथ = now; योग = process of yoking, union; अनुशासनम = teaching, exposition","Now, the teachings of yoga are presented since the student is ready to received these teachings."
1,2,योगश्चित्तवृत्तिनिरोधः,"योग  = process of yoking, union; चित्त  = consciousness; वृत्ति  = patterning, turnings, movements; निरोध = stilling, cessation, restriction",The purpose of yoga is to quieten the fluctuations of the mind.
1,3,तदा द्रष्टुः स्वरूपेऽवस्थानम्,"तदा  = then; द्रष्टु  = seer, witness, pure awareness; स्वरूपे = own essence, identity; अवस्थानम = state of abiding","Once the state of Yoga is achieved, pure consciousness resides in its intrinsic nature."
1,4,वृत्तिसारूप्यमितरत्र,"वृत्ति = patterning, turnings, movements; सारूप्यम = identification, conformity; इतरत्र = otherwise","Till the state of Yoga is achieved, consciousness identifies itself with the mental patterns."
1,5,वृत्तयः पञ्चतय्यः क्लिष्टाक्लिष्टाः,"वृत्तयः = patterning, turnings, movements; पञ्चतय्यः = fivefold; क्लिष्ट = hurtful; अक्लिष्ट = benign","These mental patterns can be classified into five types, which include both harmful and harmless ones."
1,6,प्रमाणविपर्य्यविकल्पनिद्रास्मृतयः,"प्रमाण = right perception; विपर्यय  = misperception, error; विकल्प  = conceptualization; निद्रा  = sleep; स्मृति  = memory, remembering","These five types of mental patters are right perception, misperception, conceptualization, deep sleep, and memory."
1,7,प्रत्यक्षानुमानागमाः प्रमाणानि,"प्रत्यक्ष  = percept, sensory input; अनुमान  = inference; आगामी  = testimony from a teacher or traditional texts; प्रमाणानि  = accurate perception","Right perception arises from direct observation, inference, or the words of others."
1,8,विपर्ययो मिथ्याज्ञानमतद्रूपप्रतिष्ठम्,"विपर्यय  = misperception, error; मिथ्या  = false; incorrect  ज्ञान  = knowledge; अतद = not that; रूप = form; nature  प्रतिष्ठम् = based on","False knowledge arises from misperception, which is not based on reality."
1,9,शब्दज्ञानानुपाती वस्तुशून्यो विकल्पः,"शब्द  = verbal, linguistic; ज्ञान  = knowledge; अनुपाती  = following, relying upon; वस्तु  = object, substance; शून्य  = empty;
विकल्प  = conceptualization","Imagination is a product of language-based knowledge, rather than direct experience with the physical world."
1,10,अभावप्रत्ययालम्बना वृत्तिर्निद्रा,"अभाव  = non-existence, non-becoming; प्रत्यय  = perception, thought, intention, representation; आलम्बना  = resting on; वृत्ति  = patterning; निद्रा = sleep
",The pattern of deep sleep is rooted in the perception that everything ceases to exist.
1,11,अनुभूतविषयासंप्रमोषः स्मृतिः,"अनुभुत = experienced; विषय  = object (of experience), phenomenon; असंप्रमोष  = not allowing to steal away; स्मृति = memory, remembering", 'Remembering' refers to the act of retaining past experiences in memory.
1,12,अभ्यासवैराग्याभ्यां तन्निरोधः,"अभ्यास  = practice, action, method; वैराग्य  = dispassion, non-reaction, non-attachment; तद  = these; निरोध  = stilling, cessation, restriction","In order to quiet the fluctuations of the mind, one needs - practice and dispassion."
1,13,तत्र स्थितौ यत्नोऽभ्यासः,"तत्र  = in that; स्थितौ  = stability, steadiness; यत्न = sustained effort; अभ्यास  = practice, action, method",Practice involves the persistent effort to abide in 'elevated' state.
1,14,स तु दीर्घकालनैरंन्तर्यसत्कारासेवितो दृढ़भूमिः,"स  = this; तु  = and, moreover; दीर्घ  = long; काल  = time; नैरन्तर्य  = continuously, uninterruptedly; सत्कार  = skillfully, in the right way; असेवितो  = cultivated; दृढ़  = firmly; भूमि  = rooted, grounded",Skillful and continuous cultivation of this 'practice' with devotion establishes firm roots over time.
1,15,दृष्टानुश्रविकविषयवितृष्णस्य वशीकारसंज्ञा वैराग्यम्,"दृष्टा  = seen, perceptible; अनुश्रविक  = heard, learned; विषय  = object (of experience), phenomenon; वितृष्णस्य = without wanting or attachment; वशीकार  = mastery, willing something to happen; संज्ञा  = comprehension; वैराग्य = dispassion, non-reaction, non-attachment","Complete dispassion occurs when one no longer becomes attached to anything, whether perceived (seen & heard) directly or learned."
1,16,तत्परं पुरुषख्यातेर्गुणवैतृष्ण्यम्,"तत  = this; परम  = ultimate, highest, purest; पुरुष  = pure awareness; ख्याती  = clear seeing; गुण  = fundamental qualities of nature; वैतृष्ण्यम् = without wanting or attachment",Pure awareness can recognize its independence from the fundamental qualities of nature when ultimate dispassion is achieved.
1,17,वितर्कविचारानन्दास्मितारूपानुगमात्संप्रज्ञातः,"वितर्क  = analytical thinking; विचार  = insight, reflection; आनंद  = bliss, joy;
अस्मिता  = sense of self, I-am-ness; रूप  = form; अनुगमात  = going with, following, accompanying; संप्रज्ञात = cognitive","Initially, the process of stilling the mind involves four levels of elevated cognition, including analytical thinking, insight, bliss, and the sense of self."
1,18,विरामप्रत्ययाभ्यासपूर्वः संस्कारशेषोऽन्यः,"विराम  = cessation; प्रत्यय  = perception, thought, intention, representation; अभ्यास = practice, action, method; पूर्व  = earlier; संस्कार  = latent impressions; शेष  = store, residuum; अन्य  = other","As one practices steadily to bring all thoughts to a standstill, these four types of cognition gradually disappear, leaving only latent impressions in the subconscious mind."
1,19,भवप्रत्ययो विदेहप्रकृतिलयानाम्,"भव  = being, becoming; प्रत्यय  = perception, thought, intention, representation; विदेह  = bodiless; प्रकृति  = nature;  लयानाम  = clasped, merged",Once the body is gone and these latent impressions might give rise to rebirth.
1,20,श्रद्धावीर्यस्मृतिसमाधिप्रज्ञापूर्वक इतरेषाम्,"श्रद्धा  = faith; वीर्य  = energy, vigor; स्मृति  = memory, mindfulness; समाधि = oneness, integration; प्रज्ञा = wisdom; 
पूर्वक  = preceded by; इतरेषाम  = others","For others, the path to realization involves faith, energy, right cognition in form of memory and to understand the various elevated levels of wisdom."
1,21,तीव्रसंवेगानामासन्नः,"तीव्र  = extremely; संवेगानाम  = intense, vehement; आसन्न  = near","Those who earnestly seek liberation will find that realization is within reach, depending on the intensity of their practice."
1,22,मृदुमध्याधिमात्रत्वात्ततोऽपि विशेषः,"मृदु  = mild; मध्य  = moderate; अधिमात्रत्वत  = extreme, intense; तातै  = therefore, from these; अपि = also; विशेष  = difference, distinction","The proximity to realization varies according to whether the practice is mild, moderate, or intense."
1,23,ईश्वरप्रणिधानाद्वा,"ईश्वर  = divine ideal of pure awareness; 
प्रणिधान  = surrender, dedication, application, alignment;  वा  = or",Another pathway to realization involves being directed toward the ideal of pure awareness i.e. Ishvara or God.
