chapter,verse,sanskrit,translation,question
1,1,अथ योगानुशासनम्,"Now, the teachings of yoga are presented since the student is ready to received these teachings.",When does Yoga commence? When should I start doing Yoga?
1,2,योगश्चित्तवृत्तिनिरोधः,The purpose of yoga is to quieten the fluctuations of the chitta (mind).,What is the purpose of Yoga?
1,3,तदा द्रष्टुः स्वरूपेऽवस्थानम्,"Once the state of Yoga is achieved, pure consciousness resides in its intrinsic nature.",What is the end result of Yoga practice?
1,4,वृत्तिसारूप्यमितरत्र,"Till the state of Yoga is achieved, consciousness identifies itself with the mental patterns.",What is the usual state of our awareness? How does the mind behave when it is not controlled?
1,5,वृत्तयः पञ्चतय्यः क्लिष्टाक्लिष्टाः,"These mental patterns can be classified into five types, which include both harmful and harmless ones.",What are the different types of thoughts? How many types of mental modifications are there? Into how many categories can our thoughts be divided?
1,6,प्रमाणविपर्य्यविकल्पनिद्रास्मृतयः,"These five types of mental patters are right perception, misperception, conceptualization, deep sleep, and memory.",What are the five types of mental modifications? What are the five kinds of thoughts in Yoga?
1,7,प्रत्यक्षानुमानागमाः प्रमाणानि,"Right perception arises from direct observation, inference, or the words of others.",What constitutes right perception? What are the methods to acquire right perception? What is right perception?
1,8,विपर्ययो मिथ्याज्ञानमतद्रूपप्रतिष्ठम्,"False knowledge arises from misperception, which is not based on reality.",What is wrong knowledge? What is error?
1,9,शब्दज्ञानानुपाती वस्तुशून्यो विकल्पः,"Imagination is a product of language-based knowledge, rather than direct experience with the physical world.",Define Imagination? What is imagination? What is fantasy?
1,10,अभावप्रत्ययालम्बना वृत्तिर्निद्रा,The pattern of deep sleep is rooted in the perception that everything ceases to exist.,Define the state of mind in sleep? What is sleep state? Is sleep a mental modification?
1,11,अनुभूतविषयासंप्रमोषः स्मृतिः, 'Remembering' refers to the act of retaining past experiences in memory.,Define memory? What is memory?
1,12,अभ्यासवैराग्याभ्यां तन्निरोधः,"In order to quiet the fluctuations of the mind, one needs - practice and dispassion.",What are the methods to achieve the goal of Yoga? What are the methods to quieten the fluctuations of the mind? What are the means to calm your thoughts? What is the importance of practice and dispassion?
1,13,तत्र स्थितौ यत्नोऽभ्यासः,Practice involves the persistent effort to abide in 'elevated' state.,Define Practice? What is 'practice'? 
1,14,स तु दीर्घकालनैरंन्तर्यसत्कारासेवितो दृढ़भूमिः,Skillful and continuous cultivation of this 'practice' with devotion establishes firm roots over time.,Define the characteristics of 'practice'? What are the features of 'practice'? What kind of practice quietens the fluctuations of the mind?
1,15,दृष्टानुश्रविकविषयवितृष्णस्य वशीकारसंज्ञा वैराग्यम्,"Complete dispassion occurs when one no longer becomes attached to anything, whether perceived (seen & heard) directly or learned.",What constitutes dispassion or detachment? What are the characteristics of dispassion? What are the signs of successful dispassion?
1,16,तत्परं पुरुषख्यातेर्गुणवैतृष्ण्यम्,Pure awareness can recognize its independence from the fundamental qualities of nature when ultimate dispassion is achieved.,What is the attribute of an elevated level of dispassion? What happens when highest level of dispassion is reached?
1,17,वितर्कविचारानन्दास्मितारूपानुगमात्संप्रज्ञातः,"Initially, the process of stilling the mind involves four levels of elevated cognition, including analytical thinking, insight, bliss, and the sense of self.",What are the levels of meditative absorbtion? What are the stages of meditative absorbtion?
1,18,विरामप्रत्ययाभ्यासपूर्वः संस्कारशेषोऽन्यः,"As one practices steadily to bring all thoughts to a standstill, these four types of cognition gradually disappear, leaving only latent impressions in the subconscious mind.",What is the last level of meditative absorption? What happens at the highest level of meditative absorption? 
1,19,भवप्रत्ययो विदेहप्रकृतिलयानाम्,Once the body is gone and these latent impressions might give rise to rebirth.,What happens if the meditative absorption is incomplete? 
1,20,श्रद्धावीर्यस्मृतिसमाधिप्रज्ञापूर्वक इतरेषाम्,"For others, the path to realization involves faith, energy, right cognition in form of memory and to understand the various elevated levels of wisdom.",What are the various paths to realisation?
1,21,तीव्रसंवेगानामासन्नः,"Those who earnestly seek liberation will find that realization is within reach, depending on the intensity of their practice.",Does intense practice help in achieving realisation?
1,22,मृदुमध्याधिमात्रत्वात्ततोऽपि विशेषः,"The proximity to realization varies according to whether the practice is mild, moderate, or intense.",What are the various levels of Yoga practice?
1,23,ईश्वरप्रणिधानाद्वा,Another pathway to realization involves being directed toward the ideal of pure awareness i.e. Ishvara or God.,What is the other singular path to achieve the (highest level of) meditative absorption? Do Yogis believe in God? Does praying to God help in Yoga? How does praying to God help?
1,24,क्लेशकर्मविपाकाशयैरपरामृष्टः पुरुषविशेष ईश्वरः,"Ishvara or God is a unique and incorruptible manifestation of pure awareness that is completely independent of cause and effect, and devoid of any latent impressions.",What is the nature of God? 
1,25,तत्र निरतिशयं सर्वज्ञबीजम्,Isvara or God is limitless and with unparalleled omniscience.,Describe the characteristics of God?
1,26,स एषः पूर्वेषामपि गुरुः कालेनानवच्छेदात्,"Being beyond time, Isvara or God is revered as the primoridial master by the ancients.",Who is considered as the primordial teacher? Who is considered as the original teacher? Who is considered as the primordial master? Who is considered as the original master? Who is considered as the primordial Guru? Who is considered as the original Guru?
1,27,तस्य वाचकः प्रणवः,"Isvara or God is symbolized by the sacred sound of ""Om"".",What name represents God? What sound represents God? What is God's name?
1,28,तज्जपस्तदर्थभावनम्,This verbatim of Ishvara is to be repeated with devotion along with its meaning.,How should one take the name of God? What is the effective way to utter the name of God?
1,29,ततः प्रत्यक्चेतनाधिगमोऽप्यन्तरायाभावश्च,"As one continues to focus on Ishvara as mentioned, one's consciouness ascends and also obstacles begin to dissipate.",What is the benefit of taking the name of God? What happens if one utters God's name in the prescribed manner?
1,30,व्याधिस्त्यानसंशयमप्रमादालस्याविरतिभ्रान्तिदर्शनालब्धभूमिकत्वानवस्थितत्वानि चित्तविक्षेपास्तेऽन्तरायाः,"Obstacles such as sickness, apathy, doubt, carelessness, laziness, hedonism, delusion, lack of progress, and inconstancy all serve as distractions that clouds consciousness and act as barriers.",How many kinds of distractions of mind are there? What are the types of barriers in the path of Yoga?
1,31,दुःखदौर्मनस्याङ्गमेजयत्वश्वासप्रश्वासा विक्षेपसहभुवः,"These distractions may result in feelings of distress, depression, or an inability to maintain steadiness of posture or breathing (uncontrolled inhalations & exhalations).",What are the effects of a distracted mind? What symptoms create the barriers on the path of Yoga?
1,32,तत्प्रतिषेधार्थमेकतत्त्वाभ्यासः,"However, focus towards one unwavering 'element' (here Ishwara) can help one subdue these distractions.",What singular factor can alleviate the distractions of mind? How can one combat distractions of mind and its accompanying symptms?
1,33,मैत्रीकरुणामुदितोपेक्षाणां सुखदुःखपुण्यापुण्यविषयाणां भावनातश्चित्तप्रसादनम्,"Other means involves radiating friendliness, compassion, delight, and equanimity towards one who is pleasant, in pain, good and bad respectively.",What are the other means to calm mental distractions? What constitutes emotional intelligence in Yoga? 
1,34,प्रच्छर्दनविधारणाभ्यां वा प्राणस्य,Another way involves pausing after forceful exhalations.,How to calm the mental distractions through breath control? 
1,35,विषयवती वा प्रवृत्तिरुत्पन्ना मनसः स्थितिनिबन्धनी,Steadily observing as new (sattvik) sensations arise  (by the means of any of the 5 sense organs) can be a way to subdue distractions and focus the mind.,How to calm the mind using the senses?
1,36,विशोका वा ज्योतिष्मति,Experiencing thoughts that are luminous and free of sorrow can also aid in achieving stillness of mind.,What are some other means to calm mental distractions? How can we achieve stillness of mind?
1,37,वीतरागविषयं वा चित्तम्,Focusing on things/people that do not inspire attachment can be a helpful technique in meditation.,Does holy company help in Yoga?
1,38,स्वप्ननिद्राज्ञानालम्बनं वा,Reflecting on insights gained while asleep and dreaming can be a source of guidance too.,Can dreams help in Yoga? Are dreams relevant for Yoga?
1,39,यथाभिमतध्यानाद्वा,Meditative absorption in any desired (sattvik) object of one's choice can lead to a state of deep concentration and awareness.,Can focus on anything of one's (satvik) choice help in calming the mind? Can we focus of something of our choice? What should we focus on during meditation? How should we medidate?
1,40,परमाणुपरममहत्त्वान्तोऽस्य वशीकारः,"Complete absorption in any object, whether subtlest and (macroscopic or) microscopic , is possible through meditation.",What kind of ability is gained by those who have controlled their mental distractions? What powers accrue when one calms down their mind?
1,41,क्षीणवृत्तेरभिजातस्येव मणेर्ग्रहीतृग्रहणग्राह्येषु तत्स्थतदञ्जनता समापत्तिः,"As the fluctuations of mind fade away, a transparent mode of perception called 'samapatti'* alike to a transparent jewel/prism takes over. This transparent mind reflects everything in its perview equally - subject, object, or act of perceiving - like a prism (reflecting the constituents of light in seven colors).",What are the qualities of a mind ready for higher level of meditative absorption? What is samapatti?
1,42,तत्र शब्दार्थज्ञानविकल्पैः संकीर्णा सवितर्का समापत्तिः,"In the state of 'savitarka samapatti'* i.e. samapatti* with physical awareness constitutes with liguistic idea of word, meaning and idea.",What are the stages of cognition for a mind ready for meditative absorption? What is savitarka samapatti?
