Chapter/Valli,Verse,Sanskrit,Translation
1.1,1,"ॐ उशन् ह वै वाजश्रवसः सर्ववेदसं ददौ ।
तस्य ह नचिकेता नाम पुत्र आस ॥","Yearning ( superior   rewards,)   Vajasravasa   gifted   all   his
material   wealth.   He   had   a   son   named   Nachiketa.  "
1.1,2,"तँ ह कुमारँ सन्तं दक्षिणासु
नीयमानासु श्रद्धाविवेश सोऽमन्यत ॥ ","On   the   gifts  being   fetched  for  giving , Nachiketa,  though
a   young   lad,   was   overcome   with   religious   fervour   and he  pondered   :"
1.1,3,"पीतोदका जग्धतृणा दुग्धदोहा निरिन्द्रियाः ।
अनन्दा नाम ते लोकास्तान् स गच्छति ता ददत् ॥","Joyless,   indeed,   are   the   worlds   to   which   he   goes   who   gives as   gifts   such   old   cows   that   cannot   calve  nor  produce   milk any more. They had also drank water for the last time and eaten grass terminally.  (Giving   away   useless   articles   as   gift   in   a   sacrifice is   a   sin   and   cannot   bring   good   reward.)"
1.1,4,"स होवाच पितरं तत कस्मै मां दास्यसीति ।
द्वितीयं तृतीयं तँ होवाच मृत्यवे त्वा ददामीति ॥","He   addressed   his   father   :   ""Father,   to   whom  will  you give  me away?""
He   repeatedly  said   so,  twice  and   thrice. Upon  this  the   father  replied   :   ""I   shall   give   you   to   Death"""
1.1,5,"बहूनामेमि प्रथमो  बहूनामेमि मध्यमः ।
किँ स्विद्यमस्य कर्तव्यं यन्मयाऽद्य करिष्यति ॥","(Nachiketa   thought   within   himself)   :   Among   many   of
(my   father's  disciples),   I   am   either   at   the   top   or   middle
(but   never   at the  bottom ).   What   then   will   he   achieve
in   giving   me   to   Yama ?  "
1.1,6,"अनुपश्य यथा पूर्वे प्रतिपश्य तथाऽपरे ।
सस्यमिव मर्त्यः पच्यते सस्यमिवाजायते पुनः ॥","Remember   how   your   forefathers   behaved .   Consider   how   men   of   worth conduct   themselves   today.   Like   vegetation   man   ripens   and decays,   and   like   vegetation  he   is   born   again ."
1.1,7,"वैश्वानरः प्रविशत्यतिथिर्ब्राह्मणो गृहान् ।
तस्यैताँ शान्तिं कुर्वन्ति हर वैवस्वतोदकम् ॥ ","(Nachiketa goes to  the   abode   of   Yama,   but   the   latter   was   not at   home.  Nachiketa had   to wait   for   three   days   without   food. On   Yama's return, he   is   told   by   his   people):  A  Brahmana   guest   entering a house-hold resembles fire. He is offered appeasement. O ! Vaivasvata (Yama),   fetch   water (for washing the feet and sipping)."
1.1,8,"आशाप्रतीक्षे संगतँ सूनृतां
    चेष्टापूर्ते पुत्रपशूँश्च सर्वान् ।
एतद्वृङ्क्ते पुरुषस्याल्पमेधसो
    यस्यानश्नन्वसति ब्राह्मणो गृहे ॥","Hopes   and   expectations,   the   benefits   of   association   with   the good, the   merit   arising from   sweet   and   beneficial   speech, the deeds prescribed in the scriptures and moral codes , children   and   cattle,   all   these   are   destroyed   in   the case   of   the person of dull intellect in whose house a holy guest has remained unattended."
1.1,9,"तिस्रो रात्रीर्यदवात्सीर्गृहे मे-
    ऽनश्नन् ब्रह्मन्नतिथिर्नमस्यः ।
नमस्तेऽस्तु ब्रह्मन् स्वस्ति मेऽस्तु
    तस्मात्प्रति त्रीन्वरान्वृणीष्व ॥ ","Yama   said   to   Nachiketa  : O   holy   and   venerable   guest,   since   you   have   dwelt   in   my   house   for   three nights   without   food,   choose   three   boons   from   me. I bow   to   you;   may all   be   well   with   me.  "
1.1,10,"शान्तसंकल्पः सुमना यथा स्याद्
    वीतमन्युर्गौतमो माऽभि मृत्यो ।
त्वत्प्रसृष्टं माऽभिवदेत्प्रतीत
    एतत् त्रयाणां प्रथमं वरं वृणे ॥","(Nachiketa   thereupon   said) - O   Death,  may  I  have the   first   of   the   three   boons to (my   father)    Gautama   being   in happy frame of mind   and   of  peaceful disposition anger;   and   may he  recognise me   and   receive   me  when I   am   released  by   you."
1.1,11,"यथा पुरस्ताद् भविता प्रतीत
    औद्दालकिरारुणिर्मत्प्रसृष्टः ।
सुखँ रात्रीः शयिता वीतमन्यु
    स्त्वां ददृशिवान्मृत्युमुखात् प्रमुक्तम् ॥ ","(Yama   said   :)  By   my   order,   Auddalaki   Aruni   (your   father)  will sleep peacefully at night. He will recognise   you and   treat   you   as   in the past,   having   seen you  released   from   the   jaws   of   death.  And he will be without   anger . (The   mental   agony   caused   to   Nachiketa's   father   has   been   removed  by the   first   boon)."
1.1,12,"स्वर्गे लोके न भयं किंचनास्ति
    न तत्र त्वं न जरया बिभेति ।
उभे तीर्त्वाऽशनायापिपासे
    शोकातिगो मोदते स्वर्गलोके ॥","(Nachiketa   said:)  In   heaven   there   is   no   fear   at all ;   death   and   old   age   are   not there.   Having   overcome   hunger   and   thirst   and   all   sorrow,   one   rejoices in   the   heavenly   world."
1.1,13,"स त्वमग्निँ स्वर्ग्यमध्येषि मृत्यो
    प्रब्रूहि त्वँ श्रद्दधानाय मह्यम् ।
स्वर्गलोका अमृतत्वं भजन्त
    एतद् द्वितीयेन वृणे वरेण ॥","O   Death, You  know  the   Fire   (sacrifice)   that   leads   to   heaven. Instruct  me on that  who   am   full   of   faith .   Those   in   heaven   are   deathless. This   I   choose   as   my   second   boon. "
1.1,14,"प्र ते ब्रवीमि तदु मे निबोध
    स्वर्ग्यमग्निं नचिकेतः प्रजानन् ।
अनन्तलोकाप्तिमथो प्रतिष्ठां
    विद्धि त्वमेतं निहितं गुहायाम् ॥","O   Nachiketa,  I  know   about   the   Fire   that   leads   to   heaven. This I  shall impart   to   you .  Listen to me carefully.   Know  this to be the   means  of  attaining   eternal   heaven   and   also   the   support   of   the   world.   This knowledge   is   hidden   in   the   cave of the heart.  "
1.1,15,"लोकादिमग्निं तमुवाच तस्मै
    या इष्टका यावतीर्वा यथा वा ।
स चापि तत्प्रत्यवदद्यथोक्त
    मथास्य मृत्युः पुनरेवाह तुष्टः ॥ ","Yama   then   explained   that   Fire   (sacrifice),  is the   origin of   the   world.   He   gave   details   of   what   type   of   bricks   and   how   many are   required   (for   the   altar)   and   how   the   fire   is   to   be   lit.   And Nachiketa   repeated   all   the   instructions   given   to   him.   Then   Yama, being   pleased   at   this,   said   again."
1.1,16,"तमब्रवीत् प्रीयमाणो महात्मा
    वरं तवेहाद्य ददामि भूयः ।
तवैव नाम्ना भविताऽयमग्निः
    सृङ्कां चेमामनेकरूपां गृहाण ॥","That high-souled (Yama) happily, said   to Nachiketa ""I  shall  here and now give you another  boon:  may  this   fire   be   named after you; and may you  also accept this   multi-coloured garland.  "
1.1,17,"त्रिणाचिकेतस्त्रिभिरेत्य सन्धिं
    त्रिकर्मकृत्तरति जन्ममृत्यू ।
ब्रह्मजज्ञं देवमीड्यं विदित्वा
    निचाय्येमाँ शान्तिमत्यन्तमेति ॥","He  transcends cyclic existence who has perfomed the Nachiketa fire-sacrifice three times and has received instructions from the three (mother,father   and   preceptor), and has also discharged   his   three-fold  duties   (study   of   Vedas,   performance   of   Sacrifice and   giving   alms), having realised the all pervading shining one worthy of worship-the fire god born of Brahman. Such a person also attains supreme peace."
1.1,18,"त्रिणाचिकेतस्त्रयमेतद्विदित्वा
    य एवं विद्वाँश्चिनुते नाचिकेतम् ।
स मृत्युपाशान् पुरतः प्रणोद्य
    शोकातिगो मोदते स्वर्गलोके ॥","The man of wisdom, having known the injunctions performs the Nachiketa sacrifice three times. Thus annhilating the noose of death even before the fall of his body, crosses the (ocean of ) grief and enjoys in heaven."
