Chapter,Verse,Sanskrit,Translation
1,1,ॐ इत्येतदक्षरमिदँ सर्वं तस्योपव्याख्यानं भूतं भवद् भविष्यदिति सर्वमोङ्कार एव यच्चान्यत् त्रिकालातीतं तदप्योङ्कार एव,"OM! – This Imperishable Word is the whole of this visible universe. Its explanation is as follows: What has become, what is becoming, what will become, – verily, all of this is OM. And what is beyond these three states of the world of time, – that too, verily, is OM."
1,2,सर्वं ह्येतद् ब्रह्मायमात्मा ब्रह्म सोऽयमात्मा चतुष्पात्,"All this, verily, is Brahman. The Self is Brahman. This Self has four quarters."
1,3,जागरितस्थानो बहिष्प्रज्ञः सप्ताङ्ग एकोनविंशतिमुखः स्थूलभुग्वैश्वानरः प्रथमः पादः,The first quarter is Vaiśvānara. Its field is the waking state. Its consciousness is outward-turned. It is seven-limbed and nineteen-mouthed. It enjoys gross objects.
1,4,स्वप्नस्थानोऽन्तःप्रज्ञः सप्ताङ्ग एकोनविंशतिमुखः प्रविविक्तभुक्तैजसो द्वितीयः पादः,The second quarter is taijasa. Its field is the dream state. Its consciousness is inward-turned. It is seven-limbed and nineteen-mouthed. It enjoys subtle objects.
1,5,यत्र सुप्तो न कञ्चन कामं कामयते न कञ्चन स्वप्नं पश्यति तत् सुषुप्तम् । सुषुप्तस्थान एकीभूतः प्रज्ञानघन एवानन्दमयो ह्यानन्दभुक् चेतोमुखः प्राज्ञस्तृतीयः पादः,"The third quarter is prājña, where one asleep neither desires anything nor beholds any dream: that is deep sleep. In this field of dreamless sleep, one becomes undivided, an undifferentiated mass of consciousness, consisting of bliss and feeding on bliss. His mouth is consciousness."
1,6,एष सर्वेश्वरः एष सर्वज्ञ एषोऽन्तर्याम्येष योनिः सर्वस्य प्रभवाप्ययौ हि भूतानाम्,This is the Lord of All; the Omniscient; the Indwelling Controller; the Source of All. This is the beginning and end of all beings.
1,7,नान्तःप्रज्ञं न बहिष्प्रज्ञं नोभयतःप्रज्ञं न प्रज्ञानघनं न प्रज्ञं नाप्रज्ञम् । अदृष्टमव्यवहार्यमग्राह्यमलक्षणं अचिन्त्यमव्यपदेश्यमेकात्मप्रत्ययसारं प्रपञ्चोपशमं शान्तं शिवमद्वैतं चतुर्थं मन्यन्ते स आत्मा स विज्ञेयः ॥,"That is known as the fourth quarter: neither inward-turned nor outward-turned consciousness, nor the two together; not an indifferentiated mass of consciousness; neither knowing, nor unknowing; invisible, ineffable, intangible, devoid of characteristics, inconceivable, indefinable, its sole essence being the consciousness of its own Self; the coming to rest of all relative existence; utterly quiet; peaceful; blissful: without a second: this is the Ātman, the Self; this is to be realised."
1,8,सोऽयमात्माध्यक्षरमोङ्कारोऽधिमात्रं पादा मात्रा मात्राश्च पादा अकार उकारो मकार इति,"This identical Ātman, or Self, in the realm of sound is the syllable OM, the above described four quarters of the Self being identical with the components of the syllable, and the components of the syllable being identical with the four quarters of the Self. The components of the Syllable are A, U, M."
1,9,जागरितस्थानो वैश्वानरोऽकारः प्रथमा मात्राऽऽप्तेरादिमत्त्वाद् वाऽऽप्नोति ह वै सर्वान् कामानादिश्च भवति य एवं वेद,"Vaiśvānara, whose field is the waking state, is the first sound, A, because this encompasses all, and because it is the first. He who knows thus, encompasses all desirable objects; he becomes the first."
1,10,स्वप्नस्थानस्तैजस उकारो द्वितीया मात्रोत्कर्षात् उभयत्वाद्वोत्कर्षति ह वै ज्ञानसन्ततिं समानश्च भवति नास्याब्रह्मवित्कुले भवति य एवं वेद,"Taijasa, whose field is the dream state, is the second sound, U, because this is an excellence, and contains the qualities of the other two. He who knows thus, exalts the flow of knowledge and becomes equalised; in his family there will be born no one ignorant of Brahman."
1,11,सुषुप्तस्थानः प्राज्ञो मकारस्तृतीया मात्रा मितेरपीतेर्वा मिनोति ह वा इदं सर्वमपीतिश्च भवति य एवं वेद,"Prājña, whose field is deep sleep, is the third sound, M, because this is the measure, and that into which all enters. He who knows thus, measures all and becomes all."
1,12,अमात्रश्चतुर्थोऽव्यवहार्यः प्रपञ्चोपशमः शिवोऽद्वैत एवमोङ्कार आत्मैव संविशत्यात्मनाऽऽत्मानं य एवं वेद,"The fourth is soundless: unutterable, a quieting down of all relative manifestations, blissful, peaceful, non-dual. Thus, OM is the Ātman, verily. He who knows thus, merges his self in the Self; – yea, he who knows thus."
