Chapter,Verse,Sanskrit
1,1,गच्छता मातुलकुलं भरतेन तदाऽनघ | शत्रुघ्नो नित्यशत्रुघ्नो नीतः प्रीतिपुरस्कृतः ||
1,2,तत्र न्यवसद्भ्रात्रा सह सत्कारसत्कृतः | मातुलेनाश्वपतिना पुत्रस्नेहेन लालितः ||
1,3,तत्रापि निवसन्तौ तौ तर्प्यमाणौ च कामतः | भ्रातरौ स्मरतां वीरौ वृद्धं दशरथं नृपम् ||
1,4,राजाऽपि तौ महातेजा स्सस्मार प्रोषितौ सुतौ | उभौ भरतशत्रुघ्नौ महेन्द्रवरुणोपमौ ||
1,5,सर्व एव तु तस्येष्टा श्चत्वारः पुरुषर्षभाः | स्वशरीराद्विनिर्वृत्ताश्चत्वार इव बाहवः ||
1,6,तेषामपि महातेजा रामो रतिकरःपितुः | स्वयम्भूरिव भूतानां बभूव गुणवत्तरः ||
1,7,स हि देवैरुदीर्णस्य रावणस्य वधार्थिभिः | अर्थितो मानुषे लोके जज्ञे विष्णुस्सनातनः ||
1,8,कौशल्या शुशुभे तेन पुत्रेणामिततेजसा | यथा वरेण देवानामदितिर्वज्रपाणिना ||
1,9,स हि रूपोपपन्नश्च वीर्यवाननसूयकः | भूमौवनुपमस्सूनुर्गुणैर्दशरथोपमः ||
1,10,स तु नित्यं प्रशान्तात्मा मृदुपूर्वं च भाषते | उच्यमानोऽपि परुषं नोत्तरं प्रतिपद्यते ||
1,11,कथञ्चिदुपकारेण कृतेनैकेन तुष्यति | न स्मरत्यपकाराणां शतमप्यात्मवत्तया ||
1,12,शीलवृद्धैर्ज्ञानवृद्धैर्वयोवृद्धैश्च सज्जनैः | कथयन्नास्त वै नित्यमस्त्रयोग्यान्तरेष्वपि ||
1,13,बुद्धिमान्मधुराभाषी पूर्वभाषी प्रियंवदः | वीर्यवान्न च वीर्येण महता स्वेन विस्मितः ||
1,14,नचानृतकथो विद्वान् वृद्धानां प्रतिपूजकः | अनुरक्तः प्रजाभिश्च प्रजाश्चाप्यनुरञ्जते ||
1,15,सानुक्रोशो जितक्रोधो ब्राह्मणप्रतिपूजकः | दीनानुकम्पी धर्मज्ञो नित्यं प्रग्रहवांश्चुचिः ||
1,16,कुलोचितमतिः क्षात्रं धर्मं स्वं बहुमन्यते | मन्यते परया कीर्त्या महत्स्वर्गफलं ततः ||
1,17,नाऽऽश्रेयसि रतो विद्वान्नविरुद्धकथारुचिः | उत्तरोत्तरयुक्तौ च वक्ता वाचस्पतिर्यथा ||
1,18,अरोगस्तरुणो वाग्मी वपुष्मान्देशकालवित् | लोके पुरुषसारज्ञ स्साधुरेको विनिर्मितः ||
1,19,स तु श्रेष्ठैर्गुणैर्युक्तः प्रजानां पार्थिवात्मजः | बहिश्चर इव प्राणो बभूव गुणतः प्रियः ||
1,20,सम्यग्विद्याव्रतस्नातो यथावत्साङ्गवेदवित् | इष्वस्त्रे च पितु श्श्रेष्ठो बभूव भरताग्रजः ||
1,21,कल्याणाभिजन स्साधुरदीन स्सत्यवागृजुः | वृद्धैरभिविनीतश्च द्विजैर्धर्मार्थदर्शिभिः ||
1,22,धर्मकामार्थतत्त्वज्ञः स्मृतिमान्प्रतिभानवान् | लौकिके समयाचारे कृतकल्पो विशारदः ||
1,23,निभृत स्संवृताकारो गुप्तमन्त्र स्सहायवान् | अमोघक्रोधहर्षश्च त्यागसंयमकालवित् ||
1,24,दृढभक्ति स्स्थिरप्रज्ञो नासद्ग्राही न दुर्वचाः | निस्तन्द्रिरप्रमत्तश्च स्वदोषपरदोषवित् ||
1,25,शास्त्रज्ञश्च कृतज्ञश्च पुरुषान्तरकोविदः | यः प्रग्रहानुग्रहयोर्यथान्यायं विचक्षणः ||
1,26,सत्सङ्ग्रहप्रग्रहणे स्थानविन्निग्रहस्य च | आयकर्मण्युपायज्ञ स्सन्दृष्टव्ययकर्मवित् ||
1,27,श्रैष्ठ्यं शास्त्रसमूहेषु प्राप्तो व्यामिश्रकेषु च | अर्थधमौ च सङ्गृह्य सुखतन्त्रो न चालसः ||
1,28,वैहारिकाणां शिल्पानां विज्ञाताऽऽर्थविभागवित् | आरोहे विनये चैव युक्तो वारणवाजिनाम् ||
1,29,धनुर्वेदविदां श्रेष्ठो लोकेऽतिरथसम्मतः | अभियाता प्रहर्ता च सेनानयविशारदः ||
1,30,अप्रधृष्यश्च सङ्ग्रामे क्रुध्दैरपि सुरासुरैः | अनसूयो जितक्रोधो न दृप्तो न च मत्सरी | न चावमन्ता भूतानां न च कालवशानुगः ||
1,31,एवं श्रेष्ठगुणैर्युक्तः प्रजानां पार्थिवात्मजः | सम्मतस्त्रिषु लोकेषु वसुधायाः क्षमागुणैः ||
1,32,बुद्ध्या बृहस्पतेस्तुल्यो वीर्येणापि शचीपतेः | तथा सर्वप्रजाकान्तैः प्रीतिसंजननैः पितुः ||
1,33,गुणैर्विरुरुचे रामो दीप्तस्सूर्य इवांशुभिः | तमेवं व्रतसम्पन्नमप्रधृष्यपराक्रमम् ||
