Kanda,Chapter,Verse,Sanskrit
1,1,1,तपस्स्वाध्यायनिरतं तपस्वी वाग्विदां वरम् । नारदं परिपप्रच्छ वाल्मीकिर्मुनिपुङ्गवम्।।
1,1,2,कोन्वस्मिन्साम्प्रतं लोके गुणवान्कश्च वीर्यवान् । धर्मज्ञश्च कृतज्ञश्च सत्यवाक्यो दृढव्रत:।।
1,1,3,चारित्रेण च को युक्तस्सर्वभूतेषु को हित: । विद्वान्क: कस्समर्थश्च कश्चैकप्रियदर्शन:।।
1,1,4,आत्मवान्को जितक्रोधो द्युतिमान्कोऽनसूयक: । कस्य बिभ्यति देवाश्च जातरोषस्य संयुगे।।
1,1,5,एतदिच्छाम्यहं श्रोतुं परं कौतूहलं हि मे । महर्षे त्वं समर्थोऽसि ज्ञातुमेवंविधं नरम्।।
1,1,6,श्रुत्वा चैतत्ित्रलोकज्ञो वाल्मीकेर्नारदो वच: । श्रूयतामिति चामन्त्त्र्य प्रहृष्टो वाक्यमब्रवीत्।।
1,1,7,बहवो दुर्लभाश्चैव ये त्वया कीर्तिता गुणा: । मुने वक्ष्याम्यहं बुद्ध्वा तैर्युक्तश्श्रूयतान्नर:।।
1,1,8,इक्ष्वाकुवंशप्रभवो रामो नाम जनैश्श्रुत: । नियतात्मा महावीर्यो द्युतिमान्धृतिमान् वशी।।
1,1,9,बुद्धिमान्नीतिमान्वाग्मी श्रीमान् शत्रुनिबर्हण: । विपुलांसो महाबाहु: कम्बुग्रीवो महाहनु:।।
1,1,10,महोरस्को महेष्वासो गूढजत्रुररिन्दमः । आजानुबाहुस्सुशिरास्सुललाटस्सुविक्रमः।।
1,1,11,समस्समविभक्ताङ्गस्स्निग्धवर्ण: प्रतापवान् । पीनवक्षा विशालाक्षो लक्ष्मीवान् शुभलक्षणः।।
1,1,12,धर्मज्ञस्सत्यसन्धश्च प्रजानां च हिते रतः । यशस्वी ज्ञानसम्पन्नश्शुचिर्वश्यस्समाधिमान्।।
1,1,13,प्रजापतिसमश्श्रीमान् धाता रिपुनिषूदनः । रक्षिता जीवलोकस्य धर्मस्य परिरक्षिता।।
1,1,14,रक्षिता स्वस्य धर्मस्य स्वजनस्य च रक्षिता । वेदवेदाङ्गतत्त्वज्ञो धनुर्वेदे च निष्ठितः।।
1,1,15,सर्वशास्त्रार्थतत्त्वज्ञस्स्मृतिमान्प्रतिभानवान् । सर्वलोकप्रियस्साधुरदीनात्मा विचक्षणः।।
1,1,16,सर्वदाभिगतस्सद्भिस्समुद्र इव सिन्धुभिः । आर्यस्सर्वसमश्चैव सदैकप्रियदर्शनः।।
1,1,17,स च सर्वगुणोपेत: कौसल्यानन्दवर्धन: । समुद्र इव गाम्भीर्ये धैर्येण हिमवानिव।।
1,1,18,विष्णुना सदृशो वीर्ये सोमवत्प्रियदर्शनः । कालाग्निसदृशः क्रोधे क्षमया पृथिवीसमः।।
1,1,19,धनदेन समस्त्यागे सत्ये धर्म इवापरः । तमेवं गुणसम्पन्नं रामं सत्यपराक्रमम्।।
1,1,20,ज्येष्ठं श्रेष्ठगुणैर्युक्तं प्रियं दशरथस्सुतम् । प्रकृतीनां हितैर्युक्तं प्रकृतिप्रियकाम्यया।।
